*i,r,vom ($/kW-yr)
deep-egs_pbinary_1,p1,535.8033407
deep-egs_pbinary_1,p10,533.6669623
deep-egs_pbinary_1,p101,543.8598314
deep-egs_pbinary_1,p107,725.4694638
deep-egs_pbinary_1,p109,725.4694638
deep-egs_pbinary_1,p11,530.0205649
deep-egs_pbinary_1,p110,543.8598314
deep-egs_pbinary_1,p111,725.4694638
deep-egs_pbinary_1,p112,725.4694638
deep-egs_pbinary_1,p115,535.8033407
deep-egs_pbinary_1,p116,535.8033407
deep-egs_pbinary_1,p117,535.8033407
deep-egs_pbinary_1,p118,543.8598314
deep-egs_pbinary_1,p119,725.4694638
deep-egs_pbinary_1,p12,530.0205649
deep-egs_pbinary_1,p120,725.4694638
deep-egs_pbinary_1,p121,725.4694638
deep-egs_pbinary_1,p122,543.8598314
deep-egs_pbinary_1,p123,725.4694638
deep-egs_pbinary_1,p124,725.4694638
deep-egs_pbinary_1,p127,543.8598314
deep-egs_pbinary_1,p129,725.4694638
deep-egs_pbinary_1,p13,530.0205649
deep-egs_pbinary_1,p130,543.8598314
deep-egs_pbinary_1,p131,725.4694638
deep-egs_pbinary_1,p134,725.4694638
deep-egs_pbinary_1,p14,535.8033407
deep-egs_pbinary_1,p15,533.6669623
deep-egs_pbinary_1,p16,533.6669623
deep-egs_pbinary_1,p17,530.0205649
deep-egs_pbinary_1,p18,533.6669623
deep-egs_pbinary_1,p19,535.8033407
deep-egs_pbinary_1,p2,530.0205649
deep-egs_pbinary_1,p20,535.8033407
deep-egs_pbinary_1,p21,533.6669623
deep-egs_pbinary_1,p22,709.8622738
deep-egs_pbinary_1,p23,709.8622738
deep-egs_pbinary_1,p24,535.8033407
deep-egs_pbinary_1,p25,530.0205649
deep-egs_pbinary_1,p26,535.8033407
deep-egs_pbinary_1,p27,530.0205649
deep-egs_pbinary_1,p28,530.0205649
deep-egs_pbinary_1,p29,530.0205649
deep-egs_pbinary_1,p3,535.8033407
deep-egs_pbinary_1,p30,530.0205649
deep-egs_pbinary_1,p31,533.6669623
