*i,r,vom ($/kW-yr)
deep-egs_pbinary_1,p1,943.1150314
deep-egs_pbinary_1,p10,742.5303884
deep-egs_pbinary_1,p101,1885.821348
deep-egs_pbinary_1,p107,1885.821348
deep-egs_pbinary_1,p109,1885.821348
deep-egs_pbinary_1,p11,836.1668861
deep-egs_pbinary_1,p110,1066.059512
deep-egs_pbinary_1,p111,1885.821348
deep-egs_pbinary_1,p112,1885.821348
deep-egs_pbinary_1,p115,943.1150314
deep-egs_pbinary_1,p116,943.1150314
deep-egs_pbinary_1,p117,943.1150314
deep-egs_pbinary_1,p118,1066.059512
deep-egs_pbinary_1,p119,1885.821348
deep-egs_pbinary_1,p12,836.1668861
deep-egs_pbinary_1,p120,1885.821348
deep-egs_pbinary_1,p121,1885.821348
deep-egs_pbinary_1,p122,1066.059512
deep-egs_pbinary_1,p123,1885.821348
deep-egs_pbinary_1,p124,1885.821348
deep-egs_pbinary_1,p127,1066.059512
deep-egs_pbinary_1,p13,836.1668861
deep-egs_pbinary_1,p131,1885.821348
deep-egs_pbinary_1,p134,1885.821348
deep-egs_pbinary_1,p14,943.1150314
deep-egs_pbinary_1,p15,742.5303884
deep-egs_pbinary_1,p16,742.5303884
deep-egs_pbinary_1,p17,943.1150314
deep-egs_pbinary_1,p18,836.1668861
deep-egs_pbinary_1,p19,943.1150314
deep-egs_pbinary_1,p2,836.1668861
deep-egs_pbinary_1,p20,943.1150314
deep-egs_pbinary_1,p21,836.1668861
deep-egs_pbinary_1,p22,1645.029265
deep-egs_pbinary_1,p23,1645.029265
deep-egs_pbinary_1,p24,943.1150314
deep-egs_pbinary_1,p25,836.1668861
deep-egs_pbinary_1,p26,943.1150314
deep-egs_pbinary_1,p27,836.1668861
deep-egs_pbinary_1,p28,836.1668861
deep-egs_pbinary_1,p29,836.1668861
deep-egs_pbinary_1,p3,943.1150314
deep-egs_pbinary_1,p30,836.1668861
deep-egs_pbinary_1,p31,742.5303884
deep-egs_pbinary_1,p32,943.1150314
deep-egs_pbinary_1,p33,836.1668861
deep-egs_pbinary_1,p34,742.5303884
deep-egs_pbinary_1,p35,836.1668861
deep-egs_pbinary_1,p36,836.1668861
deep-egs_pbinary_1,p37,943.1150314
deep-egs_pbinary_1,p38,943.1150314
deep-egs_pbinary_1,p39,943.1150314
deep-egs_pbinary_1,p4,943.1150314
deep-egs_pbinary_1,p40,943.1150314
deep-egs_pbinary_1,p41,1066.059512
deep-egs_pbinary_1,p47,1066.059512
deep-egs_pbinary_1,p48,1066.059512
deep-egs_pbinary_1,p5,836.1668861
deep-egs_pbinary_1,p50,943.1150314
deep-egs_pbinary_1,p51,1645.029265
deep-egs_pbinary_1,p52,1885.821348
deep-egs_pbinary_1,p53,1885.821348
deep-egs_pbinary_1,p55,1885.821348
deep-egs_pbinary_1,p56,1066.059512
deep-egs_pbinary_1,p57,836.1668861
deep-egs_pbinary_1,p58,836.1668861
deep-egs_pbinary_1,p59,836.1668861
deep-egs_pbinary_1,p6,836.1668861
deep-egs_pbinary_1,p60,1645.029265
deep-egs_pbinary_1,p61,836.1668861
deep-egs_pbinary_1,p63,836.1668861
deep-egs_pbinary_1,p64,836.1668861
deep-egs_pbinary_1,p65,836.1668861
deep-egs_pbinary_1,p66,836.1668861
deep-egs_pbinary_1,p67,943.1150314
deep-egs_pbinary_1,p69,1885.821348
deep-egs_pbinary_1,p7,836.1668861
deep-egs_pbinary_1,p70,1885.821348
deep-egs_pbinary_1,p71,1885.821348
deep-egs_pbinary_1,p77,1885.821348
deep-egs_pbinary_1,p8,836.1668861
deep-egs_pbinary_1,p80,1885.821348
deep-egs_pbinary_1,p81,1885.821348
deep-egs_pbinary_1,p83,1885.821348
deep-egs_pbinary_1,p85,836.1668861
deep-egs_pbinary_1,p86,943.1150314
deep-egs_pbinary_1,p87,943.1150314
deep-egs_pbinary_1,p88,943.1150314
deep-egs_pbinary_1,p89,1066.059512
deep-egs_pbinary_1,p9,742.5303884
