*i,r,sc_cat,value
egs_allkm_6,p1,cap,4.571623171
egs_allkm_7,p1,cap,724.805
egs_allkm_8,p1,cap,2824.0587
egs_allkm_9,p1,cap,4880.0738
egs_allkm_6,p2,cap,487.4205
egs_allkm_7,p2,cap,8797.3228
egs_allkm_8,p2,cap,13718.289
egs_allkm_9,p2,cap,12694.62
egs_allkm_6,p3,cap,97.4763
egs_allkm_7,p3,cap,18499.2465
egs_allkm_8,p3,cap,19532.9994
egs_allkm_9,p3,cap,20324.4015
egs_allkm_7,p4,cap,6109.179
egs_allkm_8,p4,cap,4995.9125
egs_allkm_9,p4,cap,5346.8722
egs_allkm_4,p5,cap,262.233
egs_allkm_5,p5,cap,4165.1723
egs_allkm_6,p5,cap,7146.8744
egs_allkm_7,p5,cap,24100.0284
egs_allkm_8,p5,cap,27890.1647
egs_allkm_9,p5,cap,23296.9972
egs_allkm_4,p6,cap,48.7305
egs_allkm_5,p6,cap,1323.2468
egs_allkm_6,p6,cap,6348.0966
egs_allkm_7,p6,cap,5988.9139
egs_allkm_8,p6,cap,4930.7623
egs_allkm_9,p6,cap,3750.0026
egs_allkm_5,p7,cap,900.8212
egs_allkm_6,p7,cap,15134.4415
egs_allkm_7,p7,cap,27689.556
egs_allkm_8,p7,cap,23377.77176
egs_allkm_9,p7,cap,20127.33347
egs_allkm_5,p8,cap,989.406
egs_allkm_6,p8,cap,6726.7917
egs_allkm_7,p8,cap,6975.9421
egs_allkm_8,p8,cap,5652.0049
egs_allkm_9,p8,cap,3813.4053
egs_allkm_3,p9,cap,37.16732262
egs_allkm_4,p9,cap,245.7172111
egs_allkm_5,p9,cap,493.927493
egs_allkm_6,p9,cap,8460.276924
egs_allkm_7,p9,cap,20921.3449
egs_allkm_8,p9,cap,25950.376
egs_allkm_9,p9,cap,31196.2487
egs_allkm_3,p10,cap,967.3071
egs_allkm_4,p10,cap,4306.7851
egs_allkm_5,p10,cap,4199.8531
egs_allkm_6,p10,cap,9818.1009
egs_allkm_7,p10,cap,25332.2686
egs_allkm_8,p10,cap,27765.0483
egs_allkm_9,p10,cap,28203.3256
egs_allkm_5,p11,cap,87.1798
egs_allkm_6,p11,cap,291.1186
egs_allkm_7,p11,cap,484.0983
egs_allkm_8,p11,cap,1648.897
egs_allkm_9,p11,cap,2074.634
egs_allkm_5,p12,cap,4767.1624
egs_allkm_6,p12,cap,64003.0647
egs_allkm_7,p12,cap,97173.5181
egs_allkm_8,p12,cap,85301.5673
egs_allkm_9,p12,cap,79013.6396
egs_allkm_5,p13,cap,83.2912
egs_allkm_6,p13,cap,3430.6952
egs_allkm_7,p13,cap,3347.1492
egs_allkm_8,p13,cap,2123.4792
egs_allkm_9,p13,cap,1905.8297
egs_allkm_6,p14,cap,17.1589
egs_allkm_7,p14,cap,5041.2084
egs_allkm_8,p14,cap,7306.3364
egs_allkm_9,p14,cap,7999.573
egs_allkm_4,p15,cap,559.7482
egs_allkm_5,p15,cap,5434.8036
egs_allkm_6,p15,cap,9313.474
egs_allkm_7,p15,cap,14348.3199
egs_allkm_8,p15,cap,16241.7719
egs_allkm_9,p15,cap,13750.9293
egs_allkm_3,p16,cap,94.0002
egs_allkm_4,p16,cap,1210.6472
egs_allkm_5,p16,cap,7915.9429
egs_allkm_6,p16,cap,17269.3424
egs_allkm_7,p16,cap,12793.0417
egs_allkm_8,p16,cap,14019.3623
egs_allkm_9,p16,cap,12438.3423
egs_allkm_5,p17,cap,11.05998481
egs_allkm_6,p17,cap,575.559
egs_allkm_7,p17,cap,18531.0584
egs_allkm_8,p17,cap,16713.7463
egs_allkm_9,p17,cap,14206.8642
egs_allkm_6,p18,cap,164.548
egs_allkm_7,p18,cap,3601.3352
egs_allkm_8,p18,cap,21604.7452
egs_allkm_9,p18,cap,37942.2598
egs_allkm_7,p19,cap,2285.185
egs_allkm_8,p19,cap,9267.4488
egs_allkm_9,p19,cap,8456.4189
egs_allkm_7,p20,cap,3046.3303
egs_allkm_8,p20,cap,20027.8825
egs_allkm_9,p20,cap,35349.6461
egs_allkm_5,p21,cap,3.5485
egs_allkm_6,p21,cap,82.6174
egs_allkm_7,p21,cap,1494.8539
egs_allkm_8,p21,cap,5986.4659
egs_allkm_9,p21,cap,24659.5035
egs_allkm_9,p22,cap,1190.7541
egs_allkm_9,p23,cap,5291.9301
egs_allkm_7,p24,cap,608.4331
