*i,r,MW
geohydro_pflash_1,p9,1140
geohydro_pflash_1,p10,901
geohydro_pflash_1,p12,390
geohydro_pflash_1,p16,12
geohydro_pflash_1,p25,42
geohydro_pflash_1,p203,422.2
