*i,r,value
geohydro_allkm_10,p1,0.234760234
geohydro_allkm_3,p5,0
geohydro_allkm_4,p5,1
geohydro_allkm_8,p5,0
geohydro_allkm_9,p5,1
geohydro_allkm_10,p5,0.278643237
geohydro_allkm_8,p6,0
geohydro_allkm_9,p6,1
geohydro_allkm_10,p6,0.280453289
geohydro_allkm_8,p7,0.087949503
geohydro_allkm_9,p7,1
geohydro_allkm_10,p7,0.11943103
geohydro_allkm_3,p8,0
geohydro_allkm_8,p8,0.41854663
geohydro_allkm_9,p8,1
geohydro_allkm_10,p8,0.376345679
geohydro_allkm_3,p9,0.014631574
geohydro_allkm_8,p9,0.260291128
geohydro_allkm_9,p9,1
geohydro_allkm_10,p9,0.309516807
geohydro_allkm_2,p10,1
geohydro_allkm_3,p10,0.092686497
geohydro_allkm_5,p10,1
geohydro_allkm_6,p10,1
geohydro_allkm_7,p10,1
geohydro_allkm_8,p10,0.244342555
geohydro_allkm_9,p10,1
geohydro_allkm_10,p10,0.261766926
geohydro_allkm_3,p12,1
geohydro_allkm_6,p12,0.151345015
geohydro_allkm_7,p12,1
geohydro_allkm_8,p12,0.101820204
geohydro_allkm_9,p12,1
geohydro_allkm_10,p12,0.235636233
geohydro_allkm_9,p15,0.198941052
geohydro_allkm_10,p15,0.126399835
geohydro_allkm_9,p16,0.320597754
geohydro_allkm_10,p16,0
geohydro_allkm_10,p17,0.066334385
geohydro_allkm_10,p21,0.523350002
geohydro_allkm_5,p25,0.090049066
geohydro_allkm_8,p25,0
geohydro_allkm_9,p25,1
geohydro_allkm_10,p25,0.062335882
geohydro_allkm_10,p28,0.029472362
geohydro_allkm_4,p31,0
geohydro_allkm_9,p31,1
geohydro_allkm_10,p31,0.027954571
geohydro_allkm_10,p33,0.048022515
geohydro_allkm_10,p34,0.031686046
