*i,r,sc_cat,value
nf-egs_pbinary_1,p10,Cost,26339.6897
nf-egs_pbinary_2,p10,Cost,27765.08046
nf-egs_pbinary_3,p10,Cost,29308.55885
nf-egs_pbinary_4,p10,Cost,30987.21733
nf-egs_pbinary_5,p10,Cost,30987.21733
nf-egs_pbinary_6,p10,Cost,32024.63592
nf-egs_pbinary_7,p10,Cost,32831.23854
nf-egs_pbinary_8,p10,Cost,34013.54304
nf-egs_pbinary_1,p12,Cost,29308.55885
nf-egs_pbinary_2,p12,Cost,30242.28788
nf-egs_pbinary_3,p12,Cost,30242.28788
nf-egs_pbinary_4,p12,Cost,30987.21733
nf-egs_pbinary_5,p12,Cost,43101.73242
nf-egs_pbinary_1,p25,Cost,27136.27648
nf-egs_pbinary_2,p25,Cost,32831.23854
nf-egs_pflash_1,p9,Cost,18011.77087
nf-egs_pflash_2,p9,Cost,18011.77087
nf-egs_pflash_3,p9,Cost,18011.77087
nf-egs_pflash_4,p9,Cost,18011.77087
nf-egs_pflash_5,p9,Cost,18011.77087
nf-egs_pflash_6,p9,Cost,18011.77087
nf-egs_pflash_1,p10,Cost,18011.77087
nf-egs_pflash_2,p10,Cost,18505.08721
nf-egs_pflash_1,p12,Cost,18011.77087
nf-egs_pflash_2,p12,Cost,18011.77087
nf-egs_pflash_3,p12,Cost,18011.77087
nf-egs_pflash_4,p12,Cost,18011.77087
geohydro_pbinary_1,p1,Cost,15772.61003
geohydro_pbinary_1,p5,Cost,9825.675334
geohydro_pbinary_2,p5,Cost,17608.71463
geohydro_pbinary_1,p6,Cost,9463.558116
geohydro_pbinary_2,p6,Cost,20160.93024
geohydro_pbinary_1,p7,Cost,5771.971851
geohydro_pbinary_2,p7,Cost,7485.110074
geohydro_pbinary_3,p7,Cost,8303.960189
geohydro_pbinary_4,p7,Cost,9694.746808
geohydro_pbinary_5,p7,Cost,12158.09897
geohydro_pbinary_6,p7,Cost,14272.61848
geohydro_pbinary_7,p7,Cost,16365.33662
geohydro_pbinary_8,p7,Cost,20332.19343
geohydro_pbinary_1,p8,Cost,6740.14796
geohydro_pbinary_2,p8,Cost,11673.82908
geohydro_pbinary_3,p8,Cost,12983.82195
geohydro_pbinary_4,p8,Cost,14839.32851
geohydro_pbinary_5,p8,Cost,15115.04747
geohydro_pbinary_6,p8,Cost,17317.82365
geohydro_pbinary_7,p8,Cost,18975.49105
geohydro_pbinary_8,p8,Cost,21527.4876
geohydro_pbinary_1,p9,Cost,6584.104028
geohydro_pbinary_2,p9,Cost,8729.012201
geohydro_pbinary_3,p9,Cost,9289.424217
geohydro_pbinary_4,p9,Cost,20130.12295
geohydro_pbinary_5,p9,Cost,20885.13105
geohydro_pbinary_1,p10,Cost,5124.025608
geohydro_pbinary_2,p10,Cost,6133.053482
geohydro_pbinary_3,p10,Cost,6239.730342
geohydro_pbinary_4,p10,Cost,8309.515958
geohydro_pbinary_5,p10,Cost,10252.09603
geohydro_pbinary_6,p10,Cost,14591.63495
geohydro_pbinary_7,p10,Cost,14925.965
geohydro_pbinary_8,p10,Cost,17473.77219
geohydro_pbinary_1,p12,Cost,5575.595013
geohydro_pbinary_2,p12,Cost,8529.314284
geohydro_pbinary_3,p12,Cost,9912.070898
geohydro_pbinary_4,p12,Cost,12861.29676
geohydro_pbinary_5,p12,Cost,13546.80524
geohydro_pbinary_6,p12,Cost,14975.38623
geohydro_pbinary_7,p12,Cost,18393.97606
geohydro_pbinary_8,p12,Cost,21310.55637
geohydro_pbinary_1,p15,Cost,7864.093909
geohydro_pbinary_2,p15,Cost,9867.873366
geohydro_pbinary_3,p15,Cost,12667.0372
geohydro_pbinary_4,p15,Cost,16842.54962
geohydro_pbinary_5,p15,Cost,17193.90053
geohydro_pbinary_6,p15,Cost,19603.0058
geohydro_pbinary_7,p15,Cost,20690.73682
geohydro_pbinary_8,p15,Cost,20852.35624
geohydro_pbinary_1,p16,Cost,8149.90515
geohydro_pbinary_2,p16,Cost,11313.29211
geohydro_pbinary_3,p16,Cost,11520.43776
geohydro_pbinary_1,p17,Cost,16447.07066
geohydro_pbinary_2,p17,Cost,17048.70419
geohydro_pbinary_3,p17,Cost,20539.43668
geohydro_pbinary_1,p21,Cost,13236.6377
geohydro_pbinary_1,p25,Cost,18427.71851
geohydro_pbinary_2,p25,Cost,25843.77701
geohydro_pbinary_3,p25,Cost,37313.12038
geohydro_pbinary_1,p28,Cost,19185.11656
geohydro_pbinary_2,p28,Cost,19481.65267
geohydro_pbinary_1,p31,Cost,12256.24913
geohydro_pbinary_2,p31,Cost,20062.82094
geohydro_pbinary_1,p33,Cost,20152.45307
geohydro_pbinary_1,p34,Cost,14369.0683
geohydro_pflash_1,p5,Cost,3862.455761
geohydro_pflash_1,p9,Cost,3868.746158
geohydro_pflash_1,p10,Cost,3862.455761
geohydro_pflash_2,p10,Cost,3862.455761
geohydro_pflash_3,p10,Cost,3862.455761
geohydro_pflash_4,p10,Cost,4001.371572
geohydro_pflash_5,p10,Cost,5117.713144
geohydro_pflash_6,p10,Cost,5149.941015
geohydro_pflash_1,p12,Cost,3862.455761
geohydro_pflash_2,p12,Cost,4353.311767
geohydro_pflash_3,p12,Cost,4675.496736
geohydro_pflash_4,p12,Cost,4835.552123
geohydro_pflash_5,p12,Cost,4990.638682
geohydro_pflash_6,p12,Cost,5061.394688
geohydro_pflash_7,p12,Cost,5673.302007
geohydro_pflash_8,p12,Cost,6395.290314
geohydro_pflash_1,p25,Cost,3862.455761
undisc_pbinary_1,p1,Cost,15526.49346
undisc_pbinary_1,p5,Cost,7494.540347
undisc_pbinary_2,p5,Cost,15258.18026
undisc_pbinary_1,p6,Cost,7494.540347
undisc_pbinary_2,p6,Cost,15258.18026
undisc_pbinary_1,p7,Cost,7494.540347
undisc_pbinary_2,p7,Cost,15258.18026
undisc_pbinary_1,p8,Cost,6268.3862
undisc_pbinary_2,p8,Cost,15589.03519
undisc_pbinary_1,p9,Cost,6268.3862
undisc_pbinary_2,p9,Cost,15589.03519
undisc_pbinary_1,p10,Cost,6268.3862
undisc_pbinary_2,p10,Cost,15589.03519
undisc_pbinary_1,p12,Cost,6332.210447
undisc_pbinary_2,p12,Cost,13821.16971
undisc_pbinary_1,p15,Cost,8265.773555
undisc_pbinary_2,p15,Cost,19100.39557
undisc_pbinary_1,p16,Cost,8265.773555
undisc_pbinary_2,p16,Cost,19100.39557
undisc_pbinary_1,p17,Cost,20823.90178
undisc_pbinary_1,p21,Cost,13402.92535
undisc_pbinary_1,p25,Cost,7232.749517
undisc_pbinary_2,p25,Cost,16915.16033
undisc_pbinary_1,p28,Cost,18391.72398
undisc_pbinary_1,p31,Cost,19034.59679
undisc_pbinary_1,p33,Cost,18383.99378
undisc_pbinary_1,p34,Cost,18383.99378
undisc_pflash_1,p5,Cost,3862.455761
undisc_pflash_1,p8,Cost,3862.455761
undisc_pflash_1,p9,Cost,3862.455761
undisc_pflash_1,p10,Cost,5149.941015
undisc_pflash_1,p12,Cost,4462.078098
undisc_pflash_1,p25,Cost,3862.455761
undisc_pflash_1,p31,Cost,3865.664151
deep-egs_pbinary_1,p1,Cost,36037.0669
deep-egs_pbinary_2,p1,Cost,37496.03775
deep-egs_pbinary_3,p1,Cost,48421.42081
deep-egs_pbinary_4,p1,Cost,50510.16099
deep-egs_pbinary_5,p1,Cost,52684.52569
deep-egs_pbinary_1,p2,Cost,34647.3574
deep-egs_pbinary_2,p2,Cost,36037.0669
deep-egs_pbinary_3,p2,Cost,37496.03775
deep-egs_pbinary_4,p2,Cost,48421.42081
deep-egs_pbinary_5,p2,Cost,50510.16099
deep-egs_pbinary_6,p2,Cost,52684.52569
deep-egs_pbinary_1,p3,Cost,36037.0669
deep-egs_pbinary_2,p3,Cost,37496.03775
deep-egs_pbinary_3,p3,Cost,48421.42081
deep-egs_pbinary_4,p3,Cost,50510.16099
deep-egs_pbinary_1,p4,Cost,36037.0669
deep-egs_pbinary_2,p4,Cost,37496.03775
deep-egs_pbinary_3,p4,Cost,48421.42081
deep-egs_pbinary_4,p4,Cost,50510.16099
deep-egs_pbinary_1,p5,Cost,34647.3574
deep-egs_pbinary_2,p5,Cost,36037.0669
deep-egs_pbinary_3,p5,Cost,37496.03775
deep-egs_pbinary_4,p5,Cost,47149.83182
deep-egs_pbinary_5,p5,Cost,48421.42081
deep-egs_pbinary_6,p5,Cost,50510.16099
deep-egs_pbinary_7,p5,Cost,52684.52569
deep-egs_pbinary_1,p6,Cost,34647.3574
deep-egs_pbinary_2,p6,Cost,36037.0669
deep-egs_pbinary_3,p6,Cost,37496.03775
deep-egs_pbinary_4,p6,Cost,47149.83182
deep-egs_pbinary_5,p6,Cost,48421.42081
deep-egs_pbinary_6,p6,Cost,50510.16099
deep-egs_pbinary_7,p6,Cost,52684.52569
deep-egs_pbinary_1,p7,Cost,34647.3574
