*t,discovery rate
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0.01
2023,0.02
2024,0.03
2025,0.04
2026,0.05
2027,0.06
2028,0.07
2029,0.08
2030,0.09
2031,0.1
2032,0.11
2033,0.12
2034,0.13
2035,0.14
2036,0.15
2037,0.16
2038,0.17
2039,0.18
2040,0.19
2041,0.2
2042,0.21
2043,0.22
2044,0.23
2045,0.24
2046,0.25
2047,0.26
2048,0.27
2049,0.28
2050,0.29
