pshsupplycurve,duration
8hr_15bin_dec2021,8
10hr_15bin_dec2021,10
12hr_15bin_dec2021,12
8hr_15bin_may2022,8
10hr_15bin_may2022,10
12hr_15bin_may2022,12
8hr_ref_dec2022,8
8hr_wEphemeral_dec2022,8
10hr_ref_dec2022,10
10hr_wEphemeral_dec2022,10
12hr_ref_dec2022,12
12hr_wEphemeral_dec2022,12
vision,12
