*i,v,r,hours
pumped-hydro,init-1,p10,12
pumped-hydro,init-1,p103,9.2
pumped-hydro,init-1,p11,394.8
pumped-hydro,init-1,p122,9.7
pumped-hydro,init-1,p126,6.2
pumped-hydro,init-1,p127,12
pumped-hydro,init-1,p131,8.2
pumped-hydro,init-1,p132,923.8
pumped-hydro,init-1,p28,113.4
pumped-hydro,init-1,p3,35.4
pumped-hydro,init-1,p33,8.1
pumped-hydro,init-1,p51,10.2
pumped-hydro,init-1,p71,4.8
pumped-hydro,init-1,p73,6.1
pumped-hydro,init-1,p85,2.8
pumped-hydro,init-1,p9,887.3
pumped-hydro,init-1,p92,19.4
pumped-hydro,init-1,p94,90.7
pumped-hydro,init-1,p95,45.9
pumped-hydro,init-1,p96,7.1
pumped-hydro,init-1,p97,1563.2
pumped-hydro,init-1,p99,7.6
