*i,v,r,frac
pumped-hydro,init-1,p10,0.96
pumped-hydro,init-1,p103,1
pumped-hydro,init-1,p11,1
pumped-hydro,init-1,p122,0.98
pumped-hydro,init-1,p126,0.93
pumped-hydro,init-1,p127,1
pumped-hydro,init-1,p131,0.97
pumped-hydro,init-1,p132,0.41
pumped-hydro,init-1,p28,0.82
pumped-hydro,init-1,p3,1
pumped-hydro,init-1,p33,0.86
pumped-hydro,init-1,p51,1
pumped-hydro,init-1,p71,0.53
pumped-hydro,init-1,p73,0.98
pumped-hydro,init-1,p85,0.41
pumped-hydro,init-1,p9,0.81
pumped-hydro,init-1,p92,1
pumped-hydro,init-1,p94,0.66
pumped-hydro,init-1,p95,1
pumped-hydro,init-1,p96,1
pumped-hydro,init-1,p97,1
pumped-hydro,init-1,p99,0.84
