,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,24.5814,61.0281,99.5193,139.0064,141.5169,153.316,185.0325,247.2108,361.7911,460.852,526.1304,565.7809,607.9296,641.5386,672.9013,711.8233,749.777,795.5343,838.162
p10,534.6252872,865.8653054,1685.6964,3163.9395,4729.9999,5585.0767,6340.9451,6512.7366,6787.0491,7213.7451,7880.1063,8431.4409,8898.0197,9271.256,9636.6631,9955.0693,10242.9686,10513.452,11180.5452,11254.3451,11774.9392
p100,0,0,0.4863,1.3293,3.0121,6.9611,12.9902,22.0799,27.1148,34.9835,49.5213,62.2963,72.5862,81.9006,90.4571,98.9726,107.2563,115.495,132.9134,148.5402,157.123
p101,8.377123095,26.91038637,62.209,106.4135,210.8,421.3996,726.9456,1172.8494,1860.9582,2850.4592,4263.4068,5600.9593,5863.1659,6087.1583,6283.087,6463.8502,6645.2526,6801.5012,6850.0889,6998.421,7221.7065
p102,5.087078563,14.23755315,24.518,45.2068,111.5589,214.9284,347.9035,547.8663,883.2103,1364.6482,2038.9024,2641.2976,2752.5792,2841.5084,2913.7912,2984.6359,3054.1523,3113.4873,3132.5842,3201.1956,3306.7238
p103,0,0,12.7706,25.0814,44.5776,60.1101,81.6192,122.3913,205.3934,372.0392,699.0839,1122.7598,1544.3391,1902.7197,2194.9227,2429.4394,2633.2765,2803.67,3002.3598,3249.1117,3497.4155
p104,0,0,0.9837,2.1711,3.7629,4.8204,6.233,8.9747,14.1544,24.0816,40.1534,58.6456,77.0144,93.4183,107.5809,119.0567,129.2079,139.7635,149.4672,167.997,187.3116
p105,0,0,3.5356,9.3408,43.1954,65.1904,96.2113,110.6569,140.6427,196.9083,303.5085,419.0505,516.3104,601.5817,690.9695,786.6204,890.5701,999.1955,1133.5727,1279.7891,1431.1717
p106,0,0,1.1957,3.3353,14.4719,23.6029,37.79,41.7387,49.0858,63.5806,91.4644,120.9321,145.8663,167.1577,193.7629,225.528,262.9038,301.7299,349.0998,396.6027,441.7298
p107,0,0,1.5277,4.4529,20.1703,41.198,64.2811,74.8239,96.7788,138.9072,218.3584,309.5367,387.4579,468.5659,555.0075,642.8712,730.5004,809.7771,900.6578,988.181,1082.9988
p108,0,0,0.1542,0.7041,5.1254,5.1254,5.1254,5.1254,5.1254,5.1254,5.1254,5.2117,5.3378,5.4848,5.6654,6.153,7.4501,9.1445,11.5618,14.6626,18.5024
p109,0,0,0.128,0.4966,4.559,4.559,4.559,4.559,4.559,4.559,4.559,4.688,5.1651,5.8242,6.6417,7.6127,8.7621,10.1741,13.2508,18.3901,25.4803
p11,107.3777754,132.949176,225.2126,483.4331,731.8472,915.4951,1072.7385,1093.258,1135.6647,1188.7394,1280.7208,1348.878,1413.5119,1472.5226,1530.8019,1571.4992,1611.1128,1639.0422,1773.0211,1777.2165,1877.6634
p110,0,0,0.0554,0.1967,2.1397,2.1397,2.1397,2.1397,2.1397,2.1397,2.1397,2.1397,2.1509,2.1818,2.2973,2.4355,2.5915,2.7632,3.3194,4.0919,5.1676
p111,0.030012846,18.41141759,24.2486,30.3889,43.9129,56.8056,76.0395,106.0986,154.9207,231.7685,353.159,519.8561,730.1895,974.6482,1243.0082,1518.2576,1575.7245,1637.3744,1708.0198,1781.0333,1864.2183
p112,0,15.96889695,36.8508,45.0881,62.7974,72.9529,88.2213,112.3921,152.3873,217.2086,322.1881,471.6618,669.4912,910.495,1182.9063,1468.1605,1548.7276,1627.8241,1710.8892,1790.2771,1879.1515
p113,0.00074308,3.858751976,6.0898,7.611,11.1258,14.7845,20.4833,29.3909,43.8804,66.45,101.8815,150.1387,210.3584,279.2518,352.5091,425.9792,442.1391,456.7164,470.4079,483.5885,498.3288
p114,0,5.660933492,10.8588,12.8885,17.3925,19.1607,22.1223,27.1001,35.5302,49.5534,72.5446,106.4054,152.5215,210.2962,277.7343,352.6115,382.3109,416.3802,454.7925,496.9971,543.0874
p115,0.438228156,35.5977707,56.5255,67.4962,87.1848,116.5575,160.7215,222.0431,314.1618,447.3496,638.8947,821.6631,842.2466,861.0996,877.1489,890.6458,902.1334,912.0514,927.2645,941.2017,952.7709
p116,0,0,22.7574,37.162,51.4588,60.8013,68.8166,79.7665,99.0973,126.6103,165.9769,210.281,257.5198,305.6158,354.0826,402.1994,412.9795,425.3336,447.4179,463.8322,486.3931
p117,0,0,2.473,3.5045,4.3267,4.3553,4.3736,4.403,4.5672,5.2543,6.7672,9.1184,12.7225,18.202,26.468,38.6774,45.5397,54.9659,80.9504,96.4683,130.4637
p118,0,0,2.3049,4.7974,9.59,13.2708,18.807,27.7492,32.8895,42.7442,68.9683,104.705,150.2831,209.5842,276.6386,343.7304,399.5958,447.355,516.9781,585.3758,624.6505
p119,0.123533323,4.106571736,9.5527,11.3277,13.9698,17.044,20.7798,25.568,33.6205,45.1793,62.2577,78.8532,81.5192,84.2948,86.8645,89.0344,90.7843,92.4588,94.7723,96.7436,98.4032
p12,0.408189973,14.22757422,30.1537,72.1261,90.9475,95.1751,97.8342,103.0546,114.8624,134.5612,164.3452,185.8095,202.0562,217.2266,232.7906,245.1319,257.6342,270.7702,281.5065,291.0113,301.381
p120,0.304902382,2.880211639,7.5386,8.8571,10.7159,12.4776,14.7474,17.8055,23.0352,30.4999,41.2586,51.2753,53.4404,55.9956,58.6821,61.0044,62.8811,64.4571,66.244,67.7085,68.9912
p121,0,8.308360209,28.6355,80.1772,111.5692,120.8656,121.7791,122.9437,134.1861,155.1761,164.5057,172.4954,179.0618,184.4044,189.3481,193.2769,196.8423,200.1741,204.7706,208.6626,212.2194
p122,2.438565672,132.0154459,149.6086,192.092,283.5599,452.5802,662.0676,950.6321,1392.7816,1997.0412,2839.0573,3573.0501,3628.3325,3674.8198,3718.263,3758.3197,3803.739,3848.0096,3919.0091,3979.3986,4031.9413
p123,0.002115553,75.49163979,173.026,556.0375,837.0138,970.8332,1034.5088,1097.0669,1240.2463,1452.0816,1554.4536,1640.58,1711.7324,1768.2191,1820.7443,1866.0515,1911.8618,1952.783,2004.5703,2056.4622,2107.7887
p124,0,0,0.0718,0.1867,0.3425,0.5884,1.0098,1.6847,1.9957,2.6455,4.851,7.5513,10.5716,14.0178,17.5101,20.6818,23.6546,26.5412,32.1493,36.5159,38.9666
p125,0.947636682,17.6,27.561,62.1679,92.3669,117.7506,139.2459,165.3265,207.6469,270.2136,362.9978,378.5089,393.3462,406.4942,419.5987,432.9164,448.9564,462.273,486.1435,505.5106,522.5616
p126,4.57672123,816.9,1210.57,1625.2456,2169.931,2500.3945,2701.8056,2868.454,3099.197,3430.2239,3911.8019,4363.8491,4394.7774,4424.343,4455.3347,4484.8531,4519.0555,4555.1903,4609.0208,4662.1907,5424.7632
p127,3.257673856,107.8581726,276.6155,671.2555,1170.3118,1283.7823,1353.4154,1431.9871,1588.3812,1862.7077,2261.3461,2623.6497,2969.1851,3335.6043,3649.7191,3907.6761,4100.2146,4277.2484,4280.7632,4528.5851,4533.9949
p128,7.216393541,16.04182742,58.0848,179.4309,329.3549,470.1594,597.0934,730.2793,905.6904,1146.1078,1423.8591,1666.1259,1867.156,2041.9127,2172.606,2270.0523,2336.7037,2390.4708,2394.1459,2455.8449,2461.2005
p129,0.188722468,8.9,26.012,101.072,137.6835,153.8715,167.8448,183.4612,205.0712,234.0029,272.3352,283.2969,294.752,306.854,318.796,330.367,341.3761,351.985,362.9294,373.5767,382.8916
p13,0.543822861,29.67242578,53.0439,184.192,272.5428,312.104,345.7189,389.3084,451.4244,534.3517,653.1958,744.9582,808.8365,861.6351,911.2594,947.5135,978.1634,1007.4837,1035.0168,1061.2611,1084.21
p130,0,0,5.181,52.2074,85.5438,119.7787,129.2418,139.3359,153.6399,174.5624,205.5831,235.7187,263.6901,290.6728,313.5489,332.5697,348.1983,360.9881,372.8148,382.8879,391.1007
p131,2.936474285,178.4,681.5852,1491.8966,2384.9452,2637.9661,2696.0555,2739.5189,2788.4639,2855.4378,2964.171,3071.995,3170.958,3268.7584,3353.5118,3428.8494,3492.1648,3546.7955,3598.8383,3646.7439,3689.5126
p132,1.362208484,36.6,115.1813,309.1883,515.5551,611.0743,696.0331,723.9875,763.0381,820.4241,902.6675,981.9812,1052.5492,1111.8306,1155.8266,1189.0603,1216.6508,1242.034,1272.7022,1300.9128,1327.1597
