,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p124,0,0,0.0688,0.1796,0.3142,0.5361,0.9295,1.6239,1.9985,3.9925,8.2834,13.1936,18.2929,23.3392,28.6452,32.9925,37.3367,40.3294,47.0125,50.9596,52.8893
p125,0.947636682,17.6,27.561,62.1679,92.3669,117.3162,141.2974,173.3508,230.0035,328.2643,389.477,438.8121,487.8909,522.1178,554.954,582.6845,609.2205,632.5005,669.0978,699.4664,714.7436
p126,4.57672123,816.9,1210.57,1625.2456,2169.931,2504.7251,2721.5725,2922.3847,3199.0632,3657.2712,4330.5066,4448.4551,4568.8007,4684.1586,4809.9522,4923.5801,5034.8917,5148.8512,5309.594,5450.7496,5570.3155
p127,3.257673856,107.8581726,276.5684,671.0568,1169.441,1284.4447,1360.5868,1455.928,1671.313,2014.1608,2523.627,3047.931,3560.1718,4045.3446,4490.4786,4522.7395,4559.8003,4611.3455,4676.577,4792.1788,4911.4329
p128,7.216393541,16.04182742,58.132,179.6296,330.2257,471.6544,603.6528,749.4205,955.556,1222.1107,1527.4516,1801.2075,2028.7276,2212.2401,2355.7867,2370.6487,2388.0405,2407.3511,2428.8465,2453.6098,2479.5863
p129,0.188722468,8.9,26.012,101.072,137.6835,154.2006,169.9201,189.1522,215.8221,252.5041,270.9734,290.5363,310.699,331.2659,352.0047,371.5392,392.5789,413.615,435.3736,457.0001,478.7621
p13,0.543822861,29.67242578,53.0365,184.1609,272.4642,312.1479,348.5843,399.2118,485.4096,615.4715,775.9746,893.0901,982.5727,1052.5789,1105.9606,1155.6216,1196.2765,1237.4944,1255.8408,1288.393,1323.7362
p130,0,0,5.181,52.2074,85.5438,120.0952,130.6402,143.0044,161.2612,191.6617,242.3559,290.9776,334.3927,370.4793,402.07,428.5822,455.9505,480.3257,502.2735,524.7154,546.6613
p131,2.936474285,178.4,681.5852,1491.8966,2384.9452,2641.3419,2703.752,2755.2446,2817.1947,2924.5042,3103.1524,3277.8859,3434.517,3570.5548,3685.3268,3781.8138,3890.4672,3988.5618,4084.7825,4173.4674,4261.8512
p132,1.362208484,36.6,115.1813,309.1883,515.5551,612.4616,704.0608,737.1101,784.8098,860.8637,989.0418,1110.7841,1212.5823,1299.5944,1371.1879,1428.003,1486.1668,1544.4834,1605.8233,1657.9522,1709.2391
p133,0,0,0.0822,10.2909,94.7544,115.1637,140.3053,162.0346,183.0389,214.9548,312.0573,375.8659,415.0868,447.207,475.6432,498.351,550.7003,551.074,554.1816,560.2056,689.8456
p134,1.440997601,5.640375641,25.2304,40.6665,55.7855,68.418,83.2986,101.842,126.934,161.8421,210.4481,267.7719,333.3341,365.7116,399.9701,435.0303,471.8126,508.6167,546.4535,583.2042,619.8932
p14,0,0,0.2111,1.192,4.807,10.2783,17.0901,30.1198,38.7861,52.6344,73.2548,85.6566,94.7824,102.1567,108.5617,113.9887,119.9413,126.4595,128.7597,136.0653,144.2814
p15,0,0,0.3876,3.5533,19.2931,43.1283,69.0782,114.3758,143.9,187.6675,258.9091,305.0939,342.0701,372.1585,393.4211,416.0333,437.7237,458.2056,467.4252,491.3026,516.6041
p16,0,0,0.1955,1.3623,6.0037,13.873,23.6045,41.5273,57.296,82.8405,121.0751,146.1577,167.3538,183.9148,195.7478,208.076,221.819,234.5345,239.3612,252.0124,268.5887
p17,0,0,0.3424,1.83,3.8854,4.9334,6.4535,9.0674,14.2482,24.8599,43.45,65.4497,90.0051,114.7387,129.8329,149.4966,167.0316,183.1145,193.9364,208.5779,225.4416
p18,0,0,0.3042,1.6833,3.6667,4.5526,5.741,7.8488,12.2141,22.363,38.6385,57.5838,78.3792,98.8276,111.0694,126.4792,141.1399,154.9036,164.5287,177.7232,191.6045
p19,0,0,0.0087,0.0492,0.102,0.1248,0.1542,0.2061,0.3171,0.5519,0.95,1.4353,1.9923,2.5581,2.9452,3.3545,3.7008,4.0096,4.2084,4.507,4.8253
p2,4.25E-05,3.598774958,6.0094,10.5286,17.0802,24.2916,28.3366,34.5591,48.6533,78.5751,150.9729,224.3705,284.8742,326.4982,357.9883,388.8685,419.3751,448.2824,460.4112,492.8818,530.4068
p20,0,0,0.1607,0.9108,1.9369,2.4598,3.2346,4.6203,7.6699,14.0175,23.7996,35.5096,48.4161,61.2137,68.871,79.2862,88.7909,96.9149,102.094,109.3547,117.0597
p21,0,0,0.1074,0.3596,0.8512,1.2691,1.7486,3.018,5.9028,11.0089,18.9117,26.3745,33.3348,39.7043,43.4628,47.8218,53.4592,59.7235,65.4191,73.6903,84.2205
p22,0,0,0.0203,0.0616,0.2281,0.3312,0.4573,0.6342,0.8888,1.3358,2.1225,3.071,4.0979,5.19,5.7263,6.4046,7.1726,8.0893,9.2231,10.5035,11.9092
p23,0,0,0.0379,0.1181,0.3683,0.5877,0.8548,1.2539,2.024,3.5669,6.3534,9.4154,12.4488,15.3387,17.2159,19.2193,21.1483,23.3644,26.1731,29.4379,32.8998
p24,0,0,0.1875,0.5471,1.7526,2.6107,3.731,5.4856,8.5111,13.5039,21.4067,29.3598,36.7821,44.1857,48.9648,54.0604,60.1641,67.1854,75.4342,85.4049,96.0178
p25,0,0,16.6522,155.2118,294.2219,414.6762,464.6286,485.0087,508.0072,556.6793,700.6325,808.8283,916.8071,1018.1332,1095.4644,1175.5002,1276.3209,1387.576,1433.7933,1520.9054,1595.2381
p26,0,0,0.9397,10.3005,18.7393,24.3768,26.5537,27.2531,28.0625,30.3969,37.5331,43.272,49.3987,55.0454,59.4414,63.8339,68.365,73.3486,76.3064,81.2421,85.802
p27,0.432030983,12.67567255,21.0344,37.742,58.7085,63.2143,64.4854,68.2787,76.5489,90.8498,110.1727,115.1161,120.3841,126.0365,130.8619,135.9467,140.6829,144.7516,148.577,153.3999,158.1389
p28,7.941410686,257.0910799,474.3033,726.0784,1050.8667,1127.564,1181.7786,1257.1978,1373.1681,1576.9064,1900.14,2099.5185,2281.6875,2439.4338,2576.4365,2681.0937,2790.3507,2905.2921,3004.7574,3114.5221,3213.7905
p29,0.033362992,3.953283745,4.6211,7.2739,10.4171,10.9029,11.1597,11.5284,12.3524,14.1062,16.8015,18.3183,19.7589,21.0848,22.2805,23.2603,24.1772,25.1622,26.0009,26.8127,27.5048
