*r,cs,miles
p10,Moreno2,135.75
p10,Panoche1a,135.75
p10,Panoche1b,135.75
p10,Repetto_Sst1,0.0
p10,Repetto_Sst2a,0.0
p10,Repetto_Sst2b,0.0
p10,Repetto_Sst2c,0.0
p10,Repetto_Sst3a,0.0
p10,Repetto_Sst3b,0.0
p10,Repetto_Sst3c,0.0
p10,Repetto_Sst3d,0.0
p10,Stevens1,83.32
p10,Temblor1a,83.32
p10,Temblor1b,83.32
p10,Temblor2a,135.75
p10,Temblor2b,135.75
p10,Temblor3a,135.75
p10,Temblor3b,135.75
p10,Temblor3c,135.75
p100,Conasuaga1,139.71
p100,Copper_Ridge1,139.71
p100,Copper_Ridge2,88.86
p100,Lockport02,139.7
p100,Lockport05,29.61
p100,Medina03,43.01
p100,Oriskany1,43.23
p100,Oriskany2,153.46
p100,Oriskany3,139.7
p100,Oriskany4,49.05
p100,Oriskany5,142.42
p100,Oriskany6,43.66
p100,Oriskany7,144.96
p100,Potsdam1,128.21
p100,Rome_Trough_Sst2,140.51
p100,Rose_Run4,141.38
p100,Waste_Gate1,135.77
p101,Cedar_KeysLawson1,33.17
p101,Cedar_KeysLawson2,0.0
p101,Cedar_KeysLawson3,186.65
p101,Lower_Tuscaloosa03,178.22
p101,Lower_Tuscaloosa04,175.78
p101,Paluxy5,181.79
p101,Sunniland1,78.27
p101,WashitaFredericksburg2,182.52
p102,Cedar_KeysLawson1,115.51
p102,Cedar_KeysLawson2,0.0
p102,Cedar_KeysLawson3,22.09
p102,Sunniland1,16.34
p103,Conasuaga1,48.58
p103,Mount_SImon07,73.33
p103,Mount_SImon08,0.0
p103,Mount_Simon06,92.3
p103,Mount_Simon10,48.68
p103,Niagaran01,29.67
p103,StPeter07,194.27
p104,Conasuaga1,93.31
p104,Mount_SImon07,0.0
p104,Mount_SImon08,44.23
p104,Mount_Simon03,131.7
p104,Mount_Simon06,38.83
p104,Mount_Simon10,56.12
p104,Niagaran01,38.77
p105,Conasuaga1,63.23
p105,Knox1,159.73
p105,Knox3,151.45
p105,Lockport02,163.98
p105,Mount_SImon07,47.19
p105,Mount_SImon08,45.55
p105,Mount_Simon02,160.05
p105,Mount_Simon03,117.64
p105,Mount_Simon05,158.8
p105,Mount_Simon06,0.0
p105,Mount_Simon10,16.12
p105,Niagaran01,91.35
p105,Oriskany2,175.29
p105,StPeter03,151.45
p106,Conasuaga1,153.44
p106,Copper_Ridge1,196.98
p106,Knox1,68.84
p106,Knox2,114.72
p106,Knox3,50.45
p106,Knox4,122.0
p106,Knox5,133.69
p106,Knox6,146.64
p106,Lockport02,194.36
p106,Mount_SImon07,147.64
p106,Mount_SImon08,158.17
p106,Mount_Simon02,68.71
p106,Mount_Simon03,68.62
p106,Mount_Simon04,100.68
p106,Mount_Simon05,45.99
p106,Mount_Simon06,0.0
p106,Mount_Simon10,68.27
p106,Rome_Trough_Sst1,170.36
p106,Rose_Run1,174.01
p106,StPeter02,114.72
p106,StPeter03,50.45
p106,StPeter04,122.0
p106,StPeter05,133.69
p106,StPeter06,146.64
p107,Basal_Sandstone_TN_Zone_2,171.31
p107,Knox1,37.39
p107,Knox2,22.76
p107,Knox3,15.5
p107,Knox4,0.0
p107,Knox5,18.66
p107,Knox6,1.75
p107,Mount_Simon02,51.33
p107,Mount_Simon03,101.12
p107,Mount_Simon04,0.0
p107,Mount_Simon05,27.45
p107,Mount_Simon06,58.5
p107,Mount_Simon10,163.15
p107,Rome_Trough_Sst1,152.82
p107,Rose_Run1,146.92
p107,StPeter02,22.76
p107,StPeter03,15.5
p107,StPeter04,0.0
p107,StPeter05,18.66
p107,StPeter06,1.75
p108,Basal_Sandstone_TN_Zone_2,144.22
p108,Knox1,59.77
p108,Knox2,47.69
p108,Knox3,0.79
p108,Knox4,3.11
p108,Knox5,0.0
p108,Knox6,1.85
p108,Lockport01,190.3
p108,Mount_Simon02,70.07
p108,Mount_Simon03,126.93
p108,Mount_Simon04,0.78
p108,Mount_Simon05,14.91
p108,Mount_Simon06,43.88
p108,Mount_Simon10,153.2
p108,Rome_Trough_Sst1,128.78
p108,Rose_Run1,120.26
p108,StPeter02,47.69
p108,StPeter03,0.79
p108,StPeter04,3.11
p108,StPeter05,0.0
p108,StPeter06,1.85
p109,Basal_Sandstone_TN_Zone_2,126.02
p109,Conasuaga1,150.72
p109,Copper_Ridge1,158.02
p109,Knox1,97.28
p109,Knox2,102.31
p109,Knox3,40.26
p109,Knox4,72.0
p109,Knox5,34.89
p109,Knox6,77.81
p109,Lockport01,143.32
p109,Lockport02,162.52
p109,Mount_Simon02,97.28
p109,Mount_Simon03,139.44
p109,Mount_Simon04,64.11
p109,Mount_Simon05,33.44
p109,Mount_Simon06,3.17
p109,Mount_Simon10,80.61
p109,Oriskany7,159.38
p109,Rome_Trough_Sst1,70.18
p109,Rome_Trough_Sst2,158.25
p109,Rose_Run1,86.13
p109,StPeter02,102.31
p109,StPeter03,40.26
p109,StPeter04,72.0
p109,StPeter05,34.89
p109,StPeter06,77.81
p11,Stevens1,184.07
p11,Temblor1a,184.07
p11,Temblor1b,184.07
p110,Basal_Sandstone_TN_Zone_2,103.32
p110,Conasuaga1,67.26
p110,Copper_Ridge1,65.81
p110,Copper_Ridge2,193.11
p110,Knox5,192.79
p110,Lockport01,0.0
p110,Lockport02,67.26
p110,Lockport05,199.82
p110,Medina03,199.82
p110,Mount_Simon06,150.8
p110,Mount_Simon10,84.0
p110,Oriskany1,199.82
p110,Oriskany2,122.38
p110,Oriskany3,158.65
p110,Oriskany4,193.11
p110,Oriskany6,27.84
p110,Oriskany7,18.17
p110,Rome_Trough_Sst1,0.0
p110,Rome_Trough_Sst2,24.17
p110,Rose_Run1,0.0
p110,StPeter05,192.79
p111,Conasuaga1,0.0
p111,Copper_Ridge1,106.13
p111,Copper_Ridge2,99.12
p111,Lockport02,10.79
p111,Lockport05,168.89
p111,Lockport06,101.82
p111,Medina03,168.89
p111,Mount_SImon07,152.25
p111,Mount_SImon08,83.46
p111,Mount_Simon06,151.37
p111,Mount_Simon10,79.71
p111,Oriskany1,168.98
p111,Oriskany2,41.45
p111,Oriskany3,43.41
p111,Oriskany4,98.74
p111,Oriskany5,57.28
p111,Oriskany6,81.78
p111,Oriskany7,143.04
p111,Potsdam1,57.41
p111,Rome_Trough_Sst2,138.83
p111,Rose_Run4,57.26
p112,Conasuaga1,12.11
p112,Copper_Ridge1,71.77
p112,Copper_Ridge2,123.28
p112,Knox3,198.33
p112,Lockport01,116.0
p112,Lockport02,45.8
p112,Lockport05,176.79
p112,Medina03,176.79
p112,Mount_SImon07,162.12
p112,Mount_SImon08,130.14
p112,Mount_Simon05,184.17
p112,Mount_Simon06,90.89
p112,Mount_Simon10,0.0
p112,Niagaran01,175.96
p112,Oriskany1,176.81
p112,Oriskany2,60.04
p112,Oriskany3,92.51
p112,Oriskany4,123.21
p112,Oriskany5,124.84
p112,Oriskany6,103.01
p112,Oriskany7,84.52
p112,Potsdam1,161.02
p112,Rome_Trough_Sst1,134.62
p112,Rome_Trough_Sst2,102.0
p112,Rose_Run1,90.57
p112,Rose_Run4,129.51
p112,StPeter03,198.33
p113,Conasuaga1,70.63
p113,Copper_Ridge1,110.68
p113,Copper_Ridge2,184.34
p113,Knox1,167.52
p113,Knox2,199.24
p113,Knox3,135.74
p113,Knox4,193.98
p113,Knox5,171.15
p113,Lockport01,127.05
p113,Lockport02,97.19
p113,Mount_SImon07,151.87
