*r,cs
p10,Moreno2
p10,Panoche1a
p10,Panoche1b
p10,Repetto_Sst1
p10,Repetto_Sst2a
p10,Repetto_Sst2b
p10,Repetto_Sst2c
p10,Repetto_Sst3a
p10,Repetto_Sst3b
p10,Repetto_Sst3c
p10,Repetto_Sst3d
p10,Stevens1
p10,Temblor1a
p10,Temblor1b
p10,Temblor2a
p10,Temblor2b
p10,Temblor3a
p10,Temblor3b
p10,Temblor3c
p100,Conasuaga1
p100,Copper_Ridge1
p100,Copper_Ridge2
p100,Lockport02
p100,Lockport05
p100,Medina03
p100,Oriskany1
p100,Oriskany2
p100,Oriskany3
p100,Oriskany4
p100,Oriskany5
p100,Oriskany6
p100,Oriskany7
p100,Potsdam1
p100,Rome_Trough_Sst2
p100,Rose_Run4
p100,Waste_Gate1
p101,Cedar_KeysLawson1
p101,Cedar_KeysLawson2
p101,Cedar_KeysLawson3
p101,Lower_Tuscaloosa03
p101,Lower_Tuscaloosa04
p101,Paluxy5
p101,Sunniland1
p101,WashitaFredericksburg2
p102,Cedar_KeysLawson1
p102,Cedar_KeysLawson2
p102,Cedar_KeysLawson3
p102,Sunniland1
p103,Conasuaga1
p103,Mount_SImon07
p103,Mount_SImon08
p103,Mount_Simon06
p103,Mount_Simon10
p103,Niagaran01
p103,StPeter07
p104,Conasuaga1
p104,Mount_SImon07
p104,Mount_SImon08
p104,Mount_Simon03
p104,Mount_Simon06
p104,Mount_Simon10
p104,Niagaran01
p105,Conasuaga1
p105,Knox1
p105,Knox3
p105,Lockport02
p105,Mount_SImon07
p105,Mount_SImon08
p105,Mount_Simon02
p105,Mount_Simon03
p105,Mount_Simon05
p105,Mount_Simon06
p105,Mount_Simon10
p105,Niagaran01
p105,Oriskany2
p105,StPeter03
p106,Conasuaga1
p106,Copper_Ridge1
p106,Knox1
p106,Knox2
p106,Knox3
p106,Knox4
p106,Knox5
p106,Knox6
p106,Lockport02
p106,Mount_SImon07
p106,Mount_SImon08
p106,Mount_Simon02
p106,Mount_Simon03
p106,Mount_Simon04
p106,Mount_Simon05
p106,Mount_Simon06
p106,Mount_Simon10
p106,Rome_Trough_Sst1
p106,Rose_Run1
p106,StPeter02
p106,StPeter03
p106,StPeter04
p106,StPeter05
p106,StPeter06
p107,Basal_Sandstone_TN_Zone_2
p107,Knox1
p107,Knox2
p107,Knox3
p107,Knox4
p107,Knox5
p107,Knox6
p107,Mount_Simon02
p107,Mount_Simon03
p107,Mount_Simon04
p107,Mount_Simon05
p107,Mount_Simon06
p107,Mount_Simon10
p107,Rome_Trough_Sst1
p107,Rose_Run1
p107,StPeter02
p107,StPeter03
p107,StPeter04
p107,StPeter05
p107,StPeter06
p108,Basal_Sandstone_TN_Zone_2
p108,Knox1
p108,Knox2
p108,Knox3
p108,Knox4
p108,Knox5
p108,Knox6
p108,Lockport01
p108,Mount_Simon02
p108,Mount_Simon03
p108,Mount_Simon04
p108,Mount_Simon05
p108,Mount_Simon06
p108,Mount_Simon10
p108,Rome_Trough_Sst1
p108,Rose_Run1
p108,StPeter02
p108,StPeter03
p108,StPeter04
p108,StPeter05
p108,StPeter06
p109,Basal_Sandstone_TN_Zone_2
p109,Conasuaga1
p109,Copper_Ridge1
p109,Knox1
p109,Knox2
p109,Knox3
p109,Knox4
p109,Knox5
p109,Knox6
p109,Lockport01
p109,Lockport02
p109,Mount_Simon02
p109,Mount_Simon03
p109,Mount_Simon04
p109,Mount_Simon05
p109,Mount_Simon06
p109,Mount_Simon10
p109,Oriskany7
p109,Rome_Trough_Sst1
p109,Rome_Trough_Sst2
p109,Rose_Run1
p109,StPeter02
p109,StPeter03
p109,StPeter04
p109,StPeter05
p109,StPeter06
p11,Stevens1
p11,Temblor1a
p11,Temblor1b
p110,Basal_Sandstone_TN_Zone_2
p110,Conasuaga1
p110,Copper_Ridge1
p110,Copper_Ridge2
p110,Knox5
p110,Lockport01
p110,Lockport02
p110,Lockport05
p110,Medina03
p110,Mount_Simon06
p110,Mount_Simon10
p110,Oriskany1
p110,Oriskany2
p110,Oriskany3
p110,Oriskany4
p110,Oriskany6
p110,Oriskany7
p110,Rome_Trough_Sst1
p110,Rome_Trough_Sst2
p110,Rose_Run1
p110,StPeter05
p111,Conasuaga1
p111,Copper_Ridge1
p111,Copper_Ridge2
p111,Lockport02
p111,Lockport05
p111,Lockport06
p111,Medina03
p111,Mount_SImon07
p111,Mount_SImon08
p111,Mount_Simon06
p111,Mount_Simon10
p111,Oriskany1
p111,Oriskany2
p111,Oriskany3
p111,Oriskany4
p111,Oriskany5
p111,Oriskany6
p111,Oriskany7
