,max_inj_rate,max_stor_cap,bec_10,bec_20,bec_30,bec_40,bec_50,bec_60,bec_70,bec_80,bec_90
Arbuckle1,9817.4,2442,28.9,17.4,13.5,11.4,10.2,9.6,9.1,8.8,8.5
Arbuckle2,8662.4,2087.2,34.6,21.1,16.5,14.6,13.6,12.9,12.2,11.9,11.7
Arbuckle3,1732.5,514.4,31.4,19.7,15.6,14.3,13.1,12.5,12.1,11.8,11.6
Arbuckle4,42734.4,10144.4,25.3,15.1,11.6,9.8,8.7,8,7.5,7.2,7
Atoka1,34072,8102.7,42.5,25.1,19.2,16.1,15,13.9,13.4,12.7,12.3
Atoka2,5774.9,1483.5,40.5,24.1,18.5,15.6,14.5,13.5,13.1,12.4,11.9
Basal_Cambrian1,12704.8,3123.9,35.6,24.3,21.3,19.8,18.8,18.2,17.7,17.3,17
Basal_Cambrian4,13859.8,3316.9,45.7,30.1,25.9,23.7,22.3,21.4,20.7,20.1,19.7
Basal_Cambrian7,14437.3,3434.3,42.3,28.4,24.6,22.7,21.7,20.9,20.2,19.7,19.3
Basal_Cambrian8,25409.6,6040.5,29.7,19.2,16.1,14.7,13.8,13.3,13.1,12.7,12.4
Canyon1,13859.8,3327.6,27.7,16.6,12.9,10.9,9.7,9.1,8.7,8.4,8.1
Canyon2,7507.4,1863.3,27,16.3,12.7,10.7,9.6,9,8.6,8.3,8
Canyon3,56594.1,13497.8,34.1,19.7,14.8,12.3,10.8,9.7,9,8.6,8.3
Canyon4,9817.4,2432.4,32.5,18.9,14.3,11.9,10.4,9.5,8.8,8.4,8.1
Cedar_KeysLawson1,2887.5,775.5,34.6,20.3,15.5,13,11.7,10.8,10.2,9.7,9.4
Cedar_KeysLawson2,14437.3,3525.2,29.2,17,12.9,10.7,9.4,8.6,8,7.6,7.4
Cisco1,7507.4,1887.7,34.4,22.4,19,17.6,16.8,16,15.5,15.2,14.8
Cisco2,4042.4,1067.2,34.4,22.3,19,17.6,16.8,16,15.5,15.2,14.8
Cisco3,31184.5,7474.1,36.9,23.3,19.2,17.3,16.5,15.8,15.2,14.7,14.5
Cisco4,5197.4,1346.9,35.6,22.6,18.7,17,16.2,15.5,14.9,14.4,14.2
Dakota02,5774.9,1470.6,34.7,25,22.3,20.9,20.2,19.5,19.2,18.7,18.5
Domengine1,5774.9,1408.6,27.2,15.8,12,10,8.8,8.1,7.5,7.2,7
