,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.4,94,128.2,210.9,382.4,619.6,796,905,997.5,1022.1,1034.6,1048.3,1065.4,1088.2,1128.8,1176.6,1239,1304
p10,534.6,865.9,1697,3201.4,4765.3,5433.2,5874.7,6578.1,7265.3,7952.7,8559.4,9156.6,9474.5,9641.3,9824.8,10028.6,10382.5,10858.1,11402.5,11965.1,12540.9
p100,0,0,0.4,1,2.5,5,10,18.3,28.8,41.3,57.3,65.9,70.2,70.7,71.1,71.8,73.4,76.6,81.9,89.4,101.9
p101,8.4,26.9,56.6,100.9,215.4,397.1,716.5,1219.7,1891,2743.3,3797.1,4628.1,5071.3,5128.7,5191.2,5277.6,5478.8,5823.2,6377.6,7190.8,7506.5
p102,5.1,14.2,29.8,49.5,101.8,139.9,220.9,381.1,654.1,1029.2,1510.7,1950.4,2187.6,2204.5,2223.2,2254.5,2342.4,2498.3,2752,3147.1,3288.9
p103,0,0,13.1,25.7,45.9,65.9,113.7,211.2,387.4,679.5,1159.7,1480.9,1712.9,1771.8,1849.3,1940.2,2019.3,2098.6,2189.3,2380.2,2786.8
p104,0,0,1.2,3,4.5,6.5,10.5,17.8,29.6,49,77.1,98.5,113.6,117.7,121.9,127.6,134.3,143.2,152.1,164.1,182.7
p105,0,0,4.1,11.1,49.1,66.6,99,142.2,210.9,314.4,461.2,575.1,665.6,707.5,748.7,794.1,847.1,908.6,981.2,1061.3,1186.5
p106,0,0,0.8,2.2,10.9,19.7,34,50.1,72.8,102.9,145.2,189.6,224.9,240,254.1,268.5,285.5,306.8,331.8,359.4,396.6
p107,0,0,1.4,3.9,17.8,26.8,47.7,72.6,112.5,172.1,262.3,331.3,387,403.1,420.3,443.2,474.7,517.1,570.2,631.7,726.8
