,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,21.028,49.788,75.685,87.394,106.195,134.915,167.29,201.929,310.14,310.151,314.72,345.301,361.252,380.678,384.556,405.734,412.615,415.951,427.07
p10,534.6252872,865.8653054,1725.791,3291.16,4877.015,5726.845,5900.568,6134.391,6392.728,6688.462,6977.713,6999.617,7039.681,7071.07,7101.02,7140.361,7198.146,7255.152,7306.85,7350.957,7373.463
p100,0,0,0.589,1.675,3.982,6.348,10.609,17.373,26.327,38.174,52.164,54.959,58.218,61.262,64.31,67.654,70.355,72.486,73.906,75.142,76.46
p101,8.377123095,26.91038637,61.356,110.541,232.899,485.372,938.736,1673.772,2694.176,4087.958,5867.486,6063.587,6250.937,6424.917,6591.092,6760.771,6902.271,7035.676,7145.038,7252.77,7397.219
p102,5.087078563,14.23755315,25.662,41.917,93.116,207.653,395.037,686.119,1094.893,1686.598,2512.193,2615.227,2714.576,2799.927,2876.361,2951.938,3017.244,3075.808,3134.69,3194.128,3279.563
p103,0,0,13.314,26.51,46.729,61.211,94.767,153.977,249.722,410.819,672.763,877.469,1096.521,1295.66,1456.418,1586.505,1671.049,1738.328,1789.2,1843.54,1894.221
p104,0,0,1.067,2.233,3.906,4.748,6.532,9.809,15.659,26.344,43.419,56.909,71.808,86.074,98.905,110.577,118.876,124.778,129.176,132.461,134.286
p105,0,0,3.595,9.918,44.59,80.153,145.611,177.874,227.305,300.926,402.656,454.08,517.485,582.293,644.024,703.554,747.988,785.476,817.365,850.539,883.057
p106,0,0,1.193,3.061,14.639,26.159,46.214,53.977,64.532,81.018,105.178,117.889,135.958,156.257,176.123,194.232,209.085,221.963,231.468,240.452,248.689
p107,0,0,1.471,4.15,18.608,38.154,73.718,91.73,118.12,156.906,212.164,243.126,285.596,333.828,381.188,424.765,456.768,481.878,503.113,524.706,542.748
p108,0,0,0.128,0.595,5.328,6.545,8.542,11.451,15.452,21.015,28.831,35.525,44.19,54.536,66.622,80.096,93.887,107.821,121.06,133.519,144.549
p109,0,0,0.113,0.354,4.495,5.532,6.988,9.506,13.45,19.685,29.404,38.6,52.499,71.679,97.7,131.454,172.452,220.333,271.708,323.664,374.428
p11,107.3777754,132.949176,215.203,438.949,683.959,838.658,859.028,880.878,905.82,935.086,962.35,963.734,967.212,971.643,976.812,979.198,980.704,984.789,990.016,995.053,998.323
p110,0,0,0.108,0.386,2.839,3.661,4.931,6.9,9.669,13.701,19.555,25.049,32.289,41.093,51.437,63.008,74.875,86.325,96.909,106.588,115.065
p111,0.030012846,18.41141759,24.655,30.781,44.159,53.617,70.117,98.607,146.376,224.842,350.815,505.891,707.463,943.087,1195.335,1457.247,1689.772,1704.57,1716.845,1727.147,1736.071
p112,0,15.96889695,36.275,44.143,60.694,67.131,78.368,96.873,126,171.894,243.439,320.475,420.616,538.61,668.41,803.809,927.417,940.609,952.234,964.032,975.893
p113,0.00074308,3.858751976,6.399,7.935,11.575,14.221,18.841,26.848,40.518,63.385,100.686,149.346,213.735,289.622,371.668,454.289,526.23,529.722,532.116,534.721,536.964
p114,0,5.660933492,10.72,13.118,18.801,22.762,29.997,42.745,63.92,98.702,153.929,218.91,302.947,401.521,508.775,616.623,712.974,719.671,725.818,731.799,737.352
p115,0.438228156,35.5977707,68.316,93.416,124.772,197.938,290.399,418.33,562.219,761.949,1015.993,1064.913,1113.843,1161.204,1164.719,1170.567,1176.193,1181.825,1187.059,1191.593,1376.237
p116,0,0,21.707,35.678,49.634,50.41,51.791,53.928,56.933,61.52,68.432,74.211,82.672,94.347,109.914,129.449,151.695,174.913,197.378,217.982,236.009
p117,0,0,3.523,4.988,6.151,6.168,6.207,6.334,6.623,7.211,8.261,9.272,10.951,13.528,17.423,23.124,30.862,40.754,52.448,65.282,78.25
p118,0,0,1.288,3.26,7.208,9.164,12.995,20.048,30.556,47.181,72.629,86.955,104.89,122.978,140.157,155.824,167.082,175.08,180.589,184.539,188.535
p119,0.123533323,4.106571736,9.507,10.643,12.159,13.075,15.257,19.745,27.82,40.616,58.685,65.207,72.412,79.196,79.887,80.913,81.911,82.874,83.504,84.266,96.885
p12,0.408189973,14.22757422,17.934,59.747,86.68,88.308,89.448,91.163,93.34,97.732,102.913,102.921,103.133,103.616,104.7,106.422,107.239,107.321,109.663,112.133,113.933
p120,0.304902382,2.880211639,7.697,8.671,9.916,10.445,11.753,14.485,19.534,27.782,39.429,43.594,47.985,52.249,52.708,53.371,54.074,54.687,55.163,55.753,63.518
p121,0,8.308360209,28.605,73.209,111.065,127.991,143.268,161.68,182.071,208.618,214.095,214.096,214.216,214.39,214.903,216.331,217.907,219.771,221.069,222.906,225.079
p122,2.438565672,132.0154459,137.705,167.042,248.584,381.619,592.735,897.835,1274.848,1747.729,2336.69,2457.362,2637.268,2851.35,2889.951,2932.635,2970.746,3001.497,3022.635,3039.697,3604.61
p123,0.002115553,75.49163979,173.057,563.006,837.518,960.339,1084.793,1225.435,1375.23,1561.72,1623.327,1624.828,1628.348,1634.43,1647.494,1670.636,1697.368,1721.177,1739.579,1756.397,1770.512
p124,0,0,0.06,0.149,0.305,0.422,0.675,1.139,1.787,2.892,4.581,5.563,6.665,7.732,8.693,9.552,10.232,10.663,10.892,11.146,11.702
p125,0.947636682,17.6,27.561,62.168,92.367,111.059,137.246,170.359,202.831,240.234,285.776,285.831,286.71,290.454,303.429,325.207,328.592,332.012,334.449,368.344,369.691
