,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.344,0.408,0.051,0.0,0.24,0.243,0.006,0.0,0.111,0.113,0.0,0.002,0.279,0.3,0.025,0.385
p10,0.003,0.446,0.488,0.03,0.0,0.4,0.368,0.004,0.0,0.295,0.271,0.001,0.001,0.423,0.448,0.017,0.471
p100,0.002,0.347,0.363,0.039,0.0,0.287,0.276,0.008,0.0,0.222,0.241,0.003,0.001,0.329,0.352,0.029,0.344
p101,0.0,0.348,0.354,0.029,0.0,0.321,0.322,0.011,0.0,0.283,0.33,0.008,0.0,0.379,0.429,0.031,0.262
p102,0.0,0.35,0.363,0.027,0.0,0.328,0.319,0.008,0.0,0.289,0.33,0.006,0.0,0.384,0.424,0.024,0.283
p103,0.001,0.331,0.409,0.061,0.0,0.245,0.29,0.016,0.0,0.142,0.203,0.005,0.0,0.303,0.377,0.043,0.403
p104,0.001,0.337,0.409,0.062,0.0,0.242,0.286,0.017,0.0,0.129,0.19,0.006,0.0,0.299,0.366,0.044,0.405
p105,0.002,0.344,0.413,0.052,0.0,0.274,0.305,0.014,0.0,0.16,0.213,0.005,0.001,0.312,0.371,0.036,0.386
p106,0.0,0.318,0.437,0.063,0.0,0.266,0.35,0.021,0.0,0.158,0.255,0.007,0.0,0.286,0.395,0.046,0.367
p107,0.001,0.339,0.417,0.051,0.0,0.294,0.333,0.015,0.0,0.18,0.245,0.006,0.001,0.307,0.375,0.036,0.377
p108,0.005,0.395,0.343,0.024,0.0,0.358,0.265,0.003,0.0,0.228,0.2,0.001,0.002,0.365,0.316,0.014,0.333
p109,0.001,0.337,0.395,0.051,0.0,0.285,0.314,0.016,0.0,0.185,0.242,0.006,0.0,0.308,0.36,0.038,0.36
p11,0.002,0.443,0.439,0.018,0.0,0.408,0.346,0.001,0.0,0.332,0.278,0.0,0.001,0.439,0.419,0.01,0.456
p110,0.001,0.318,0.391,0.051,0.0,0.269,0.324,0.015,0.0,0.18,0.249,0.006,0.0,0.293,0.353,0.036,0.391
p111,0.001,0.332,0.399,0.051,0.0,0.262,0.294,0.012,0.0,0.157,0.199,0.003,0.0,0.307,0.36,0.034,0.373
p112,0.001,0.337,0.394,0.051,0.0,0.274,0.298,0.014,0.0,0.16,0.203,0.004,0.0,0.309,0.35,0.035,0.375
p113,0.001,0.344,0.389,0.052,0.0,0.28,0.301,0.015,0.0,0.167,0.211,0.006,0.0,0.307,0.341,0.037,0.365
p114,0.001,0.346,0.372,0.048,0.0,0.289,0.282,0.016,0.0,0.181,0.209,0.006,0.0,0.314,0.319,0.035,0.333
p115,0.001,0.328,0.382,0.045,0.0,0.268,0.288,0.01,0.0,0.171,0.214,0.002,0.001,0.303,0.347,0.03,0.342
p116,0.001,0.336,0.384,0.043,0.0,0.283,0.295,0.01,0.0,0.196,0.236,0.003,0.001,0.314,0.349,0.029,0.353
p117,0.001,0.328,0.379,0.045,0.0,0.284,0.302,0.012,0.0,0.193,0.242,0.004,0.0,0.306,0.345,0.031,0.376
p118,0.001,0.336,0.381,0.042,0.0,0.29,0.319,0.012,0.0,0.227,0.281,0.005,0.0,0.327,0.369,0.032,0.363
p119,0.002,0.34,0.365,0.039,0.0,0.276,0.269,0.008,0.0,0.19,0.212,0.002,0.001,0.325,0.337,0.027,0.312
p12,0.006,0.504,0.453,0.031,0.0,0.462,0.356,0.004,0.0,0.303,0.249,0.001,0.003,0.481,0.419,0.018,0.37
p120,0.003,0.354,0.356,0.037,0.0,0.279,0.261,0.008,0.0,0.202,0.206,0.002,0.001,0.332,0.339,0.026,0.295
p121,0.002,0.359,0.358,0.037,0.0,0.299,0.275,0.007,0.0,0.226,0.229,0.002,0.001,0.337,0.337,0.026,0.312
p122,0.003,0.365,0.343,0.033,0.0,0.3,0.255,0.005,0.0,0.222,0.207,0.001,0.002,0.347,0.327,0.022,0.318
p123,0.002,0.376,0.353,0.032,0.0,0.312,0.268,0.006,0.0,0.236,0.229,0.002,0.001,0.356,0.34,0.023,0.34
p124,0.003,0.368,0.371,0.035,0.0,0.308,0.274,0.006,0.0,0.216,0.214,0.002,0.002,0.35,0.348,0.025,0.367
p125,0.003,0.372,0.338,0.032,0.0,0.319,0.263,0.005,0.0,0.249,0.22,0.001,0.002,0.369,0.341,0.022,0.365
p126,0.003,0.369,0.334,0.029,0.0,0.316,0.253,0.004,0.0,0.234,0.201,0.001,0.002,0.355,0.324,0.019,0.344
p127,0.004,0.364,0.347,0.034,0.0,0.287,0.244,0.005,0.0,0.192,0.177,0.001,0.002,0.343,0.323,0.022,0.332
p128,0.005,0.378,0.328,0.029,0.0,0.319,0.235,0.004,0.0,0.219,0.164,0.0,0.003,0.362,0.304,0.018,0.328
p129,0.006,0.366,0.32,0.029,0.0,0.288,0.225,0.004,0.0,0.197,0.157,0.0,0.004,0.354,0.305,0.017,0.341
p13,0.004,0.49,0.438,0.02,0.0,0.461,0.35,0.002,0.0,0.357,0.277,0.0,0.002,0.506,0.435,0.011,0.38
p130,0.007,0.387,0.289,0.024,0.001,0.323,0.206,0.003,0.0,0.234,0.158,0.0,0.004,0.38,0.277,0.014,0.295
p131,0.006,0.378,0.32,0.025,0.0,0.321,0.226,0.002,0.0,0.234,0.173,0.0,0.003,0.369,0.298,0.014,0.321
p132,0.005,0.361,0.323,0.03,0.0,0.3,0.237,0.004,0.0,0.224,0.184,0.0,0.003,0.345,0.307,0.018,0.325
p133,0.006,0.386,0.306,0.025,0.001,0.319,0.211,0.002,0.0,0.227,0.16,0.0,0.004,0.368,0.281,0.014,0.295
p134,0.008,0.372,0.306,0.026,0.001,0.316,0.219,0.002,0.0,0.225,0.159,0.0,0.005,0.365,0.294,0.014,0.356
p14,0.008,0.447,0.407,0.03,0.0,0.353,0.261,0.002,0.0,0.183,0.149,0.0,0.003,0.373,0.325,0.016,0.384
p15,0.002,0.415,0.535,0.072,0.0,0.351,0.434,0.02,0.0,0.182,0.253,0.005,0.0,0.364,0.466,0.049,0.454
p16,0.004,0.432,0.488,0.063,0.0,0.355,0.394,0.016,0.0,0.169,0.204,0.004,0.001,0.369,0.424,0.045,0.467
p17,0.003,0.393,0.454,0.066,0.0,0.299,0.321,0.013,0.0,0.16,0.192,0.002,0.001,0.33,0.375,0.043,0.391
p18,0.004,0.416,0.44,0.053,0.0,0.307,0.318,0.009,0.0,0.179,0.193,0.001,0.001,0.354,0.383,0.034,0.443
p19,0.006,0.426,0.401,0.044,0.0,0.331,0.272,0.005,0.0,0.178,0.137,0.0,0.003,0.391,0.347,0.025,0.447
p2,0.005,0.384,0.434,0.049,0.0,0.294,0.283,0.006,0.0,0.139,0.143,0.0,0.002,0.32,0.337,0.026,0.423
