r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.092,0.184,0.398,0.892,1.35,2.046,3.473,3.439281257,3.576636124,3.696563464,3.796949404,3.876728618,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365,3.365
p53029,0.1125,0.225,0.486,1.174,1.85,2.838,4.848,4.552320571,4.737315662,4.900555606,5.046049847,5.17972418,4.497,4.497,4.497,4.497,4.497,4.505,4.538,4.583,4.653
p53033,2.6285,5.257,11.367,26.837,50.081,76.746,129.632,103.4513317,108.4236249,113.3400413,118.3948628,123.1117672,107.11,107.11,107.11,107.11,107.11,107.327,108.377,109.97,112.666
p53035,0.2965,0.593,1.282,2.923,4.512,6.859,11.616,11.05578168,11.49731737,11.8828312,12.20778473,12.48041638,10.833,10.833,10.833,10.833,10.833,10.837,10.859,10.908,10.998
p53037,0.06025,0.1205,0.261,0.621,0.982,1.52,2.607,2.501016712,2.611528962,2.71667205,2.816399915,2.908986555,2.528,2.528,2.528,2.528,2.528,2.535,2.561,2.598,2.639
p53053,0.928,1.856,4.013,9.005,13.837,21.006,35.503,34.10867582,35.50701526,36.74812511,37.81603636,38.67627234,33.586,33.586,33.586,33.586,33.586,33.594,33.645,33.759,33.955
p53055,0.03475,0.0695,0.15,0.362,0.569,0.873,1.491,1.394109847,1.44978653,1.507187243,1.559400914,1.608295141,1.396,1.396,1.396,1.396,1.396,1.398,1.406,1.421,1.442
p53057,0.1385,0.277,0.599,1.398,2.195,3.346,5.675,5.438459308,5.655655517,5.845293966,6.008545491,6.153226611,5.341,5.341,5.341,5.341,5.341,5.346,5.373,5.427,5.492
p53061,0.84425,1.6885,3.651,8.434,13.207,20.347,34.692,33.46476878,34.90010316,36.22961755,37.45721618,38.58756265,33.511,33.511,33.511,33.511,33.512,33.595,33.831,34.173,34.594
p53067,0.322,0.644,1.392,3.185,4.95,7.544,12.765,12.08603295,12.56871387,12.99015244,13.35420392,13.67626907,11.871,11.871,11.871,11.871,11.871,11.882,11.928,12.029,12.181
p53073,0.25025,0.5005,1.082,2.529,3.939,6.019,10.233,9.677002955,10.06453713,10.40859995,10.71270064,10.97926411,9.531,9.531,9.531,9.531,9.531,9.542,9.584,9.664,9.779
p53003,0.035,0.07,0.151,0.364,0.569,0.886,1.492,1.444191506,1.524189064,1.59836548,1.671109084,1.739631564,1.512,1.512,1.512,1.512,1.512,1.514,1.538,1.587,1.651
p53005,0.1985,0.397,0.858,1.994,3.126,4.813,8.186,7.828069881,8.141763063,8.438930322,8.705338679,8.961982739,7.779,7.779,7.779,7.779,7.779,7.798,7.865,7.959,8.069
p53009,0.09025,0.1805,0.39,0.886,1.363,2.069,3.524,3.450524079,3.598956884,3.728420921,3.839827288,3.920507425,3.403,3.403,3.403,3.403,3.403,3.403,3.403,3.403,3.404
p53011,0.48025,0.9605,2.077,4.756,7.371,11.207,18.979,18.18168627,18.90780981,19.54290164,20.07361959,20.51267549,17.805,17.805,17.805,17.805,17.805,17.807,17.849,17.93,18.084
p53013,0.00575,0.0115,0.025,0.057,0.087,0.133,0.226,0.219746054,0.22852207,0.237283123,0.243726916,0.250000033,0.217,0.217,0.217,0.217,0.217,0.218,0.219,0.22,0.222
p53015,0.1235,0.247,0.534,1.199,1.839,2.794,4.727,4.524724555,4.713932008,4.877486414,5.015583983,5.125576707,4.449,4.449,4.449,4.449,4.449,4.449,4.449,4.451,4.463
p53023,0.003,0.006,0.013,0.031,0.048,0.071,0.122,0.117538587,0.122232735,0.126331292,0.129762015,0.132488497,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.116
p53027,0.10275,0.2055,0.444,1.047,1.638,2.493,4.238,3.960539338,4.118711732,4.256815282,4.372415733,4.46774252,3.878,3.878,3.878,3.878,3.878,3.878,3.889,3.916,3.964
p53031,0.0465,0.093,0.201,0.483,0.762,1.165,1.986,1.895948509,1.971667165,2.037778671,2.094246091,2.144009497,1.861,1.861,1.861,1.861,1.861,1.862,1.872,1.891,1.924
p53039,0.02675,0.0535,0.116,0.276,0.439,0.681,1.168,1.115083463,1.162805325,1.207287741,1.252485539,1.294931045,1.125,1.125,1.125,1.125,1.125,1.129,1.141,1.158,1.174
p53041,0.094,0.188,0.406,0.905,1.367,2.069,3.506,3.473009721,3.611711604,3.732815053,3.834185461,3.914747056,3.398,3.398,3.398,3.398,3.398,3.398,3.398,3.398,3.398
p53045,0.08875,0.1775,0.384,0.879,1.349,2.049,3.488,3.416795615,3.554315363,3.674592805,3.774382097,3.854839214,3.346,3.346,3.346,3.346,3.346,3.346,3.346,3.346,3.346
