order,color
nuclear,#820000
nuclear-smr,#D40000
nuclear-nsp,#820000
coal,#222222
coal-ccs,#707685
coal-ccs-nsp,#707685
cofire,#66C238
gas-cc,#52216B
gas-cc-nsp,#52216B
gas-cc-ccs,#5E1688
gas-ct,#C2A1DB
gas-ct-nsp,#C2A1DB
o-g-s,#3D3376
hydro,#187F94
geothermal,#A96235
biopower,#5B9844
beccs,#66C238
lfill-gas,#88BA41
re-ct,#A8C839
re-cc,#708238
re-ct-upgrade,#66C238
re-cc-upgrade,#4B5320
h2-ct,#A8C839
h2-cc,#708238
h2-ct-upgrade,#66C238
h2-cc-upgrade,#4B5320
wind-ons,#00B6EF
wind-ofs,#106BA7
csp,#FC761A
upv,#FFC903
dupv,#FFAB02
distpv,#FEE603
caes,#FF4741
pvb,#D1C202
battery,#FF4A88
battery_2,#FF7F9D
battery_4,#FF6882
battery_6,#DF5282
battery_8,#CC015C
battery_10,#9B014F
dr,#B9CBF5
storage-h2,#FF7FBB
pumped-hydro,#CC0079
pumped-hydro-flex,#CC0079
Canada,#193A71
smr,#D49E2E
smr-ccs,#5F522D
electrolyzer,#896F2D
Other,#ff69b4
