display,width
Summer 10pm-6am,736
Summer 6am-1pm,644
Summer 1pm-5pm,328
Summer 5pm-10pm,460
Fall 10pm-6am,488
Fall 6am-1pm,427
Fall 1pm-5pm,244
Fall 5pm-10pm,305
Winter 10pm-6am,960
Winter 6am-1pm,840
Winter 1pm-5pm,480
Winter 5pm-10pm,600
Spring 10pm-6am,736
Spring 6am-1pm,644
Spring 1pm-5pm,368
Spring 5pm-10pm,460
Summer Peak,40
