raw,display
"cap, _obj",Fixed O&M
"gen, _obj",Variable O&M and Fuel
"inv, _obj",Capital
"inv_refurb, _obj",Capital
"inv_rsc, _obj",Supply Curve
"invsubstation, _obj","invsubstation, _obj"
"invtran, _obj","invtran, _obj"
"opres, _obj",Operating Reserves
eq_ab32_cap,eq_ab32_cap
eq_batterymandate,eq_batterymandate
eq_bioused,Bio Fuel
eq_cap_new_noret,eq_cap_new_noret
eq_capacity_limit,eq_capacity_limit
eq_captran,eq_captran
eq_csapr_assurance,eq_csapr_assurance
eq_csapr_budget,eq_csapr_budget
eq_curt_gen_balance,Curtailment Realized
eq_curtailment,Curtailment Caused
eq_dhyd_dispatch,eq_dhyd_dispatch
eq_emit_accounting,Emissions
eq_forceprescription,eq_forceprescription
eq_gasused,NG Fuel
eq_growthlimit_relative,eq_growthlimit_relative
eq_invtran_vclimit,eq_invtran_vclimit
eq_mingen_lb,Curtailment Caused
eq_mingen_ub,Curtailment Caused
eq_minloading,eq_minloading
eq_national_gen,National RPS
eq_opres_requirement,Operating Reserves
eq_orcap,eq_orcap
eq_prmtradelimit,eq_prmtradelimit
eq_rec_bundlelimit,eq_rec_bundlelimit
eq_rec_generation,State RPS
eq_rec_launder,eq_rec_launder
eq_refurblim,eq_refurblim
eq_reserve_margin,Reserve Margin
eq_rps_ofswind,State RPS
eq_rsc_inv_account,eq_rsc_inv_account
eq_rsc_invlim,eq_rsc_invlim
eq_storage_capacity,eq_storage_capacity
eq_storage_duration,eq_storage_duration
eq_storage_level,eq_storage_level
eq_substationaccounting,eq_substationaccounting
eq_supply_demand_balance,Energy
eq_transmission_limit,eq_transmission_limit
kW,kW
MWh,MWh
