reeds_ba,state_abbr,model,cr,pollutant,damage
p1,WA,AP2,ACS,NH3,21448.526865
p1,WA,AP2,ACS,NOX,726.267001
p1,WA,AP2,ACS,PM25,12245.198747
p1,WA,AP2,ACS,SO2,4738.322237
p1,WA,AP2,ACS,VOC,1496.540459
p1,WA,AP2,H6C,NH3,55106.694905
p1,WA,AP2,H6C,NOX,1864.449749
p1,WA,AP2,H6C,PM25,31460.342856
p1,WA,AP2,H6C,SO2,12172.728374
p1,WA,AP2,H6C,VOC,3843.533523
p1,WA,EASIUR,ACS,NH3,16326.517426
p1,WA,EASIUR,ACS,NOX,9742.914890
p1,WA,EASIUR,ACS,PM25,75412.443216
p1,WA,EASIUR,ACS,SO2,23634.707363
p1,WA,EASIUR,H6C,NH3,41946.581862
p1,WA,EASIUR,H6C,NOX,25031.159389
p1,WA,EASIUR,H6C,PM25,193757.598929
p1,WA,EASIUR,H6C,SO2,60723.705724
p1,WA,InMAP,ACS,NH3,7294.531832
p1,WA,InMAP,ACS,NOX,2568.585369
p1,WA,InMAP,ACS,PM25,13883.389430
p1,WA,InMAP,ACS,SO2,5394.342791
p1,WA,InMAP,ACS,VOC,816.946791
p1,WA,InMAP,H6C,NH3,18740.464653
p1,WA,InMAP,H6C,NOX,6597.966598
p1,WA,InMAP,H6C,PM25,35669.389094
p1,WA,InMAP,H6C,SO2,13858.259169
p1,WA,InMAP,H6C,VOC,2097.435709
p10,CA,AP2,ACS,NH3,58376.034665
p10,CA,AP2,ACS,NOX,1609.753098
p10,CA,AP2,ACS,PM25,45434.682757
p10,CA,AP2,ACS,SO2,29622.764696
p10,CA,AP2,ACS,VOC,4756.001454
p10,CA,AP2,H6C,NH3,149985.508120
p10,CA,AP2,H6C,NOX,4134.413722
p10,CA,AP2,H6C,PM25,116734.953639
p10,CA,AP2,H6C,SO2,76108.978310
p10,CA,AP2,H6C,VOC,12218.152048
p10,CA,EASIUR,ACS,NH3,12385.526525
p10,CA,EASIUR,ACS,NOX,5784.423992
p10,CA,EASIUR,ACS,PM25,56686.467183
p10,CA,EASIUR,ACS,SO2,14533.262587
p10,CA,EASIUR,H6C,NH3,31820.890691
p10,CA,EASIUR,H6C,NOX,14860.505017
p10,CA,EASIUR,H6C,PM25,145644.458142
p10,CA,EASIUR,H6C,SO2,37339.125222
p10,CA,InMAP,ACS,NH3,30636.549068
p10,CA,InMAP,ACS,NOX,5382.567184
p10,CA,InMAP,ACS,PM25,52969.471655
p10,CA,InMAP,ACS,SO2,23952.146782
p10,CA,InMAP,ACS,VOC,3062.329885
p10,CA,InMAP,H6C,NH3,78713.721042
p10,CA,InMAP,H6C,NOX,13828.003796
p10,CA,InMAP,H6C,PM25,136094.284139
p10,CA,InMAP,H6C,SO2,61539.311143
p10,CA,InMAP,H6C,VOC,7866.557315
p100,VA,AP2,ACS,NH3,50892.390509
p100,VA,AP2,ACS,NOX,2011.395260
p100,VA,AP2,ACS,PM25,43862.615417
p100,VA,AP2,ACS,SO2,27272.331861
p100,VA,AP2,ACS,VOC,4709.891120
p100,VA,AP2,H6C,NH3,130757.585138
p100,VA,AP2,H6C,NOX,5166.363452
p100,VA,AP2,H6C,PM25,112695.799820
p100,VA,AP2,H6C,SO2,70069.949650
p100,VA,AP2,H6C,VOC,12099.679564
p100,VA,EASIUR,ACS,NH3,65177.047211
p100,VA,EASIUR,ACS,NOX,9331.435774
p100,VA,EASIUR,ACS,PM25,94549.014681
p100,VA,EASIUR,ACS,SO2,24456.708921
p100,VA,EASIUR,H6C,NH3,167459.527838
p100,VA,EASIUR,H6C,NOX,23973.935316
p100,VA,EASIUR,H6C,PM25,242925.693312
p100,VA,EASIUR,H6C,SO2,62835.695859
p100,VA,InMAP,ACS,NH3,32612.571971
p100,VA,InMAP,ACS,NOX,4143.636382
p100,VA,InMAP,ACS,PM25,46052.413828
p100,VA,InMAP,ACS,SO2,25299.501309
p100,VA,InMAP,ACS,VOC,3145.301672
p100,VA,InMAP,H6C,NH3,83790.768470
p100,VA,InMAP,H6C,NOX,10644.786426
p100,VA,InMAP,H6C,PM25,118322.106246
p100,VA,InMAP,H6C,SO2,65001.104425
p100,VA,InMAP,H6C,VOC,8079.738901
p101,FL,AP2,ACS,NH3,39182.782900
p101,FL,AP2,ACS,NOX,1741.848897
p101,FL,AP2,ACS,PM25,29778.528647
p101,FL,AP2,ACS,SO2,15375.971064
p101,FL,AP2,ACS,VOC,3230.941520
p101,FL,AP2,H6C,NH3,100671.783530
p101,FL,AP2,H6C,NOX,4473.810920
p101,FL,AP2,H6C,PM25,76509.186704
p101,FL,AP2,H6C,SO2,39504.318188
p101,FL,AP2,H6C,VOC,8299.775609
p101,FL,EASIUR,ACS,NH3,22290.443162
p101,FL,EASIUR,ACS,NOX,3318.442547
p101,FL,EASIUR,ACS,PM25,56421.607216
p101,FL,EASIUR,ACS,SO2,17205.615536
p101,FL,EASIUR,H6C,NH3,57269.852496
p101,FL,EASIUR,H6C,NOX,8524.594289
p101,FL,EASIUR,H6C,PM25,144963.946471
p101,FL,EASIUR,H6C,SO2,44205.271666
p101,FL,InMAP,ACS,NH3,24344.561493
p101,FL,InMAP,ACS,NOX,3079.976909
p101,FL,InMAP,ACS,PM25,28518.875885
p101,FL,InMAP,ACS,SO2,18292.721507
p101,FL,InMAP,ACS,VOC,3085.458054
p101,FL,InMAP,H6C,NH3,62547.552536
p101,FL,InMAP,H6C,NOX,7911.898278
p101,FL,InMAP,H6C,PM25,73272.727863
p101,FL,InMAP,H6C,SO2,46998.401518
p101,FL,InMAP,H6C,VOC,7925.981126
p102,FL,AP2,ACS,NH3,61333.153733
p102,FL,AP2,ACS,NOX,973.842337
p102,FL,AP2,ACS,PM25,35563.460443
p102,FL,AP2,ACS,SO2,14486.363064
p102,FL,AP2,ACS,VOC,3856.468462
p102,FL,AP2,H6C,NH3,157583.311641
p102,FL,AP2,H6C,NOX,2500.551544
p102,FL,AP2,H6C,PM25,91372.563519
p102,FL,AP2,H6C,SO2,37218.625049
p102,FL,AP2,H6C,VOC,9906.958365
p102,FL,EASIUR,ACS,NH3,17232.140764
p102,FL,EASIUR,ACS,NOX,3524.630462
p102,FL,EASIUR,ACS,PM25,62330.448567
p102,FL,EASIUR,ACS,SO2,16316.981783
p102,FL,EASIUR,H6C,NH3,44273.423633
p102,FL,EASIUR,H6C,NOX,9054.358301
p102,FL,EASIUR,H6C,PM25,160145.687357
p102,FL,EASIUR,H6C,SO2,41922.081680
p102,FL,InMAP,ACS,NH3,36928.970770
p102,FL,InMAP,ACS,NOX,2472.825117
p102,FL,InMAP,ACS,PM25,41543.821317
p102,FL,InMAP,ACS,SO2,26138.679789
p102,FL,InMAP,ACS,VOC,3998.227913
p102,FL,InMAP,H6C,NH3,94881.004983
p102,FL,InMAP,H6C,NOX,6351.927273
p102,FL,InMAP,H6C,PM25,106738.061389
p102,FL,InMAP,H6C,SO2,67157.227677
p102,FL,InMAP,H6C,VOC,10271.184639
p103,MI,AP2,ACS,NH3,37794.135248
p103,MI,AP2,ACS,NOX,3646.527721
p103,MI,AP2,ACS,PM25,29892.080485
p103,MI,AP2,ACS,SO2,22827.141266
p103,MI,AP2,ACS,VOC,3315.571652
p103,MI,AP2,H6C,NH3,97103.894741
p103,MI,AP2,H6C,NOX,9367.552122
p103,MI,AP2,H6C,PM25,76800.938416
p103,MI,AP2,H6C,SO2,58648.804995
p103,MI,AP2,H6C,VOC,8517.218024
p103,MI,EASIUR,ACS,NH3,59447.882406
p103,MI,EASIUR,ACS,NOX,11879.967314
p103,MI,EASIUR,ACS,PM25,88084.827064
p103,MI,EASIUR,ACS,SO2,30225.295570
p103,MI,EASIUR,H6C,NH3,152739.434602
p103,MI,EASIUR,H6C,NOX,30521.944167
p103,MI,EASIUR,H6C,PM25,226317.086736
p103,MI,EASIUR,H6C,SO2,77657.076666
p103,MI,InMAP,ACS,NH3,25052.077829
p103,MI,InMAP,ACS,NOX,5853.904873
p103,MI,InMAP,ACS,PM25,30627.659231
p103,MI,InMAP,ACS,SO2,16240.678159
p103,MI,InMAP,ACS,VOC,2575.485588
p103,MI,InMAP,H6C,NH3,64365.392796
p103,MI,InMAP,H6C,NOX,15039.024068
p103,MI,InMAP,H6C,PM25,78690.880161
p103,MI,InMAP,H6C,SO2,41726.032782
p103,MI,InMAP,H6C,VOC,6615.695511
p104,MI,AP2,ACS,NH3,33283.534782
p104,MI,AP2,ACS,NOX,5182.228324
p104,MI,AP2,ACS,PM25,35842.829426
p104,MI,AP2,ACS,SO2,28208.661968
p104,MI,AP2,ACS,VOC,3932.755795
p104,MI,AP2,H6C,NH3,85514.690798
p104,MI,AP2,H6C,NOX,13313.267914
p104,MI,AP2,H6C,PM25,92090.353570
p104,MI,AP2,H6C,SO2,72475.687124
p104,MI,AP2,H6C,VOC,10102.965409
p104,MI,EASIUR,ACS,NH3,68446.085462
p104,MI,EASIUR,ACS,NOX,13915.034218
p104,MI,EASIUR,ACS,PM25,100861.197572
p104,MI,EASIUR,ACS,SO2,30362.431648
p104,MI,EASIUR,H6C,NH3,175858.753420
p104,MI,EASIUR,H6C,NOX,35750.694884
p104,MI,EASIUR,H6C,PM25,259143.750140
p104,MI,EASIUR,H6C,SO2,78009.423986
p104,MI,InMAP,ACS,NH3,42163.973478
p104,MI,InMAP,ACS,NOX,10936.020214
p104,MI,InMAP,ACS,PM25,51681.754534
p104,MI,InMAP,ACS,SO2,28632.000498
p104,MI,InMAP,ACS,VOC,4270.496255
p104,MI,InMAP,H6C,NH3,108331.434580
p104,MI,InMAP,H6C,NOX,28096.636152
p104,MI,InMAP,H6C,PM25,132785.718800
p104,MI,InMAP,H6C,SO2,73563.381894
p104,MI,InMAP,H6C,VOC,10970.730824
p105,IN,AP2,ACS,NH3,30338.166689
p105,IN,AP2,ACS,NOX,6162.002384
p105,IN,AP2,ACS,PM25,40337.273555
p105,IN,AP2,ACS,SO2,29217.465810
p105,IN,AP2,ACS,VOC,4388.132045
p105,IN,AP2,H6C,NH3,77947.079390
p105,IN,AP2,H6C,NOX,15830.627073
p105,IN,AP2,H6C,PM25,103638.046615
p105,IN,AP2,H6C,SO2,75067.633262
p105,IN,AP2,H6C,VOC,11272.975540
p105,IN,EASIUR,ACS,NH3,66370.195137
p105,IN,EASIUR,ACS,NOX,11904.282471
p105,IN,EASIUR,ACS,PM25,90378.593945
p105,IN,EASIUR,ACS,SO2,26886.445272
p105,IN,EASIUR,H6C,NH3,170525.114053
p105,IN,EASIUR,H6C,NOX,30584.417736
p105,IN,EASIUR,H6C,PM25,232210.522083
p105,IN,EASIUR,H6C,SO2,69078.481123
p105,IN,InMAP,ACS,NH3,42846.671887
p105,IN,InMAP,ACS,NOX,12581.419864
p105,IN,InMAP,ACS,PM25,53119.139478
p105,IN,InMAP,ACS,SO2,30914.556442
p105,IN,InMAP,ACS,VOC,4727.023663
p105,IN,InMAP,H6C,NH3,110085.509498
p105,IN,InMAP,H6C,NOX,32324.204581
p105,IN,InMAP,H6C,PM25,136478.829591
p105,IN,InMAP,H6C,SO2,79428.012683
p105,IN,InMAP,H6C,VOC,12143.698653
p106,IN,AP2,ACS,NH3,24423.077785
p106,IN,AP2,ACS,NOX,7923.478344
p106,IN,AP2,ACS,PM25,60949.520725
p106,IN,AP2,ACS,SO2,35275.223640
