fips,state_abbr,pollutant,model,season,elevated,damage
1,AL,pm25,AP2,annual,high stack,25250.20066
1,AL,so2,AP2,annual,high stack,17812.42949
1,AL,nox,AP2,annual,high stack,2769.096351
1,AL,nh3,AP2,annual,high stack,29407.43641
1,AL,voc,AP2,annual,high stack,2769.429122
1,AL,pm25,EASIUR,annual,high stack,57761.86191
1,AL,so2,EASIUR,annual,high stack,18369.18135
1,AL,nox,EASIUR,annual,high stack,3171.449424
1,AL,nh3,EASIUR,annual,high stack,39714.76702
1,AL,pm25,EASIUR,winter,high stack,72012.50894
1,AL,so2,EASIUR,winter,high stack,18089.23302
1,AL,nox,EASIUR,winter,high stack,6648.405351
1,AL,nh3,EASIUR,winter,high stack,49406.25358
1,AL,pm25,EASIUR,spring,high stack,50101.73502
1,AL,so2,EASIUR,spring,high stack,24286.28174
1,AL,nox,EASIUR,spring,high stack,3342.708403
1,AL,nh3,EASIUR,spring,high stack,32114.39379
1,AL,pm25,EASIUR,summer,high stack,46638.14027
1,AL,so2,EASIUR,summer,high stack,19436.07719
1,AL,nox,EASIUR,summer,high stack,1227.008721
1,AL,nh3,EASIUR,summer,high stack,37314.62267
1,AL,pm25,EASIUR,fall,high stack,62295.06342
1,AL,so2,EASIUR,fall,high stack,11665.13345
1,AL,nox,EASIUR,fall,high stack,1467.675221
1,AL,nh3,EASIUR,fall,high stack,40023.79805
1,AL,pm25,InMAP,annual,high stack,36330.56284
1,AL,so2,InMAP,annual,high stack,23531.74933
1,AL,nox,InMAP,annual,high stack,8173.558197
1,AL,nh3,InMAP,annual,high stack,28813.72294
1,AL,voc,InMAP,annual,high stack,3754.536888
4,AZ,pm25,AP2,annual,high stack,19474.26902
4,AZ,so2,AP2,annual,high stack,11810.12294
4,AZ,nox,AP2,annual,high stack,5420.484891
4,AZ,nh3,AP2,annual,high stack,6997.448374
4,AZ,voc,AP2,annual,high stack,2295.350708
4,AZ,pm25,EASIUR,annual,high stack,32483.51105
4,AZ,so2,EASIUR,annual,high stack,10275.88193
4,AZ,nox,EASIUR,annual,high stack,2161.419448
4,AZ,nh3,EASIUR,annual,high stack,8394.015925
4,AZ,pm25,EASIUR,winter,high stack,38221.83843
4,AZ,so2,EASIUR,winter,high stack,14759.59344
4,AZ,nox,EASIUR,winter,high stack,4103.344719
4,AZ,nh3,EASIUR,winter,high stack,13721.11605
4,AZ,pm25,EASIUR,spring,high stack,22751.68549
4,AZ,so2,EASIUR,spring,high stack,7649.79463
4,AZ,nox,EASIUR,spring,high stack,881.670702
4,AZ,nh3,EASIUR,spring,high stack,4515.221598
4,AZ,pm25,EASIUR,summer,high stack,26951.90202
