t,inflation_rate
1914,1.01
1915,1.01
1916,1.079
1917,1.174
1918,1.18
1919,1.146
1920,1.156
1921,0.895
1922,0.939
1923,1.018
1924,1
1925,1.023
1926,1.011
1927,0.983
1928,0.983
1929,1
1930,0.977
1931,0.91
1932,0.901
1933,0.949
1934,1.031
1935,1.022
1936,1.015
1937,1.036
1938,0.979
1939,0.986
1940,1.007
1941,1.05
1942,1.109
1943,1.061
1944,1.017
1945,1.023
1946,1.083
1947,1.144
1948,1.081
1949,0.988
1950,1.013
1951,1.079
1952,1.019
1953,1.008
1954,1.007
1955,0.996
1956,1.015
1957,1.033
1958,1.028
1959,1.007
1960,1.017
1961,1.01
1962,1.01
1963,1.013
1964,1.013
1965,1.016
1966,1.029
1967,1.031
1968,1.042
1969,1.055
1970,1.057
1971,1.044
1972,1.032
1973,1.062
1974,1.11
1975,1.091
1976,1.058
1977,1.065
1978,1.076
1979,1.113
1980,1.135
1981,1.103
1982,1.062
1983,1.032
1984,1.043
1985,1.036
1986,1.019
1987,1.036
1988,1.041
1989,1.048
1990,1.054
1991,1.042
1992,1.03
1993,1.03
1994,1.026
1995,1.028
1996,1.03
1997,1.023
1998,1.016
1999,1.022
2000,1.034
2001,1.028
2002,1.016
2003,1.023
2004,1.027
2005,1.034
2006,1.032
2007,1.028
2008,1.038
2009,0.996
2010,1.016
2011,1.032
2012,1.021
2013,1.015
2014,1.016
2015,1.001
2016,1.013
2017,1.021
2018,1.024
2019,1.018
2020,1.012
2021,1.047
2022,1.025
2023,1.025
2024,1.025
2025,1.025
2026,1.025
2027,1.025
2028,1.025
2029,1.025
2030,1.025
2031,1.025
2032,1.025
2033,1.025
2034,1.025
2035,1.025
2036,1.025
2037,1.025
2038,1.025
2039,1.025
2040,1.025
2041,1.025
2042,1.025
2043,1.025
2044,1.025
2045,1.025
2046,1.025
2047,1.025
2048,1.025
2049,1.025
2050,1.025
2051,1.025
2052,1.025
2053,1.025
2054,1.025
2055,1.025
2056,1.025
2057,1.025
2058,1.025
2059,1.025
2060,1.025
2061,1.025
2062,1.025
2063,1.025
2064,1.025
2065,1.025
2066,1.025
2067,1.025
2068,1.025
2069,1.025
2070,1.025
2071,1.025
2072,1.025
2073,1.025
2074,1.025
2075,1.025
2076,1.025
2077,1.025
2078,1.025
2079,1.025
2080,1.025
2081,1.025
2082,1.025
2083,1.025
2084,1.025
2085,1.025
2086,1.025
2087,1.025
2088,1.025
2089,1.025
2090,1.025
2091,1.025
2092,1.025
2093,1.025
2094,1.025
2095,1.025
2096,1.025
2097,1.025
2098,1.025
2099,1.025
2100,1.025
2101,1.025
2102,1.025
2103,1.025
2104,1.025
2105,1.025
2106,1.025
2107,1.025
2108,1.025
2109,1.025
2110,1.025
2111,1.025
2112,1.025
2113,1.025
2114,1.025
2115,1.025
2116,1.025
2117,1.025
2118,1.025
2119,1.025
2120,1.025
2121,1.025
2122,1.025
2123,1.025
2124,1.025
2125,1.025
2126,1.025
2127,1.025
2128,1.025
2129,1.025
2130,1.025
2131,1.025
2132,1.025
2133,1.025
2134,1.025
2135,1.025
2136,1.025
2137,1.025
2138,1.025
2139,1.025
2140,1.025
2141,1.025
2142,1.025
2143,1.025
2144,1.025
2145,1.025
2146,1.025
2147,1.025
2148,1.025
2149,1.025
2150,1.025
2151,1.025
2152,1.025
2153,1.025
2154,1.025
2155,1.025
2156,1.025
2157,1.025
2158,1.025
2159,1.025
2160,1.025
2161,1.025
2162,1.025
2163,1.025
2164,1.025
2165,1.025
2166,1.025
2167,1.025
2168,1.025
2169,1.025
2170,1.025
2171,1.025
2172,1.025
2173,1.025
2174,1.025
2175,1.025
2176,1.025
2177,1.025
2178,1.025
2179,1.025
2180,1.025
2181,1.025
2182,1.025
2183,1.025
2184,1.025
2185,1.025
2186,1.025
2187,1.025
2188,1.025
2189,1.025
2190,1.025
2191,1.025
2192,1.025
2193,1.025
2194,1.025
2195,1.025
2196,1.025
2197,1.025
2198,1.025
2199,1.025
2200,1.025
