i,country,t_start_construction,ptc_value,ptc_dur,itc_frac,ptc_tax_equity_penalty,itc_tax_equity_penalty
HYDRO,usa,2010,9.1273,10,0,0.33,0.33
HYDRO,usa,2011,9.1273,10,0,0.33,0.33
HYDRO,usa,2012,9.1273,10,0,0.33,0.33
HYDRO,usa,2013,9.1273,10,0,0.33,0.33
HYDRO,usa,2014,9.1273,10,0,0.33,0.33
HYDRO,usa,2015,9.1273,10,0,0.33,0.33
HYDRO,usa,2016,9.1273,10,0,0.33,0.33
HYDRO,usa,2017,9.1273,10,0,0.33,0.33
HYDRO,usa,2018,9.1273,10,0,0.33,0.33
HYDRO,usa,2019,9.1273,10,0,0.33,0.33
HYDRO,usa,2020,9.1273,10,0,0.33,0.33
HYDRO,usa,2021,9.1273,10,0,0.33,0.33
HYDRO,usa,2022,4.5637,10,0,0.33,0.33
HYDRO,usa,2023,18.2547,10,0,0.065,0
HYDRO,usa,2024,18.2547,10,0,0.065,0
HYDRO,usa,2025,18.2547,10,0,0.065,0
HYDRO,usa,2026,18.2547,10,0,0.065,0
HYDRO,usa,2027,18.2547,10,0,0.065,0
HYDRO,usa,2028,18.2547,10,0,0.065,0
HYDRO,usa,2029,18.2547,10,0,0.065,0
HYDRO,usa,2030,18.2547,10,0,0.065,0
HYDRO,usa,2031,18.2547,10,0,0.065,0
HYDRO,usa,2032,18.2547,10,0,0.065,0
HYDRO,usa,2033,18.2547,10,0,0.065,0
HYDRO,usa,2034,18.2547,10,0,0.065,0
HYDRO,usa,2035,18.2547,10,0,0.065,0
HYDRO,usa,2036,18.2547,10,0,0.065,0
HYDRO,usa,2037,18.2547,10,0,0.065,0
HYDRO,usa,2038,18.2547,10,0,0.065,0
HYDRO,usa,2039,18.2547,10,0,0.065,0
HYDRO,usa,2040,18.2547,10,0,0.065,0
HYDRO,usa,2041,18.2547,10,0,0.065,0
HYDRO,usa,2042,18.2547,10,0,0.065,0
HYDRO,usa,2043,18.2547,10,0,0.065,0
HYDRO,usa,2044,18.2547,10,0,0.065,0
HYDRO,usa,2045,18.2547,10,0,0.065,0
HYDRO,usa,2046,18.2547,10,0,0.065,0
HYDRO,usa,2047,18.2547,10,0,0.065,0
HYDRO,usa,2048,18.2547,10,0,0.065,0
HYDRO,usa,2049,18.2547,10,0,0.065,0
HYDRO,usa,2050,18.2547,10,0,0.065,0
Gas-CC-CCS,usa,2010,7.056285423,12,0,0.33,0.33
