i,t,country,depreciation_sch,eval_period,construction_sch,finance_diff_real
BATTERY,2010,can,7,15,1,0
BATTERY,2011,can,7,15,1,0
BATTERY,2012,can,7,15,1,0
BATTERY,2013,can,7,15,1,0
BATTERY,2014,can,7,15,1,0
BATTERY,2015,can,7,15,1,0
BATTERY,2016,can,7,15,1,0
BATTERY,2017,can,7,15,1,0
BATTERY,2018,can,7,15,1,0
BATTERY,2019,can,7,15,1,0
BATTERY,2020,can,7,15,1,0
BATTERY,2021,can,7,15,1,0
BATTERY,2022,can,7,15,1,0
BATTERY,2023,can,7,15,1,0
BATTERY,2024,can,7,15,1,0
BATTERY,2025,can,7,15,1,0
BATTERY,2026,can,7,15,1,0
BATTERY,2027,can,7,15,1,0
BATTERY,2028,can,7,15,1,0
BATTERY,2029,can,7,15,1,0
BATTERY,2030,can,7,15,1,0
BATTERY,2031,can,7,15,1,0
BATTERY,2032,can,7,15,1,0
BATTERY,2033,can,7,15,1,0
BATTERY,2034,can,7,15,1,0
BATTERY,2035,can,7,15,1,0
BATTERY,2036,can,7,15,1,0
BATTERY,2037,can,7,15,1,0
BATTERY,2038,can,7,15,1,0
BATTERY,2039,can,7,15,1,0
BATTERY,2040,can,7,15,1,0
BATTERY,2041,can,7,15,1,0
BATTERY,2042,can,7,15,1,0
BATTERY,2043,can,7,15,1,0
BATTERY,2044,can,7,15,1,0
BATTERY,2045,can,7,15,1,0
BATTERY,2046,can,7,15,1,0
BATTERY,2047,can,7,15,1,0
BATTERY,2048,can,7,15,1,0
BATTERY,2049,can,7,15,1,0
BATTERY,2050,can,7,15,1,0
BATTERY,2010,mex,7,15,1,0
BATTERY,2011,mex,7,15,1,0
BATTERY,2012,mex,7,15,1,0
BATTERY,2013,mex,7,15,1,0
BATTERY,2014,mex,7,15,1,0
BATTERY,2015,mex,7,15,1,0
BATTERY,2016,mex,7,15,1,0
BATTERY,2017,mex,7,15,1,0
BATTERY,2018,mex,7,15,1,0
BATTERY,2019,mex,7,15,1,0
BATTERY,2020,mex,7,15,1,0
BATTERY,2021,mex,7,15,1,0
BATTERY,2022,mex,7,15,1,0
BATTERY,2023,mex,7,15,1,0
BATTERY,2024,mex,7,15,1,0
BATTERY,2025,mex,7,15,1,0
BATTERY,2026,mex,7,15,1,0
BATTERY,2027,mex,7,15,1,0
BATTERY,2028,mex,7,15,1,0
BATTERY,2029,mex,7,15,1,0
BATTERY,2030,mex,7,15,1,0
BATTERY,2031,mex,7,15,1,0
BATTERY,2032,mex,7,15,1,0
BATTERY,2033,mex,7,15,1,0
BATTERY,2034,mex,7,15,1,0
BATTERY,2035,mex,7,15,1,0
BATTERY,2036,mex,7,15,1,0
BATTERY,2037,mex,7,15,1,0
BATTERY,2038,mex,7,15,1,0
BATTERY,2039,mex,7,15,1,0
BATTERY,2040,mex,7,15,1,0
BATTERY,2041,mex,7,15,1,0
BATTERY,2042,mex,7,15,1,0
BATTERY,2043,mex,7,15,1,0
BATTERY,2044,mex,7,15,1,0
BATTERY,2045,mex,7,15,1,0
BATTERY,2046,mex,7,15,1,0
BATTERY,2047,mex,7,15,1,0
BATTERY,2048,mex,7,15,1,0
BATTERY,2049,mex,7,15,1,0
BATTERY,2050,mex,7,15,1,0
BATTERY,2010,usa,7,15,1,0
BATTERY,2011,usa,7,15,1,0
BATTERY,2012,usa,7,15,1,0
BATTERY,2013,usa,7,15,1,0
BATTERY,2014,usa,7,15,1,0
BATTERY,2015,usa,7,15,1,0
BATTERY,2016,usa,7,15,1,0
BATTERY,2017,usa,7,15,1,0
BATTERY,2018,usa,7,15,1,0
BATTERY,2019,usa,7,15,1,0
BATTERY,2020,usa,7,15,1,0
BATTERY,2021,usa,7,15,1,0
BATTERY,2022,usa,7,15,1,0
BATTERY,2023,usa,7,15,1,0
BATTERY,2024,usa,7,15,1,0
BATTERY,2025,usa,7,15,1,0
BATTERY,2026,usa,7,15,1,0
BATTERY,2027,usa,7,15,1,0
BATTERY,2028,usa,7,15,1,0
BATTERY,2029,usa,7,15,1,0
BATTERY,2030,usa,7,15,1,0
BATTERY,2031,usa,7,15,1,0
BATTERY,2032,usa,7,15,1,0
BATTERY,2033,usa,7,15,1,0
BATTERY,2034,usa,7,15,1,0
BATTERY,2035,usa,7,15,1,0
BATTERY,2036,usa,7,15,1,0
BATTERY,2037,usa,7,15,1,0
BATTERY,2038,usa,7,15,1,0
BATTERY,2039,usa,7,15,1,0
BATTERY,2040,usa,7,15,1,0
BATTERY,2041,usa,7,15,1,0
BATTERY,2042,usa,7,15,1,0
BATTERY,2043,usa,7,15,1,0
BATTERY,2044,usa,7,15,1,0
BATTERY,2045,usa,7,15,1,0
BATTERY,2046,usa,7,15,1,0
BATTERY,2047,usa,7,15,1,0
BATTERY,2048,usa,7,15,1,0
BATTERY,2049,usa,7,15,1,0
BATTERY,2050,usa,7,15,1,0
biopower,2010,can,5,20,4,0
biopower,2011,can,5,20,4,0
biopower,2012,can,5,20,4,0
biopower,2013,can,5,20,4,0
biopower,2014,can,5,20,4,0
biopower,2015,can,5,20,4,0
biopower,2016,can,5,20,4,0
biopower,2017,can,5,20,4,0
biopower,2018,can,5,20,4,0
biopower,2019,can,5,20,4,0
biopower,2020,can,5,20,4,0
biopower,2021,can,5,20,4,0
biopower,2022,can,5,20,4,0
biopower,2023,can,5,20,4,0
biopower,2024,can,5,20,4,0
biopower,2025,can,5,20,4,0
biopower,2026,can,5,20,4,0
biopower,2027,can,5,20,4,0
biopower,2028,can,5,20,4,0
biopower,2029,can,5,20,4,0
biopower,2030,can,5,20,4,0
biopower,2031,can,5,20,4,0
biopower,2032,can,5,20,4,0
biopower,2033,can,5,20,4,0
biopower,2034,can,5,20,4,0
biopower,2035,can,5,20,4,0
biopower,2036,can,5,20,4,0
biopower,2037,can,5,20,4,0
biopower,2038,can,5,20,4,0
biopower,2039,can,5,20,4,0
biopower,2040,can,5,20,4,0
biopower,2041,can,5,20,4,0
biopower,2042,can,5,20,4,0
biopower,2043,can,5,20,4,0
biopower,2044,can,5,20,4,0
biopower,2045,can,5,20,4,0
biopower,2046,can,5,20,4,0
biopower,2047,can,5,20,4,0
biopower,2048,can,5,20,4,0
biopower,2049,can,5,20,4,0
biopower,2050,can,5,20,4,0
biopower,2010,mex,5,20,4,0
biopower,2011,mex,5,20,4,0
