t_start_construction,depreciation_sch,construction_time,construction_sch,finance_diff_real,itc_frac,itc_tax_equity_penalty,annual_degradation
2000,15,3,3B,0,0,0,0
2001,15,3,3B,0,0,0,0
2002,15,3,3B,0,0,0,0
2003,15,3,3B,0,0,0,0
2004,15,3,3B,0,0,0,0
2005,15,3,3B,0,0,0,0
2006,15,3,3B,0,0,0,0
2007,15,3,3B,0,0,0,0
2008,15,3,3B,0,0,0,0
2009,15,3,3B,0,0,0,0
2010,15,3,3B,0,0,0,0
2011,15,3,3B,0,0,0,0
2012,15,3,3B,0,0,0,0
2013,15,3,3B,0,0,0,0
2014,15,3,3B,0,0,0,0
2015,15,3,3B,0,0,0,0
2016,15,3,3B,0,0,0,0
2017,15,3,3B,0,0,0,0
2018,15,3,3B,0,0,0,0
2019,15,3,3B,0,0,0,0
2020,15,3,3B,0,0,0,0
2021,15,3,3B,0,0,0,0
2022,15,3,3B,0,0.3,0,0
2023,15,3,3B,0,0.3,0,0
2024,15,3,3B,0,0.3,0,0
2025,15,3,3B,0,0.3,0,0
2026,15,3,3B,0,0.3,0,0
2027,15,3,3B,0,0.3,0,0
2028,15,3,3B,0,0.3,0,0
2029,15,3,3B,0,0.3,0,0
2030,15,3,3B,0,0.3,0,0
2031,15,3,3B,0,0.3,0,0
2032,15,3,3B,0,0,0,0
2033,15,3,3B,0,0,0,0
2034,15,3,3B,0,0,0,0
2035,15,3,3B,0,0,0,0
2036,15,3,3B,0,0,0,0
2037,15,3,3B,0,0,0,0
2038,15,3,3B,0,0,0,0
2039,15,3,3B,0,0,0,0
2040,15,3,3B,0,0,0,0
2041,15,3,3B,0,0,0,0
2042,15,3,3B,0,0,0,0
2043,15,3,3B,0,0,0,0
2044,15,3,3B,0,0,0,0
2045,15,3,3B,0,0,0,0
2046,15,3,3B,0,0,0,0
2047,15,3,3B,0,0,0,0
2048,15,3,3B,0,0,0,0
2049,15,3,3B,0,0,0,0
2050,15,3,3B,0,0,0,0
2051,15,3,3B,0,0,0,0
2052,15,3,3B,0,0,0,0
2053,15,3,3B,0,0,0,0
2054,15,3,3B,0,0,0,0
2055,15,3,3B,0,0,0,0
2056,15,3,3B,0,0,0,0
2057,15,3,3B,0,0,0,0
2058,15,3,3B,0,0,0,0
2059,15,3,3B,0,0,0,0
2060,15,3,3B,0,0,0,0
2061,15,3,3B,0,0,0,0
2062,15,3,3B,0,0,0,0
2063,15,3,3B,0,0,0,0
2064,15,3,3B,0,0,0,0
2065,15,3,3B,0,0,0,0
2066,15,3,3B,0,0,0,0
2067,15,3,3B,0,0,0,0
2068,15,3,3B,0,0,0,0
2069,15,3,3B,0,0,0,0
2070,15,3,3B,0,0,0,0
2071,15,3,3B,0,0,0,0
2072,15,3,3B,0,0,0,0
2073,15,3,3B,0,0,0,0
2074,15,3,3B,0,0,0,0
2075,15,3,3B,0,0,0,0
2076,15,3,3B,0,0,0,0
2077,15,3,3B,0,0,0,0
2078,15,3,3B,0,0,0,0
2079,15,3,3B,0,0,0,0
2080,15,3,3B,0,0,0,0
2081,15,3,3B,0,0,0,0
2082,15,3,3B,0,0,0,0
2083,15,3,3B,0,0,0,0
2084,15,3,3B,0,0,0,0
2085,15,3,3B,0,0,0,0
2086,15,3,3B,0,0,0,0
2087,15,3,3B,0,0,0,0
2088,15,3,3B,0,0,0,0
2089,15,3,3B,0,0,0,0
2090,15,3,3B,0,0,0,0
2091,15,3,3B,0,0,0,0
2092,15,3,3B,0,0,0,0
2093,15,3,3B,0,0,0,0
2094,15,3,3B,0,0,0,0
2095,15,3,3B,0,0,0,0
2096,15,3,3B,0,0,0,0
2097,15,3,3B,0,0,0,0
2098,15,3,3B,0,0,0,0
2099,15,3,3B,0,0,0,0
2100,15,3,3B,0,0,0,0
