Schedule,5,7,15,15a,15b,15c,20,20a,20b,20c
1,0.2,0.1429,0.05,0.6,0.4,0.2,0.0375,0.6,0.4,0.2
2,0.32,0.2449,0.095,0.04,0.06,0.08,0.07219,0.03,0.045,0.06
3,0.192,0.1749,0.0855,0.036,0.054,0.072,0.06677,0.02775,0.041625,0.0555
4,0.1152,0.1249,0.077,0.0324,0.0486,0.0648,0.06177,0.02566875,0.038503125,0.0513375
5,0.1152,0.0893,0.0693,0.02916,0.04374,0.05832,0.05713,0.023743594,0.035615391,0.047487188
6,0.0576,0.0892,0.0623,0.026244,0.039366,0.052488,0.05285,0.021962824,0.032944236,0.043925648
7,0,0.0893,0.059,0.024862737,0.037294105,0.049725474,0.04888,0.020315612,0.030473419,0.040631225
8,0,0.0446,0.059,0.024862737,0.037294105,0.049725474,0.04522,0.018791941,0.028187912,0.037583883
9,0,0,0.0591,0.024862737,0.037294105,0.049725474,0.04462,0.018541382,0.027812073,0.037082765
10,0,0,0.059,0.024862737,0.037294105,0.049725474,0.04461,0.018541382,0.027812073,0.037082765
11,0,0,0.0591,0.024862737,0.037294105,0.049725474,0.04462,0.018541382,0.027812073,0.037082765
12,0,0,0.059,0.024862737,0.037294105,0.049725474,0.04461,0.018541382,0.027812073,0.037082765
13,0,0,0.0591,0.024862737,0.037294105,0.049725474,0.04462,0.018541382,0.027812073,0.037082765
14,0,0,0.059,0.024862737,0.037294105,0.049725474,0.04461,0.018541382,0.027812073,0.037082765
15,0,0,0.0591,0.024862737,0.037294105,0.049725474,0.04462,0.018541382,0.027812073,0.037082765
16,0,0,0.0295,0.012431368,0.018647053,0.024862737,0.04461,0.018541382,0.027812073,0.037082765
17,0,0,0,0,0,0,0.04462,0.018541382,0.027812073,0.037082765
18,0,0,0,0,0,0,0.04461,0.018541382,0.027812073,0.037082765
19,0,0,0,0,0,0,0.04462,0.018541382,0.027812073,0.037082765
20,0,0,0,0,0,0,0.04461,0.018541382,0.027812073,0.037082765
21,0,0,0,0,0,0,0.02231,0.009270691,0.013906037,0.018541382
