,100_cap1,100_cap2,100_cap3,100_cap4,100_cap2030,100_cap2040
2020,0.1,0.2,0.1,0.2,0.1,0.1
2021,0.1,0.226666667,0.13,0.226666667,0.19,0.145
2022,0.1,0.253333333,0.16,0.253333333,0.28,0.19
2023,0.1,0.28,0.19,0.28,0.37,0.235
2024,0.1,0.306666667,0.22,0.306666667,0.46,0.28
2025,0.1,0.333333333,0.25,0.333333333,0.55,0.325
2026,0.1,0.36,0.28,0.36,0.64,0.37
2027,0.1,0.386666667,0.31,0.386666667,0.73,0.415
2028,0.1,0.413333333,0.34,0.413333333,0.82,0.46
2029,0.1,0.44,0.37,0.44,0.91,0.505
2030,0.2,0.466666667,0.4,0.466666667,1,0.55
2031,0.24,0.493333333,0.43,0.493333333,1,0.595
2032,0.28,0.52,0.46,0.52,1,0.64
2033,0.32,0.546666667,0.49,0.546666667,1,0.685
2034,0.36,0.573333333,0.52,0.573333333,1,0.73
2035,0.4,0.6,0.55,0.6,1,0.775
2036,0.44,0.626666667,0.58,0.626666667,1,0.82
2037,0.48,0.653333333,0.61,0.653333333,1,0.865
2038,0.52,0.68,0.64,0.68,1,0.91
2039,0.56,0.706666667,0.67,0.706666667,1,0.955
2040,0.6,0.733333333,0.7,0.733333333,1,1
2041,0.64,0.76,0.73,0.76,1,1
2042,0.68,0.786666667,0.76,0.786666667,1,1
2043,0.72,0.813333333,0.79,0.813333333,1,1
2044,0.76,0.84,0.82,0.84,1,1
2045,0.8,0.866666667,0.85,0.866666667,1,1
2046,0.84,0.893333333,0.88,0.893333333,1,1
2047,0.88,0.92,0.91,0.92,1,1
2048,0.92,0.946666667,0.94,0.946666667,1,1
2049,0.96,0.973333333,0.97,0.973333333,1,1
2050,1,1,1,1,1,1
