t,80,90,95,97,99,100,80_2030,90_2030,95_2030,97_2030,99_2030,100_2030,80_2040,90_2040,95_2040,97_2040,99_2040,100_2040,2018
2020,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1819686
2021,0.22,0.223333333,0.225,0.228846154,0.234090909,0.2375,0.26,0.27,0.275,0.282777778,0.2925,0.29375,0.23,0.235,0.2375,0.241666667,0.246875,0.25,0.1819686
2022,0.24,0.246666667,0.25,0.257692308,0.268181818,0.275,0.32,0.34,0.35,0.365555556,0.385,0.3875,0.26,0.27,0.275,0.283333333,0.29375,0.3,0.1819686
2023,0.26,0.27,0.275,0.286538462,0.302272727,0.3125,0.38,0.41,0.425,0.448333333,0.4775,0.48125,0.29,0.305,0.3125,0.325,0.340625,0.35,0.1819686
2024,0.28,0.293333333,0.3,0.315384615,0.336363636,0.35,0.44,0.48,0.5,0.531111111,0.57,0.575,0.32,0.34,0.35,0.366666667,0.3875,0.4,0.1819686
2025,0.3,0.316666667,0.325,0.344230769,0.370454545,0.3875,0.5,0.55,0.575,0.613888889,0.6625,0.66875,0.35,0.375,0.3875,0.408333333,0.434375,0.45,0.1819686
2026,0.32,0.34,0.35,0.373076923,0.404545455,0.425,0.56,0.62,0.65,0.696666667,0.755,0.7625,0.38,0.41,0.425,0.45,0.48125,0.5,0.1819686
2027,0.34,0.363333333,0.375,0.401923077,0.438636364,0.4625,0.62,0.69,0.725,0.779444444,0.8475,0.85625,0.41,0.445,0.4625,0.491666667,0.528125,0.55,0.1819686
2028,0.36,0.386666667,0.4,0.430769231,0.472727273,0.5,0.68,0.76,0.8,0.862222222,0.94,0.95,0.44,0.48,0.5,0.533333333,0.575,0.6,0.1819686
2029,0.38,0.41,0.425,0.459615385,0.506818182,0.5375,0.74,0.83,0.875,0.945,0.965,0.975,0.47,0.515,0.5375,0.575,0.621875,0.65,0.1819686
2030,0.4,0.433333333,0.45,0.488461538,0.540909091,0.575,0.8,0.9,0.95,0.97,0.99,1,0.5,0.55,0.575,0.616666667,0.66875,0.7,0.1819686
2031,0.42,0.456666667,0.475,0.517307692,0.575,0.6125,0.8,0.9,0.95,0.97,0.99,1,0.53,0.585,0.6125,0.658333333,0.715625,0.75,0.1819686
2032,0.44,0.48,0.5,0.546153846,0.609090909,0.65,0.8,0.9,0.95,0.97,0.99,1,0.56,0.62,0.65,0.7,0.7625,0.8,0.1819686
2033,0.46,0.503333333,0.525,0.575,0.643181818,0.6875,0.8,0.9,0.95,0.97,0.99,1,0.59,0.655,0.6875,0.741666667,0.809375,0.85,0.1819686
2034,0.48,0.526666667,0.55,0.603846154,0.677272727,0.725,0.8,0.9,0.95,0.97,0.99,1,0.62,0.69,0.725,0.783333333,0.85625,0.9,0.1819686
2035,0.5,0.55,0.575,0.632692308,0.711363636,0.7625,0.8,0.9,0.95,0.97,0.99,1,0.65,0.725,0.7625,0.825,0.903125,0.95,0.1819686
2036,0.52,0.573333333,0.6,0.661538462,0.745454545,0.8,0.8,0.9,0.95,0.97,0.99,1,0.68,0.76,0.8,0.866666667,0.95,0.96,0.1819686
2037,0.54,0.596666667,0.625,0.690384615,0.779545455,0.8375,0.8,0.9,0.95,0.97,0.99,1,0.71,0.795,0.8375,0.908333333,0.96,0.97,0.1819686
2038,0.56,0.62,0.65,0.719230769,0.813636364,0.875,0.8,0.9,0.95,0.97,0.99,1,0.74,0.83,0.875,0.95,0.97,0.98,0.1819686
2039,0.58,0.643333333,0.675,0.748076923,0.847727273,0.9125,0.8,0.9,0.95,0.97,0.99,1,0.77,0.865,0.9125,0.96,0.98,0.99,0.1819686
2040,0.6,0.666666667,0.7,0.776923077,0.881818182,0.95,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2041,0.62,0.69,0.725,0.805769231,0.915909091,0.955,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2042,0.64,0.713333333,0.75,0.834615385,0.95,0.96,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2043,0.66,0.736666667,0.775,0.863461538,0.955,0.965,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2044,0.68,0.76,0.8,0.892307692,0.96,0.97,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2045,0.7,0.783333333,0.825,0.921153846,0.965,0.975,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2046,0.72,0.806666667,0.85,0.95,0.97,0.98,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2047,0.74,0.83,0.875,0.955,0.975,0.985,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2048,0.76,0.853333333,0.9,0.96,0.98,0.99,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2049,0.78,0.876666667,0.925,0.965,0.985,0.995,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
2050,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.1819686
