data_type,group,data_set,collect_data,description,Marmot Property
interval,generator,gen_out,TRUE,Output from each generator by timestep,generator_Generation
year,generator,resgen,TRUE,Generation by year,generator_Generation_Annual
year,generator,rescap,TRUE,Nameplate power capacity ,generator_Installed_Capacity
interval,generator,curt_out,TRUE,Curtailment by generator by timestep,generator_Curtailment
interval,region,load_mw,TRUE,Load by region,region_Demand
year,region,load_rt,TRUE,Total load within a region by year,region_Demand_Annual
interval,line,FLOW,FALSE,"Flow from ""Node From"" to ""Node To""",line_Flow
interval,line,losses_tran_h,FALSE,"losses from ""Node From"" to ""Node To""",line_Losses
year,line,CAPTRAN,FALSE,Transmission capacity,line_Import Limit
interval,generator,stor_charge,TRUE,The amount that a generator charges during a timestep.,generator_Pump Load
year,storage,stor_energy_cap,FALSE,Storage Energy Capacity,storage_Max Volumne
year,emission,emit_r,FALSE,Total emissions production,emissions_Production
interval,reserves_generators,OPRES,FALSE,Reserves provided by generator and timestep,reserves_generators_Provision
year,reserves_generators,opRes_supply,FALSE,Reserves provided by generators by year,reserves_generators_Provision_Annual
year,generator,systemcost_techba,FALSE,The total cost for operating a generators,generator_Total_Generation_Cost
