region,State,country,Country
Andhra_Pradesh,Andhra_Pradesh,India,India
Arunachal_Pradesh,Arunachal_Pradesh,India,India
Assam,Assam,India,India
Bihar,Bihar,India,India
Chandigarh,Chandigarh,India,India
Chhattisgarh,Chhattisgarh,India,India
Dadra_Nagar_Haveli,Dadra_Nagar_Haveli,India,India
Daman_Diu,Daman_Diu,India,India
Delhi,Delhi,India,India
Goa,Goa,India,India
Gujarat,Gujarat,India,India
Haryana,Haryana,India,India
Himachal_Pradesh,Himachal_Pradesh,India,India
Jammu_Kashmir,Jammu_Kashmir,India,India
Jharkhand,Jharkhand,India,India
Karnataka,Karnataka,India,India
Kerala,Kerala,India,India
Madhya_Pradesh,Madhya_Pradesh,India,India
Maharashtra,Maharashtra,India,India
Manipur,Manipur,India,India
Meghalaya,Meghalaya,India,India
Mizoram,Mizoram,India,India
Nagaland,Nagaland,India,India
Odisha,Odisha,India,India
Puducherry,Puducherry,India,India
Punjab,Punjab,India,India
Rajasthan,Rajasthan,India,India
Sikkim,Sikkim,India,India
Tamil_Nadu,Tamil_Nadu,India,India
Telangana,Telangana,India,India
Tripura,Tripura,India,India
Uttar_Pradesh,Uttar_Pradesh,India,India
Uttarakhand,Uttarakhand,India,India
West_Bengal,West_Bengal,India,India
