s,p,rto,census_region,state,interconnect,country,custreg,cc_reg
1,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
2,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
3,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
4,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
5,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
6,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
7,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
8,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
9,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
10,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
11,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
12,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
13,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
14,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
15,Andhra_Pradesh,NA,NA,Andhra_Pradesh,NA,India,SR,SR
144,Arunachal_Pradesh,NA,NA,Arunachal_Pradesh,NA,India,NER,NER
141,Assam,NA,NA,Assam,NA,India,NER,NER
130,Bihar,NA,NA,Bihar,NA,India,ER,ER
122,Chandigarh,NA,NA,Chandigarh,NA,India,NR,NR
131,Chhattisgarh,NA,NA,Chhattisgarh,NA,India,WR,WR
132,Chhattisgarh,NA,NA,Chhattisgarh,NA,India,WR,WR
133,Chhattisgarh,NA,NA,Chhattisgarh,NA,India,WR,WR
137,Dadra_Nagar_Haveli,NA,NA,Dadra_Nagar_Haveli,NA,India,WR,WR
118,Daman_Diu,NA,NA,Daman_Diu,NA,India,WR,WR
138,Delhi,NA,NA,Delhi,NA,India,NR,NR
117,Goa,NA,NA,Goa,NA,India,WR,WR
16,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
17,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
18,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
19,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
20,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
21,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
22,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
23,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
24,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
25,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
26,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
27,Gujarat,NA,NA,Gujarat,NA,India,WR,WR
123,Haryana,NA,NA,Haryana,NA,India,NR,NR
124,Himachal_Pradesh,NA,NA,Himachal_Pradesh,NA,India,NR,NR
126,Jammu_Kashmir,NA,NA,Jammu_Kashmir,NA,India,NR,NR
127,Jammu_Kashmir,NA,NA,Jammu_Kashmir,NA,India,NR,NR
128,Jammu_Kashmir,NA,NA,Jammu_Kashmir,NA,India,NR,NR
125,Jharkhand,NA,NA,Jharkhand,NA,India,ER,ER
28,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
29,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
30,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
31,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
32,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
33,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
34,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
35,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
36,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
37,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
38,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
39,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
40,Karnataka,NA,NA,Karnataka,NA,India,SR,SR
134,Kerala,NA,NA,Kerala,NA,India,SR,SR
135,Kerala,NA,NA,Kerala,NA,India,SR,SR
136,Kerala,NA,NA,Kerala,NA,India,SR,SR
41,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
42,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
43,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
44,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
45,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
46,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
47,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
48,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
49,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
50,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
51,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
52,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
53,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
54,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
55,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
56,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
57,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
58,Madhya_Pradesh,NA,NA,Madhya_Pradesh,NA,India,WR,WR
59,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
60,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
61,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
62,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
63,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
64,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
65,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
66,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
67,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
68,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
69,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
70,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
71,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
72,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
73,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
74,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
75,Maharashtra,NA,NA,Maharashtra,NA,India,WR,WR
146,Manipur,NA,NA,Manipur,NA,India,NER,NER
147,Meghalaya,NA,NA,Meghalaya,NA,India,NER,NER
142,Mizoram,NA,NA,Mizoram,NA,India,NER,NER
143,Nagaland,NA,NA,Nagaland,NA,India,NER,NER
113,Odisha,NA,NA,Odisha,NA,India,ER,ER
114,Odisha,NA,NA,Odisha,NA,India,ER,ER
115,Odisha,NA,NA,Odisha,NA,India,ER,ER
139,Puducherry,NA,NA,Puducherry,NA,India,SR,SR
129,Punjab,NA,NA,Punjab,NA,India,NR,NR
76,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
77,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
78,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
79,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
80,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
81,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
82,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
83,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
84,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
85,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
86,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
87,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
88,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
89,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
90,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
91,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
92,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
93,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
94,Rajasthan,NA,NA,Rajasthan,NA,India,NR,NR
140,Sikkim,NA,NA,Sikkim,NA,India,ER,ER
95,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
96,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
97,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
98,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
99,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
100,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
101,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
102,Tamil_Nadu,NA,NA,Tamil_Nadu,NA,India,SR,SR
