Figure Output Name,Plot Graph,Plot Property,Y-Axis Max,Day Before,Day After,Timezone,Start date,End date,Timeseries Plot Resolution,Group by Scenario or Year-Scenario,Custom Data File,Marmot Module,Method
Avg_Out_Committed,FALSE,,,,,EST,,,,Scenario,,capacity_factor,avg_output_when_committed
Avg_Out_Committed_By_Year,FALSE,,,,,EST,2030,2050,,Year-Scenario,,capacity_factor,avg_output_when_committed
Capacity_Factor,FALSE,,,,,EST,2030,2035,,Scenario,,capacity_factor,cf
Capacity_Factor_By_Year,FALSE,,,,,EST,2030,2050,,Year-Scenario,,capacity_factor,cf
Time_at_Min_Gen,FALSE,,,,,,,,,Scenario,,capacity_factor,time_at_min_gen
Capacity_Out_Stacked_annual,FALSE,,,,,EST,,,Annual ,,,capacity_out,capacity_out_stack
Capacity_Out_Stacked,FALSE,,,,,EST,1/2/2040,1/15/2040,Interval,,,capacity_out,capacity_out_stack
Capacity_Out_Stacked_PASA,FALSE,,,,,EST,,,,,,capacity_out,capacity_out_stack_PASA
PV_Curtailment_Duration_Curve,FALSE,PV,,,,,,,,,,curtailment,curt_duration_curve
RE_Curtailment_Duration_Curve,FALSE,PV+Wind,,,,,,,,,,curtailment,curt_duration_curve
Total_Curtailment_Individual,FALSE,"309_wind, 122_wind",,,,,,,,,,curtailment,curt_ind
PV_Curtailment_vs_Penetration,FALSE,PV,,,,,,,,,,curtailment,curt_pen
RE_Curtailment_vs_Penetration,FALSE,PV+Wind,,,,,,,,,,curtailment,curt_pen
Total_Curtailment,FALSE,,,,,,2030,2040,,Scenario,,curtailment,curt_total
Total_Curtailment_by_year_scenario,FALSE,,,,,,,,,Year-Scenario,,curtailment,curt_total
Total_Curtailment_diff,FALSE,,,,,,,,,,,curtailment,curt_total_diff
Average_Diurnal_Curtailment,FALSE,,,,,EST,2040,2050,,Scenario,,curtailment,average_diurnal_curt
Average_Diurnal_Curtailment_by_year,FALSE,,,,,EST,2040,2050,,Year-Scenario,,curtailment,average_diurnal_curt
Total_Emissions_By_Gen_Type_CO2,FALSE,CO2,,,,,,,,Scenario,,emissions,total_emissions_by_type
Total_Emissions_By_Gen_Type_CO2_and_year,FALSE,CO2,,,,,,,,Year-Scenario,,emissions,total_emissions_by_type
Total_Emissions_By_Gen_Type_SO2,FALSE,SO2,,,,,,,,Scenario,,emissions,total_emissions_by_type
Committed_Capacity_Stack_annual,FALSE,,,,,,,,Annual ,,,generation_stack,committed_stack
Committed_Capacity_Stack,FALSE,,,,,EST,1/10/2040,1/20/2040,Interval,,,generation_stack,committed_stack
Generation_Timeseries_Diff_annual,FALSE,,,,,EST,,,Annual ,,,generation_stack,gen_diff
Generation_Timeseries_Diff,FALSE,Date Range,,,,EST,1/10/2040,1/20/2040,Interval,,,generation_stack,gen_diff
Stacked_Gen,FALSE,,,,,EST,1/10/2040,1/20/2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_annual,FALSE,,,,,EST,,,Annual,,,generation_stack,gen_stack
Stacked_Gen_Min_Net_Load,FALSE,Min Net Load,,3,3,EST,1/2/2040,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Demand,FALSE,Peak Demand,,3,3,EST,1/2/2040,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_RE,FALSE,Peak RE,,3,3,EST,1/2/2040,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Unserved_Energy,FALSE,Peak Unserved Energy,,3,3,EST,1/2/2040,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Curtailment,FALSE,Peak Curtailment,,3,3,EST,1/2/2040,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Min_Net_Load_annual,FALSE,Min Net Load,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Demand_annual,FALSE,Peak Demand,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_RE_annual,FALSE,Peak RE,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Unserved_Energy_annual,FALSE,Peak Unserved Energy,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Curtailment_annual,FALSE,Peak Curtailment,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Unstacked_Gen_Min_Net_Load,FALSE,Min Net Load,,3,3,EST,,,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_Peak_Demand,FALSE,Peak Demand,,3,3,EST,,,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen,FALSE,,,,,EST,7/1/2020,7/14/2020,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_annual,FALSE,,,,,EST,,,Annual,,,generation_unstack,gen_unstack
Unstacked_Gen_Facet_Grid_Peak_Demand,FALSE,Peak Demand,,3,3,EST,1/2/2040,2040,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_Facet_Grid_Min_Net_load,FALSE,Min Net Load,,3,3,EST,1/2/2040,2040,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_Facet_Grid_Peak_RE,FALSE,Peak RE,,3,3,EST,1/2/2040,2040,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_Facet_Grid_Peak_Curtailment,FALSE,Peak Curtailment,,3,3,EST,1/2/2040,2040,Interval,,,generation_unstack,gen_unstack
Unstacked_Gen_Facet_Grid,FALSE,,,,,EST,,,Interval,,,generation_unstack,gen_unstack
Hydro_Versus_Continent_Net_Load,FALSE,,,,,,1/10/2024,1/20/2024,,,,hydro,hydro_continent_net_load
Hydro_Versus_Net_Load,FALSE,,,,7,EST,,,,,,hydro,hydro_net_load
All_Regions_Price_Duration_Curve,FALSE,,150,,,,,,,,,prices,pdc_all_regions
Region_Price_Duration,FALSE,,,,,,1/10/2024,1/20/2024,,,,prices,region_pdc
Region_Price_Duration_Threshold,FALSE,,150,,,,1/10/2024,1/20/2024,,,,prices,region_pdc
Region_Price_Timeseries,FALSE,,,,,,1/10/2024,1/20/2024,,,,prices,region_timeseries_price
Region_Price_Timeseries_Threshold,FALSE,,150,,,,1/10/2024,1/20/2024,,,,prices,region_timeseries_price
All_Regions_Price_Timeseries,FALSE,,,,,,1/10/2024,1/20/2024,,,,prices,timeseries_price_all_regions
Node_Price_Duration_Curve,FALSE,"101,202",,,,,,,,,,prices,node_pdc
Node_Price_Timeseries,FALSE,"101,202",,,,EST,1/10/2024,1/20/2024,,,,prices,node_timeseries_price
Node_Price_Histogram,FALSE,"101,202",,,,,1/10/2024,1/20/2024,,,,prices,node_price_hist
Node_Price_Histogram_Difference,FALSE,"101,202",,,,,,,,,,prices,node_price_hist_diff
Detailed_Total_Generation_Cost,FALSE,,,,,,2030,2050,,Scenario,,production_cost,detailed_gen_cost
Detailed_Total_Generation_Cost_by_year,FALSE,,,,,,2030,2050,,Year-Scenario,,production_cost,detailed_gen_cost
Detailed_Total_Generation_Cost_Diff,FALSE,,,,,,2030,2050,,Scenario,,production_cost,detailed_gen_cost_diff
Detailed_Total_Generation_Cost_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,detailed_gen_cost_diff
Production_Cost,FALSE,,,,,,,,,,,production_cost,prod_cost
Total_System_Cost,FALSE,,,,,,,,,Scenario,,production_cost,sys_cost
Total_System_Cost_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,sys_cost
Total_System_Cost_Diff,FALSE,,,,,,,,,Scenario,,production_cost,sys_cost_diff
