year,utility_name,energy_sales
2000,Central Maine Power Co,9487049.0
2001,Central Maine Power Co,9224542.0
2002,Central Maine Power Co,8708982.0
2003,Central Maine Power Co,8945903.0
2004,Central Maine Power Co,9216538.0
2005,Central Maine Power Co,9403753.0
2006,Central Maine Power Co,8912595.0
2007,Central Maine Power Co,9098717.0
2008,Central Maine Power Co,8968810.0
2009,Central Maine Power Co,8670976.0
2010,Central Maine Power Co,8861279.0
2011,Central Maine Power Co,8791819.0
2012,Central Maine Power Co,8933712.0
2013,Central Maine Power Co,9217841.0
2014,Central Maine Power Co,9335476.0
2015,Central Maine Power Co,9215441.0
2016,Central Maine Power Co,9003812.0
2017,Central Maine Power Co,8856727.0
2018,Central Maine Power Co,9864834.0
2000,Dixie Escalante Rural Electric Association Inc,168198.0
2001,Dixie Escalante Rural Electric Association Inc,175142.0
2002,Dixie Escalante Rural Electric Association Inc,195430.0
2003,Dixie Escalante Rural Electric Association Inc,216223.0
2004,Dixie Escalante Rural Electric Association Inc,250537.0
2005,Dixie Escalante Rural Electric Association Inc,269161.0
2006,Dixie Escalante Rural Electric Association Inc,309344.0
2007,Dixie Escalante Rural Electric Association Inc,352106.0
2008,Dixie Escalante Rural Electric Association Inc,371368.0
2009,Dixie Escalante Rural Electric Association Inc,370995.0
2010,Dixie Escalante Rural Electric Association Inc,372649.0
2011,Dixie Escalante Rural Electric Association Inc,373164.0
2012,Dixie Escalante Rural Electric Association Inc,392574.0
2013,Dixie Escalante Rural Electric Association Inc,402197.0
2014,Dixie Escalante Rural Electric Association Inc,403323.0
2015,Dixie Escalante Rural Electric Association Inc,416492.0
2016,Dixie Escalante Rural Electric Association Inc,455933.0
2017,Dixie Escalante Rural Electric Association Inc,489197.0
2018,Dixie Escalante Rural Electric Association Inc,516528.0
2000,Salmon River Electric Coop Inc,192287.0
2001,Salmon River Electric Coop Inc,129304.0
2002,Salmon River Electric Coop Inc,161480.0
2003,Salmon River Electric Coop Inc,187509.0
2004,Salmon River Electric Coop Inc,223896.0
2005,Salmon River Electric Coop Inc,219077.0
2006,Salmon River Electric Coop Inc,188478.0
2007,Salmon River Electric Coop Inc,261411.0
2008,Salmon River Electric Coop Inc,283994.0
2009,Salmon River Electric Coop Inc,235486.0
2010,Salmon River Electric Coop Inc,272325.0
2011,Salmon River Electric Coop Inc,276680.0
2012,Salmon River Electric Coop Inc,277743.0
2013,Salmon River Electric Coop Inc,271688.0
2014,Salmon River Electric Coop Inc,259839.0
2015,Salmon River Electric Coop Inc,94032.0
2016,Salmon River Electric Coop Inc,98849.0
2017,Salmon River Electric Coop Inc,100661.0
2018,Salmon River Electric Coop Inc,98091.0
