r,szn,ddtype,t,Value
p1,spri,cdd,2010,2.216548795
p1,spri,cdd,2012,2.697604512
p1,spri,cdd,2014,2.767130821
p1,spri,cdd,2016,3.296583474
p1,spri,cdd,2018,3.911646867
p1,spri,cdd,2020,3.911646867
p1,spri,cdd,2022,3.884120345
p1,spri,cdd,2024,3.66503803
p1,spri,cdd,2026,3.641833342
p1,spri,cdd,2028,2.770172435
p1,spri,cdd,2030,2.120803738
p1,spri,cdd,2032,1.668910317
p1,spri,cdd,2034,1.599384008
p1,spri,cdd,2036,1.069931355
p1,spri,cdd,2038,0.048438926
p1,spri,cdd,2040,0.629014325
p1,spri,cdd,2042,0.983962679
p1,spri,cdd,2044,1.629252069
p1,spri,cdd,2046,1.705219578
p1,spri,cdd,2048,1.728491623
p1,spri,cdd,2050,1.728491623
p1,spri,hdd,2010,880.130515
p1,spri,hdd,2012,868.1166438
p1,spri,hdd,2014,858.2026749
p1,spri,hdd,2016,830.8527378
p1,spri,hdd,2018,835.2935906
p1,spri,hdd,2020,836.4155086
p1,spri,hdd,2022,842.9273505
p1,spri,hdd,2024,860.1384105
p1,spri,hdd,2026,846.2989315
p1,spri,hdd,2028,867.9956184
p1,spri,hdd,2030,874.424226
p1,spri,hdd,2032,882.4626733
p1,spri,hdd,2034,889.3162518
p1,spri,hdd,2036,901.595431
p1,spri,hdd,2038,902.283762
p1,spri,hdd,2040,888.8781062
p1,spri,hdd,2042,893.7003367
p1,spri,hdd,2044,870.8559204
p1,spri,hdd,2046,885.7480181
p1,spri,hdd,2048,878.0207798
p1,spri,hdd,2050,872.015416
p1,summ,cdd,2010,101.2834603
p1,summ,cdd,2012,107.0018026
p1,summ,cdd,2014,102.1872763
p1,summ,cdd,2016,102.9103879
p1,summ,cdd,2018,97.85637474
p1,summ,cdd,2020,101.4702351
p1,summ,cdd,2022,93.64320141
p1,summ,cdd,2024,92.43412972
p1,summ,cdd,2026,89.19594675
p1,summ,cdd,2028,84.97261743
p1,summ,cdd,2030,79.97556633
p1,summ,cdd,2032,78.74658729
p1,summ,cdd,2034,78.44167085
p1,summ,cdd,2036,79.01499518
p1,summ,cdd,2038,77.54893872
p1,summ,cdd,2040,76.07063463
p1,summ,cdd,2042,74.57786493
p1,summ,cdd,2044,69.29433798
p1,summ,cdd,2046,73.74008561
p1,summ,cdd,2048,65.13670082
p1,summ,cdd,2050,64.48654688
p1,summ,hdd,2010,221.6679423
p1,summ,hdd,2012,207.5014702
p1,summ,hdd,2014,211.3134803
p1,summ,hdd,2016,206.6231818
p1,summ,hdd,2018,216.165064
p1,summ,hdd,2020,207.3040736
p1,summ,hdd,2022,213.0257194
p1,summ,hdd,2024,206.463898
p1,summ,hdd,2026,204.4604367
p1,summ,hdd,2028,205.3440691
p1,summ,hdd,2030,214.9280827
p1,summ,hdd,2032,225.1040179
p1,summ,hdd,2034,232.7310888
p1,summ,hdd,2036,232.8287794
p1,summ,hdd,2038,235.0404365
p1,summ,hdd,2040,236.0281527
p1,summ,hdd,2042,245.7301013
p1,summ,hdd,2044,252.4118121
p1,summ,hdd,2046,248.5759299
p1,summ,hdd,2048,263.5752945
p1,summ,hdd,2050,262.8132058
p1,fall,cdd,2010,6.621251667
p1,fall,cdd,2012,6.316079011
p1,fall,cdd,2014,5.603691531
p1,fall,cdd,2016,6.881446349
p1,fall,cdd,2018,7.684226969
p1,fall,cdd,2020,7.701631449
p1,fall,cdd,2022,7.556075687
p1,fall,cdd,2024,8.639919777
p1,fall,cdd,2026,6.92717327
p1,fall,cdd,2028,8.650026004
p1,fall,cdd,2030,7.777702058
p1,fall,cdd,2032,7.668026274
p1,fall,cdd,2034,7.784430084
p1,fall,cdd,2036,7.26890645
p1,fall,cdd,2038,5.794295938
p1,fall,cdd,2040,5.966296234
p1,fall,cdd,2042,7.384334322
p1,fall,cdd,2044,7.609387363
p1,fall,cdd,2046,7.156723032
p1,fall,cdd,2048,5.885932853
p1,fall,cdd,2050,6.610944586
p1,fall,hdd,2010,423.0473782
p1,fall,hdd,2012,424.4347248
p1,fall,hdd,2014,428.0742174
p1,fall,hdd,2016,408.7287725
p1,fall,hdd,2018,407.3238958
p1,fall,hdd,2020,404.9159136
p1,fall,hdd,2022,412.5996649
p1,fall,hdd,2024,405.3048294
p1,fall,hdd,2026,403.6844147
p1,fall,hdd,2028,405.0174984
p1,fall,hdd,2030,415.1800366
p1,fall,hdd,2032,419.1097489
p1,fall,hdd,2034,417.2366573
p1,fall,hdd,2036,420.243735
p1,fall,hdd,2038,425.1183615
p1,fall,hdd,2040,424.3579632
p1,fall,hdd,2042,416.2166567
p1,fall,hdd,2044,413.861777
p1,fall,hdd,2046,425.680543
p1,fall,hdd,2048,428.3868616
p1,fall,hdd,2050,428.8860808
p1,wint,cdd,2010,0
p1,wint,cdd,2012,0
p1,wint,cdd,2014,0
p1,wint,cdd,2016,0
p1,wint,cdd,2018,0
p1,wint,cdd,2020,0
p1,wint,cdd,2022,0
p1,wint,cdd,2024,0
p1,wint,cdd,2026,0
p1,wint,cdd,2028,0
p1,wint,cdd,2030,0
p1,wint,cdd,2032,0
p1,wint,cdd,2034,0
p1,wint,cdd,2036,0
p1,wint,cdd,2038,0
p1,wint,cdd,2040,0
p1,wint,cdd,2042,0
p1,wint,cdd,2044,0
p1,wint,cdd,2046,0
p1,wint,cdd,2048,0
p1,wint,cdd,2050,0
p1,wint,hdd,2010,1951.307179
p1,wint,hdd,2012,1920.474814
p1,wint,hdd,2014,1953.257217
p1,wint,hdd,2016,1931.597854
p1,wint,hdd,2018,1938.127104
p1,wint,hdd,2020,1921.524333
p1,wint,hdd,2022,1924.357259
p1,wint,hdd,2024,1910.282351
p1,wint,hdd,2026,1917.55995
p1,wint,hdd,2028,1945.784447
p1,wint,hdd,2030,1934.598072
p1,wint,hdd,2032,1955.876872
p1,wint,hdd,2034,1929.117208
p1,wint,hdd,2036,1944.926171
p1,wint,hdd,2038,1965.63674
p1,wint,hdd,2040,1984.281608
p1,wint,hdd,2042,1999.943259
p1,wint,hdd,2044,1991.725217
p1,wint,hdd,2046,1985.899103
p1,wint,hdd,2048,1969.605453
p1,wint,hdd,2050,1975.272632
p2,spri,cdd,2010,3.7716472
p2,spri,cdd,2012,4.438597467
p2,spri,cdd,2014,4.564026291
p2,spri,cdd,2016,5.132566365
p2,spri,cdd,2018,6.001534527
p2,spri,cdd,2020,6.001534527
p2,spri,cdd,2022,5.836038543
p2,spri,cdd,2024,5.50321276
p2,spri,cdd,2026,5.467856268
p2,spri,cdd,2028,4.276984403
p2,spri,cdd,2030,2.944980653
p2,spri,cdd,2032,2.439474416
p2,spri,cdd,2034,2.314045592
p2,spri,cdd,2036,1.657822122
p2,spri,cdd,2038,0.288037194
p2,spri,cdd,2040,0.851027331
p2,spri,cdd,2042,1.234582489
