r,t,Value
p1,2010,1.0
p1,2012,1.002
p1,2014,1.004
p1,2016,1.0070000000000001
p1,2018,1.0090000000000001
p1,2020,1.012
p1,2022,1.015
p1,2024,1.0190000000000001
p1,2026,1.025
p1,2028,1.031
p1,2030,1.038
p1,2032,1.045
p1,2034,1.051
p1,2036,1.057
p1,2038,1.062
p1,2040,1.0659999999999998
p1,2042,1.067
p1,2044,1.068
p1,2046,1.069
p1,2048,1.069
p1,2050,1.068
p2,2010,1.0
p2,2012,1.004
p2,2014,1.0090000000000001
p2,2016,1.014
p2,2018,1.0190000000000001
p2,2020,1.024
p2,2022,1.0290000000000001
p2,2024,1.035
p2,2026,1.044
p2,2028,1.054
p2,2030,1.064
p2,2032,1.075
p2,2034,1.085
p2,2036,1.094
p2,2038,1.101
p2,2040,1.1059999999999999
p2,2042,1.1079999999999999
p2,2044,1.109
p2,2046,1.109
p2,2048,1.1079999999999999
p2,2050,1.1059999999999999
p3,2010,1.0
p3,2012,1.005
p3,2014,1.01
p3,2016,1.015
p3,2018,1.02
p3,2020,1.025
p3,2022,1.03
p3,2024,1.036
p3,2026,1.043
p3,2028,1.052
p3,2030,1.061
p3,2032,1.07
p3,2034,1.078
p3,2036,1.0859999999999999
p3,2038,1.092
p3,2040,1.0959999999999999
p3,2042,1.0979999999999999
p3,2044,1.099
p3,2046,1.099
p3,2048,1.0979999999999999
p3,2050,1.0959999999999999
p4,2010,1.0
p4,2012,1.005
p4,2014,1.01
p4,2016,1.016
p4,2018,1.023
p4,2020,1.031
p4,2022,1.04
p4,2024,1.052
p4,2026,1.067
p4,2028,1.085
p4,2030,1.104
p4,2032,1.124
p4,2034,1.143
p4,2036,1.161
p4,2038,1.177
p4,2040,1.19
p4,2042,1.2
p4,2044,1.209
p4,2046,1.217
p4,2048,1.224
p4,2050,1.2309999999999999
p5,2010,1.0
p5,2012,1.003
p5,2014,1.0070000000000001
p5,2016,1.012
p5,2018,1.0170000000000001
p5,2020,1.022
p5,2022,1.028
p5,2024,1.037
p5,2026,1.048
p5,2028,1.062
p5,2030,1.077
p5,2032,1.093
p5,2034,1.1079999999999999
p5,2036,1.121
p5,2038,1.1320000000000001
p5,2040,1.14
p5,2042,1.143
p5,2044,1.143
p5,2046,1.143
p5,2048,1.14
p5,2050,1.138
p6,2010,1.0
p6,2012,1.004
p6,2014,1.01
p6,2016,1.016
p6,2018,1.023
p6,2020,1.03
p6,2022,1.037
p6,2024,1.046
p6,2026,1.06
p6,2028,1.0759999999999998
p6,2030,1.094
p6,2032,1.113
p6,2034,1.13
p6,2036,1.146
p6,2038,1.158
p6,2040,1.165
p6,2042,1.168
p6,2044,1.167
p6,2046,1.1640000000000001
p6,2048,1.159
p6,2050,1.153
p7,2010,1.0
