wst,r,t,Value
fsu,p1,2010,1.0
fsu,p1,2012,0.997
fsu,p1,2014,0.9940000000000001
fsu,p1,2016,0.991
fsu,p1,2018,0.988
fsu,p1,2020,0.986
fsu,p1,2022,0.985
fsu,p1,2024,0.986
fsu,p1,2026,0.987
fsu,p1,2028,0.9890000000000001
fsu,p1,2030,0.991
fsu,p1,2032,0.9940000000000001
fsu,p1,2034,0.997
fsu,p1,2036,0.9990000000000001
fsu,p1,2038,1.001
fsu,p1,2040,1.003
fsu,p1,2042,1.003
fsu,p1,2044,1.004
fsu,p1,2046,1.005
fsu,p1,2048,1.006
fsu,p1,2050,1.006
fsu,p2,2010,1.0
fsu,p2,2012,1.004
fsu,p2,2014,1.008
fsu,p2,2016,1.013
fsu,p2,2018,1.018
fsu,p2,2020,1.023
fsu,p2,2022,1.028
fsu,p2,2024,1.034
fsu,p2,2026,1.043
fsu,p2,2028,1.053
fsu,p2,2030,1.064
fsu,p2,2032,1.0759999999999998
fsu,p2,2034,1.0859999999999999
fsu,p2,2036,1.0959999999999999
fsu,p2,2038,1.104
fsu,p2,2040,1.109
fsu,p2,2042,1.111
fsu,p2,2044,1.112
fsu,p2,2046,1.112
fsu,p2,2048,1.111
fsu,p2,2050,1.109
fsu,p3,2010,1.0
fsu,p3,2012,1.0070000000000001
fsu,p3,2014,1.015
fsu,p3,2016,1.022
fsu,p3,2018,1.03
fsu,p3,2020,1.037
fsu,p3,2022,1.043
fsu,p3,2024,1.051
fsu,p3,2026,1.0590000000000002
fsu,p3,2028,1.069
fsu,p3,2030,1.079
fsu,p3,2032,1.089
fsu,p3,2034,1.0979999999999999
fsu,p3,2036,1.1059999999999999
fsu,p3,2038,1.112
fsu,p3,2040,1.1159999999999999
fsu,p3,2042,1.1179999999999999
fsu,p3,2044,1.1179999999999999
fsu,p3,2046,1.1159999999999999
fsu,p3,2048,1.114
fsu,p3,2050,1.111
fsu,p4,2010,1.0
fsu,p4,2012,0.997
fsu,p4,2014,0.9940000000000001
fsu,p4,2016,0.991
fsu,p4,2018,0.988
fsu,p4,2020,0.986
fsu,p4,2022,0.985
fsu,p4,2024,0.986
fsu,p4,2026,0.987
fsu,p4,2028,0.9890000000000001
fsu,p4,2030,0.991
fsu,p4,2032,0.9940000000000001
fsu,p4,2034,0.997
fsu,p4,2036,0.9990000000000001
fsu,p4,2038,1.001
fsu,p4,2040,1.003
fsu,p4,2042,1.003
fsu,p4,2044,1.004
fsu,p4,2046,1.005
fsu,p4,2048,1.006
fsu,p4,2050,1.006
fsu,p5,2010,1.0
fsu,p5,2012,1.002
fsu,p5,2014,1.005
fsu,p5,2016,1.008
fsu,p5,2018,1.011
fsu,p5,2020,1.015
fsu,p5,2022,1.018
fsu,p5,2024,1.023
fsu,p5,2026,1.031
fsu,p5,2028,1.04
fsu,p5,2030,1.051
fsu,p5,2032,1.062
fsu,p5,2034,1.072
fsu,p5,2036,1.081
fsu,p5,2038,1.088
fsu,p5,2040,1.092
fsu,p5,2042,1.093
fsu,p5,2044,1.092
fsu,p5,2046,1.09
fsu,p5,2048,1.0859999999999999
fsu,p5,2050,1.082
fsu,p6,2010,1.0
fsu,p6,2012,1.004
fsu,p6,2014,1.0090000000000001
fsu,p6,2016,1.014
fsu,p6,2018,1.02
fsu,p6,2020,1.026
fsu,p6,2022,1.032
fsu,p6,2024,1.0390000000000001
fsu,p6,2026,1.05
fsu,p6,2028,1.062
fsu,p6,2030,1.0759999999999998
fsu,p6,2032,1.09
fsu,p6,2034,1.103
fsu,p6,2036,1.115
fsu,p6,2038,1.124
