r,szn,t,Value
p1,fall,2010,1
p1,fall,2012,1.004
p1,fall,2014,1.009
p1,fall,2016,1.013
p1,fall,2018,1.017
p1,fall,2020,1.022
p1,fall,2022,1.025
p1,fall,2024,1.029
p1,fall,2026,1.035
p1,fall,2028,1.041
p1,fall,2030,1.047
p1,fall,2032,1.054
p1,fall,2034,1.06
p1,fall,2036,1.066
p1,fall,2038,1.07
p1,fall,2040,1.073
p1,fall,2042,1.073
p1,fall,2044,1.073
p1,fall,2046,1.072
p1,fall,2048,1.07
p1,fall,2050,1.068
p1,spri,2010,1
p1,spri,2012,1.011
p1,spri,2014,1.023
p1,spri,2016,1.035
p1,spri,2018,1.046
p1,spri,2020,1.056
p1,spri,2022,1.065
p1,spri,2024,1.074
p1,spri,2026,1.084
p1,spri,2028,1.095
p1,spri,2030,1.105
p1,spri,2032,1.116
p1,spri,2034,1.126
p1,spri,2036,1.134
p1,spri,2038,1.141
p1,spri,2040,1.147
p1,spri,2042,1.15
p1,spri,2044,1.152
p1,spri,2046,1.152
p1,spri,2048,1.152
p1,spri,2050,1.151
p1,summ,2010,1
p1,summ,2012,0.998
p1,summ,2014,0.996
p1,summ,2016,0.994
p1,summ,2018,0.993
p1,summ,2020,0.993
p1,summ,2022,0.994
p1,summ,2024,0.997
p1,summ,2026,1.002
p1,summ,2028,1.009
p1,summ,2030,1.017
p1,summ,2032,1.025
p1,summ,2034,1.033
p1,summ,2036,1.041
p1,summ,2038,1.047
p1,summ,2040,1.051
p1,summ,2042,1.053
p1,summ,2044,1.055
p1,summ,2046,1.055
p1,summ,2048,1.056
p1,summ,2050,1.055
p1,wint,2010,1
p1,wint,2012,1.003
p1,wint,2014,1.007
p1,wint,2016,1.01
p1,wint,2018,1.013
p1,wint,2020,1.017
p1,wint,2022,1.02
p1,wint,2024,1.024
p1,wint,2026,1.028
p1,wint,2028,1.033
p1,wint,2030,1.039
p1,wint,2032,1.044
p1,wint,2034,1.05
p1,wint,2036,1.054
p1,wint,2038,1.058
p1,wint,2040,1.061
p1,wint,2042,1.063
p1,wint,2044,1.064
p1,wint,2046,1.065
p1,wint,2048,1.066
p1,wint,2050,1.066
p2,fall,2010,1
p2,fall,2012,1.006
p2,fall,2014,1.012
p2,fall,2016,1.019
p2,fall,2018,1.026
p2,fall,2020,1.033
p2,fall,2022,1.038
p2,fall,2024,1.045
p2,fall,2026,1.055
p2,fall,2028,1.066
p2,fall,2030,1.078
p2,fall,2032,1.091
p2,fall,2034,1.103
p2,fall,2036,1.113
p2,fall,2038,1.121
p2,fall,2040,1.125
p2,fall,2042,1.126
p2,fall,2044,1.124
p2,fall,2046,1.12
p2,fall,2048,1.115
p2,fall,2050,1.109
p2,spri,2010,1
p2,spri,2012,1.014
p2,spri,2014,1.028
p2,spri,2016,1.042
p2,spri,2018,1.055
p2,spri,2020,1.068
p2,spri,2022,1.079
p2,spri,2024,1.089
p2,spri,2026,1.101
p2,spri,2028,1.113
p2,spri,2030,1.126
p2,spri,2032,1.137
p2,spri,2034,1.148
p2,spri,2036,1.157
p2,spri,2038,1.164
p2,spri,2040,1.168
p2,spri,2042,1.169
p2,spri,2044,1.167
p2,spri,2046,1.164
p2,spri,2048,1.159
p2,spri,2050,1.152
p2,summ,2010,1
p2,summ,2012,0.997
p2,summ,2014,0.994
p2,summ,2016,0.993
p2,summ,2018,0.994
p2,summ,2020,0.996
p2,summ,2022,0.999
p2,summ,2024,1.006
p2,summ,2026,1.019
p2,summ,2028,1.035
p2,summ,2030,1.053
p2,summ,2032,1.072
p2,summ,2034,1.091
p2,summ,2036,1.108
p2,summ,2038,1.122
p2,summ,2040,1.132
p2,summ,2042,1.136
p2,summ,2044,1.138
p2,summ,2046,1.139
p2,summ,2048,1.139
p2,summ,2050,1.138
p2,wint,2010,1
p2,wint,2012,1.005
p2,wint,2014,1.011
p2,wint,2016,1.017
p2,wint,2018,1.023
p2,wint,2020,1.029
p2,wint,2022,1.034
p2,wint,2024,1.041
p2,wint,2026,1.048
p2,wint,2028,1.057
p2,wint,2030,1.067
p2,wint,2032,1.076
p2,wint,2034,1.085
p2,wint,2036,1.093
p2,wint,2038,1.099
p2,wint,2040,1.103
p2,wint,2042,1.104
p2,wint,2044,1.103
p2,wint,2046,1.101
p2,wint,2048,1.098
p2,wint,2050,1.095
p3,fall,2010,1
p3,fall,2012,1.004
p3,fall,2014,1.009
p3,fall,2016,1.015
p3,fall,2018,1.021
p3,fall,2020,1.026
p3,fall,2022,1.031
p3,fall,2024,1.037
p3,fall,2026,1.045
p3,fall,2028,1.056
p3,fall,2030,1.067
p3,fall,2032,1.079
p3,fall,2034,1.089
p3,fall,2036,1.099
p3,fall,2038,1.105
p3,fall,2040,1.109
p3,fall,2042,1.109
p3,fall,2044,1.106
p3,fall,2046,1.102
p3,fall,2048,1.096
p3,fall,2050,1.09
p3,spri,2010,1
p3,spri,2012,1.02
p3,spri,2014,1.04
p3,spri,2016,1.059
p3,spri,2018,1.078
p3,spri,2020,1.095
p3,spri,2022,1.11
p3,spri,2024,1.125
p3,spri,2026,1.14
p3,spri,2028,1.155
p3,spri,2030,1.17
p3,spri,2032,1.184
p3,spri,2034,1.197
p3,spri,2036,1.207
p3,spri,2038,1.216
p3,spri,2040,1.221
p3,spri,2042,1.222
p3,spri,2044,1.22
p3,spri,2046,1.216
p3,spri,2048,1.21
p3,spri,2050,1.202
p3,summ,2010,1
p3,summ,2012,0.998
p3,summ,2014,0.996
p3,summ,2016,0.997
p3,summ,2018,0.998
p3,summ,2020,1.002
p3,summ,2022,1.006
p3,summ,2024,1.015
p3,summ,2026,1.03
p3,summ,2028,1.049
p3,summ,2030,1.07
p3,summ,2032,1.093
p3,summ,2034,1.114
p3,summ,2036,1.134
p3,summ,2038,1.15
p3,summ,2040,1.161
p3,summ,2042,1.166
p3,summ,2044,1.168
p3,summ,2046,1.169
p3,summ,2048,1.168
p3,summ,2050,1.166
p3,wint,2010,1
p3,wint,2012,1.006
p3,wint,2014,1.013
p3,wint,2016,1.02
p3,wint,2018,1.027
p3,wint,2020,1.034
p3,wint,2022,1.04
p3,wint,2024,1.047
p3,wint,2026,1.055
p3,wint,2028,1.065
p3,wint,2030,1.075
p3,wint,2032,1.085
p3,wint,2034,1.095
p3,wint,2036,1.103
p3,wint,2038,1.109
p3,wint,2040,1.113
p3,wint,2042,1.115
p3,wint,2044,1.115
p3,wint,2046,1.113
p3,wint,2048,1.11
p3,wint,2050,1.107
p4,fall,2010,1
p4,fall,2012,1.004
p4,fall,2014,1.009
p4,fall,2016,1.013
p4,fall,2018,1.018
p4,fall,2020,1.022
p4,fall,2022,1.025
p4,fall,2024,1.03
p4,fall,2026,1.035
p4,fall,2028,1.041
p4,fall,2030,1.048
p4,fall,2032,1.055
p4,fall,2034,1.061
p4,fall,2036,1.066
p4,fall,2038,1.071
p4,fall,2040,1.073
p4,fall,2042,1.074
p4,fall,2044,1.074
p4,fall,2046,1.073
p4,fall,2048,1.071
p4,fall,2050,1.069
p4,spri,2010,1
p4,spri,2012,1.011
p4,spri,2014,1.023
p4,spri,2016,1.035
p4,spri,2018,1.046
p4,spri,2020,1.056
p4,spri,2022,1.065
p4,spri,2024,1.074
p4,spri,2026,1.084
p4,spri,2028,1.095
p4,spri,2030,1.106
p4,spri,2032,1.116
p4,spri,2034,1.126
p4,spri,2036,1.135
p4,spri,2038,1.142
p4,spri,2040,1.147
p4,spri,2042,1.151
p4,spri,2044,1.152
p4,spri,2046,1.153
p4,spri,2048,1.153
p4,spri,2050,1.151
p4,summ,2010,1
p4,summ,2012,0.998
p4,summ,2014,0.996
p4,summ,2016,0.994
p4,summ,2018,0.993
p4,summ,2020,0.993
p4,summ,2022,0.994
p4,summ,2024,0.997
p4,summ,2026,1.003
p4,summ,2028,1.009
p4,summ,2030,1.017
p4,summ,2032,1.026
p4,summ,2034,1.034
p4,summ,2036,1.042
p4,summ,2038,1.048
p4,summ,2040,1.052
p4,summ,2042,1.054
p4,summ,2044,1.055
p4,summ,2046,1.056
p4,summ,2048,1.056
p4,summ,2050,1.056
p4,wint,2010,1
p4,wint,2012,1.003
p4,wint,2014,1.007
p4,wint,2016,1.01
p4,wint,2018,1.013
p4,wint,2020,1.017
p4,wint,2022,1.02
p4,wint,2024,1.024
p4,wint,2026,1.029
p4,wint,2028,1.034
p4,wint,2030,1.039
p4,wint,2032,1.045
p4,wint,2034,1.05
p4,wint,2036,1.055
p4,wint,2038,1.059
p4,wint,2040,1.062
p4,wint,2042,1.064
p4,wint,2044,1.065
p4,wint,2046,1.066
p4,wint,2048,1.067
p4,wint,2050,1.067
p5,fall,2010,1
p5,fall,2012,1.003
p5,fall,2014,1.006
p5,fall,2016,1.01
p5,fall,2018,1.014
p5,fall,2020,1.017
p5,fall,2022,1.021
p5,fall,2024,1.025
p5,fall,2026,1.03
p5,fall,2028,1.037
p5,fall,2030,1.045
p5,fall,2032,1.052
p5,fall,2034,1.06
p5,fall,2036,1.066
p5,fall,2038,1.071
p5,fall,2040,1.073
p5,fall,2042,1.074
p5,fall,2044,1.073
p5,fall,2046,1.071
p5,fall,2048,1.069
p5,fall,2050,1.065
p5,spri,2010,1
p5,spri,2012,1.012
p5,spri,2014,1.025
p5,spri,2016,1.037
p5,spri,2018,1.049
p5,spri,2020,1.06
p5,spri,2022,1.07
p5,spri,2024,1.08
p5,spri,2026,1.091
p5,spri,2028,1.103
p5,spri,2030,1.115
p5,spri,2032,1.126
p5,spri,2034,1.137
p5,spri,2036,1.147
p5,spri,2038,1.154
p5,spri,2040,1.159
p5,spri,2042,1.162
p5,spri,2044,1.162
p5,spri,2046,1.161
p5,spri,2048,1.159
p5,spri,2050,1.156
p5,summ,2010,1
p5,summ,2012,0.997
p5,summ,2014,0.995
p5,summ,2016,0.994
p5,summ,2018,0.993
p5,summ,2020,0.994
p5,summ,2022,0.996
p5,summ,2024,1
p5,summ,2026,1.008
p5,summ,2028,1.018
p5,summ,2030,1.029
p5,summ,2032,1.042
p5,summ,2034,1.053
p5,summ,2036,1.064
p5,summ,2038,1.073
p5,summ,2040,1.079
p5,summ,2042,1.081
p5,summ,2044,1.083
p5,summ,2046,1.083
p5,summ,2048,1.083
p5,summ,2050,1.082
p5,wint,2010,1
p5,wint,2012,1.004
p5,wint,2014,1.009
p5,wint,2016,1.014
p5,wint,2018,1.018
p5,wint,2020,1.023
p5,wint,2022,1.027
p5,wint,2024,1.033
p5,wint,2026,1.039
p5,wint,2028,1.046
p5,wint,2030,1.054
p5,wint,2032,1.062
p5,wint,2034,1.069
p5,wint,2036,1.076
p5,wint,2038,1.081
p5,wint,2040,1.085
p5,wint,2042,1.087
p5,wint,2044,1.089
p5,wint,2046,1.089
p5,wint,2048,1.089
p5,wint,2050,1.088
p6,fall,2010,1
p6,fall,2012,1.006
p6,fall,2014,1.013
p6,fall,2016,1.02
p6,fall,2018,1.027
p6,fall,2020,1.033
p6,fall,2022,1.038
p6,fall,2024,1.045
p6,fall,2026,1.054
p6,fall,2028,1.066
p6,fall,2030,1.078
p6,fall,2032,1.091
p6,fall,2034,1.103
p6,fall,2036,1.114
p6,fall,2038,1.122
p6,fall,2040,1.126
p6,fall,2042,1.127
p6,fall,2044,1.125
p6,fall,2046,1.121
p6,fall,2048,1.116
p6,fall,2050,1.11
p6,spri,2010,1
p6,spri,2012,1.003
p6,spri,2014,1.006
p6,spri,2016,1.011
p6,spri,2018,1.015
p6,spri,2020,1.021
p6,spri,2022,1.026
p6,spri,2024,1.034
p6,spri,2026,1.045
p6,spri,2028,1.058
p6,spri,2030,1.073
p6,spri,2032,1.087
p6,spri,2034,1.101
p6,spri,2036,1.113
p6,spri,2038,1.122
p6,spri,2040,1.128
p6,spri,2042,1.129
p6,spri,2044,1.127
p6,spri,2046,1.124
p6,spri,2048,1.119
p6,spri,2050,1.113
p6,summ,2010,1
p6,summ,2012,1.001
p6,summ,2014,1.004
p6,summ,2016,1.009
p6,summ,2018,1.015
p6,summ,2020,1.022
p6,summ,2022,1.029
p6,summ,2024,1.04
p6,summ,2026,1.058
p6,summ,2028,1.081
p6,summ,2030,1.108
p6,summ,2032,1.135
p6,summ,2034,1.161
p6,summ,2036,1.185
p6,summ,2038,1.204
p6,summ,2040,1.216
p6,summ,2042,1.22
p6,summ,2044,1.221
p6,summ,2046,1.218
p6,summ,2048,1.214
p6,summ,2050,1.209
p6,wint,2010,1
p6,wint,2012,1.009
p6,wint,2014,1.019
p6,wint,2016,1.029
p6,wint,2018,1.038
p6,wint,2020,1.048
p6,wint,2022,1.056
p6,wint,2024,1.064
p6,wint,2026,1.074
p6,wint,2028,1.084
p6,wint,2030,1.094
p6,wint,2032,1.104
p6,wint,2034,1.113
p6,wint,2036,1.122
p6,wint,2038,1.128
p6,wint,2040,1.133
p6,wint,2042,1.136
p6,wint,2044,1.136
p6,wint,2046,1.135
p6,wint,2048,1.133
