,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,67.70,111.70,184.28,113.15,24.62,70.45,149.77,48.61,39.11,163.69,296.48,201.37,32.16,82.46,181.46,129.87
2,36.61,47.63,108.35,81.23,18.62,22.32,86.91,61.08,16.46,66.55,118.03,78.90,21.19,38.65,87.34,67.60
3,19.54,21.71,53.93,37.39,10.64,7.27,40.84,29.14,8.45,35.46,63.09,42.10,17.22,19.82,43.51,32.92
4,4.11,5.50,11.03,8.77,1.90,2.30,7.54,5.77,1.77,7.28,12.84,8.59,2.63,3.77,8.22,6.79
5,89.58,110.97,278.18,214.40,46.84,44.85,225.13,164.65,36.79,148.79,261.70,174.54,42.15,91.11,217.49,165.56
6,13.67,14.72,39.26,31.65,7.70,7.16,39.45,30.12,5.81,24.31,42.26,28.69,10.94,15.53,42.24,33.39
7,2.76,3.35,7.37,5.66,1.29,1.57,5.53,4.26,0.73,2.93,5.22,3.50,1.66,2.36,4.95,3.79
8,2.34,3.00,6.86,5.45,1.51,2.37,6.76,5.13,0.73,3.03,5.24,3.58,1.57,2.64,6.05,4.51
9,288.94,528.59,1031.25,746.80,200.48,489.15,1117.86,745.05,88.32,381.35,654.10,444.02,169.38,422.12,909.25,589.55
10,473.82,842.78,1541.90,1097.10,343.19,640.62,1357.81,918.26,115.14,560.81,864.66,543.95,281.23,635.46,1296.57,817.84
11,60.66,134.40,232.04,148.38,36.74,99.01,206.01,127.53,10.19,84.29,136.79,99.02,14.21,87.78,178.78,102.99
12,29.96,42.52,88.28,66.24,20.82,41.46,96.35,60.46,10.25,36.57,64.16,44.33,18.65,41.10,82.88,51.60
13,82.15,128.96,261.22,188.18,51.90,77.45,183.88,130.04,25.98,54.88,95.81,74.90,37.77,59.85,135.40,94.35
14,6.43,6.70,17.89,12.33,3.49,1.92,14.13,10.10,2.93,12.41,22.20,14.81,6.23,6.82,15.41,11.62
15,45.33,57.10,117.95,90.63,20.80,26.21,81.58,63.74,9.72,38.53,68.79,46.12,24.20,33.77,68.94,52.85
16,16.10,18.99,36.11,28.45,7.59,9.13,25.03,20.21,1.97,10.24,19.58,12.84,8.08,10.07,21.08,17.43
17,7.46,7.65,18.45,13.17,1.98,2.81,16.83,13.58,1.92,8.72,16.72,11.13,5.37,6.64,14.70,11.77
18,14.24,16.39,34.50,26.67,8.08,10.84,30.56,25.53,2.75,13.67,28.58,19.19,8.67,11.85,27.63,22.68
19,0.29,0.38,0.89,0.73,0.10,0.13,0.64,0.52,0.06,0.30,0.68,0.51,0.11,0.18,0.65,0.53
20,6.47,7.76,16.31,12.74,3.04,3.92,12.57,9.64,1.44,6.61,14.60,10.23,3.39,5.71,14.88,12.02
21,10.63,10.27,15.54,11.45,5.65,7.15,18.90,14.94,1.28,7.56,15.87,10.69,5.42,7.00,16.47,13.85
22,2.32,2.08,2.95,2.15,1.25,1.67,4.31,3.42,0.36,1.82,3.83,2.63,1.18,1.61,3.92,3.27
23,2.93,2.65,3.73,2.81,1.83,2.50,6.06,4.85,0.47,2.25,4.94,3.62,1.61,2.21,4.78,4.18
24,13.78,14.67,25.02,19.83,8.78,12.12,28.57,22.62,2.11,10.07,22.36,16.44,7.35,9.63,22.21,18.43
25,96.18,112.39,215.62,172.76,54.89,63.48,169.99,142.63,8.33,60.03,116.49,72.50,45.31,53.60,129.88,110.77
26,4.55,4.92,9.03,7.08,2.36,2.56,7.46,6.19,0.25,2.78,5.57,3.39,2.02,2.28,5.70,5.16
27,8.16,11.92,23.16,16.39,4.89,7.04,17.20,12.15,1.29,2.20,7.81,5.50,3.56,5.15,12.63,9.10
28,261.97,354.57,771.04,569.85,178.87,253.32,646.10,459.72,35.80,64.52,271.27,204.24,137.77,177.37,454.85,342.62
29,2.26,3.20,6.17,3.90,1.56,3.23,7.51,5.24,0.43,1.83,4.74,3.53,1.63,2.57,5.87,4.26
30,47.85,77.92,164.61,112.16,43.70,65.19,158.88,104.99,6.47,28.22,78.55,54.81,32.04,47.80,116.38,81.81
31,56.92,91.66,181.99,123.86,65.11,109.16,248.52,171.00,15.05,77.68,165.73,123.34,50.43,78.80,178.81,127.14
32,5.28,6.72,12.66,10.70,3.26,4.74,11.30,8.98,1.01,4.19,9.56,7.12,2.78,4.35,9.72,7.70
33,61.01,112.29,230.92,155.89,46.01,94.64,215.07,143.95,13.03,64.31,147.53,112.01,49.21,78.57,172.75,127.45
34,34.96,70.29,139.36,91.33,28.14,61.05,134.67,87.98,7.63,38.38,88.78,67.26,30.20,50.10,106.57,76.50
35,2.96,3.95,8.39,7.26,1.41,1.92,5.59,4.68,0.59,2.47,5.46,4.11,1.36,1.99,5.27,4.36
36,15.87,21.16,39.99,34.26,9.23,13.00,28.25,24.04,3.17,11.75,25.66,19.55,8.79,11.69,24.12,20.28
37,21.15,28.02,48.24,39.35,12.72,20.07,41.78,34.02,5.47,17.18,37.57,29.21,14.55,18.50,34.05,28.23
38,46.00,58.51,100.25,85.90,23.88,33.39,68.31,56.96,7.03,22.35,49.96,38.38,24.78,29.52,55.85,47.84
39,4.63,6.39,12.55,9.89,3.79,6.44,13.91,10.46,1.21,5.06,11.74,8.70,2.93,4.43,10.67,7.21
40,52.31,61.80,101.81,90.63,25.25,34.28,70.24,59.89,6.52,20.45,45.16,35.78,25.96,29.24,58.49,50.70
41,55.68,72.25,133.17,115.64,29.52,43.87,92.10,77.20,7.17,21.36,47.22,38.56,32.04,37.51,76.38,66.54
42,9.63,13.05,20.81,16.03,5.87,9.77,18.70,14.70,2.57,7.55,16.65,13.17,6.88,8.61,15.82,13.08
43,279.92,363.81,649.66,554.25,152.73,238.35,432.00,329.28,41.71,122.26,271.92,224.57,136.26,165.52,334.37,287.09
44,10.83,14.13,25.94,21.96,5.47,7.90,15.95,12.76,1.59,4.92,11.08,8.70,5.56,6.63,12.86,11.08
45,29.29,39.70,72.35,60.76,15.27,23.20,46.02,37.39,3.97,12.19,26.81,21.30,16.16,19.08,36.46,31.80
46,29.05,42.68,69.63,56.64,18.60,30.36,54.27,45.90,5.11,15.24,33.20,27.84,15.11,20.26,37.79,32.84
47,14.88,21.52,41.94,31.40,13.21,18.28,45.21,31.23,2.67,15.33,30.09,21.98,11.74,15.96,36.68,26.24
48,82.93,117.26,223.35,174.40,65.14,85.65,216.85,157.61,10.26,65.98,137.86,102.16,61.25,79.91,184.83,136.20
49,3.54,4.82,9.00,7.09,2.53,3.50,8.54,6.32,0.47,2.25,5.09,3.79,2.46,3.13,7.11,5.34
50,245.91,320.97,564.12,437.65,162.58,228.36,543.26,407.40,38.57,148.84,282.31,228.37,149.87,183.78,439.91,343.18
51,43.45,61.02,106.83,80.62,27.73,40.51,94.43,69.78,8.34,22.52,44.50,35.84,26.00,32.53,78.64,61.12
52,8.64,12.46,22.48,17.91,5.56,8.94,20.12,14.80,1.17,4.85,12.04,9.14,5.59,7.47,16.09,12.20
53,182.05,252.90,451.96,369.20,111.64,176.54,399.55,305.07,29.61,83.31,185.36,150.80,108.69,138.47,306.17,246.89
54,137.57,193.29,357.84,296.59,80.77,129.19,287.78,226.34,20.26,54.77,120.37,99.41,78.76,101.23,222.42,182.17
55,36.44,52.97,98.06,77.20,23.64,37.69,85.21,64.63,5.68,15.47,33.59,27.97,22.46,29.25,67.00,52.92
56,34.96,48.50,87.00,66.51,22.20,32.37,77.65,56.34,5.29,14.75,32.13,25.19,21.72,26.44,65.01,50.41
57,40.71,52.18,86.07,66.18,26.05,35.40,85.45,59.95,7.63,24.78,48.74,35.99,26.81,30.22,78.38,59.67
58,259.33,335.17,612.95,484.13,200.52,244.21,541.92,386.67,103.33,212.21,373.38,281.59,215.05,235.94,577.04,425.69
59,15.23,22.86,49.27,30.62,19.76,32.29,74.48,43.67,7.44,31.54,54.78,38.51,14.91,22.86,51.04,32.90
60,12.38,18.04,35.16,27.53,10.96,13.67,36.14,25.73,1.47,12.69,24.27,18.09,9.76,13.06,31.34,22.70
61,25.41,39.38,78.31,59.86,24.37,29.08,79.25,55.22,3.02,30.63,56.43,41.58,21.40,29.49,70.74,50.09
62,20.48,31.81,63.44,48.56,19.98,23.58,64.81,45.23,2.05,25.14,46.42,34.17,17.51,24.09,57.84,41.00
63,568.43,834.54,1611.49,1237.38,369.44,520.50,1289.02,912.78,151.96,400.18,760.45,583.22,326.29,454.51,1116.80,806.48
64,158.25,234.73,459.10,349.55,116.56,163.18,379.79,259.89,75.23,147.73,245.22,185.94,110.16,155.88,361.28,246.11
65,251.94,375.12,737.29,558.49,188.44,262.68,619.36,426.39,125.97,244.60,395.58,303.36,173.74,247.57,578.45,393.45
66,67.64,93.73,158.76,119.45,47.96,65.29,137.83,90.22,24.30,53.65,102.22,72.10,56.78,70.59,161.87,112.79
67,287.76,414.13,839.70,658.97,225.60,315.33,669.63,438.41,153.40,286.09,484.15,350.09,239.80,331.15,716.80,473.64
68,10.39,15.10,30.19,25.34,5.27,9.79,17.30,12.02,1.70,4.93,10.93,8.99,5.61,7.01,14.25,12.32
69,22.14,31.81,57.68,47.74,12.63,21.71,40.94,32.62,3.32,9.64,21.37,17.12,12.76,16.01,32.04,27.42
70,130.76,189.60,332.80,272.49,82.53,138.20,266.56,217.58,20.37,58.34,128.02,104.13,82.60,102.79,205.91,174.28
71,10.21,14.28,25.39,20.67,6.82,10.61,21.37,17.63,1.42,4.08,8.73,7.29,6.28,8.03,16.77,14.02
72,228.39,317.25,561.63,439.96,165.33,243.02,494.56,393.43,32.99,95.55,196.23,171.93,140.61,175.21,376.42,305.47
73,14.76,20.30,36.32,28.21,10.40,15.22,31.39,24.74,2.01,5.93,12.46,10.82,9.15,11.25,24.38,19.80
74,33.77,52.36,80.01,69.86,18.64,33.46,64.26,53.79,8.88,26.03,57.25,45.39,19.01,21.75,33.82,27.50
75,80.05,117.90,180.59,147.23,51.57,81.41,148.64,125.36,14.55,42.74,93.91,75.38,39.00,49.11,88.49,72.84
