"","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17"
"p1",0.007,0.33,0.436,0.072,0,0.226,0.279,0.01,0,0.101,0.132,0.001,0.003,0.267,0.338,0.036,0.448
"p10",0.002,0.426,0.498,0.033,0,0.38,0.375,0.004,0,0.283,0.275,0.001,0.001,0.406,0.458,0.019,0.477
"p100",0.002,0.378,0.32,0.026,0,0.301,0.204,0.005,0,0.217,0.155,0.001,0.001,0.366,0.29,0.017,0.286
"p101",0,0.355,0.352,0.029,0,0.329,0.319,0.011,0,0.286,0.324,0.008,0,0.386,0.422,0.03,0.253
"p102",0,0.361,0.353,0.026,0,0.33,0.302,0.008,0,0.291,0.31,0.006,0,0.393,0.409,0.024,0.276
"p103",0.001,0.315,0.44,0.069,0,0.237,0.312,0.018,0,0.139,0.217,0.006,0,0.294,0.408,0.048,0.443
"p104",0.001,0.284,0.494,0.09,0,0.213,0.385,0.031,0,0.11,0.252,0.012,0,0.249,0.451,0.068,0.508
"p105",0.001,0.332,0.443,0.061,0,0.263,0.33,0.017,0,0.154,0.233,0.006,0,0.299,0.396,0.042,0.4
"p106",0,0.334,0.448,0.059,0,0.281,0.352,0.018,0,0.166,0.258,0.006,0,0.301,0.405,0.04,0.383
"p107",0.002,0.369,0.412,0.04,0,0.314,0.315,0.009,0,0.191,0.222,0.003,0.001,0.327,0.366,0.026,0.375
"p108",0.004,0.41,0.353,0.02,0,0.353,0.248,0.001,0,0.226,0.182,0,0.002,0.374,0.322,0.01,0.326
"p109",0,0.326,0.415,0.05,0,0.282,0.341,0.013,0,0.191,0.265,0.005,0,0.301,0.376,0.035,0.393
"p11",0.002,0.461,0.471,0.02,0,0.431,0.357,0.002,0,0.32,0.266,0,0.001,0.448,0.44,0.011,0.473
"p110",0.001,0.288,0.433,0.066,0,0.238,0.368,0.019,0,0.156,0.28,0.007,0,0.261,0.391,0.046,0.433
"p111",0.001,0.332,0.421,0.05,0,0.272,0.313,0.011,0,0.166,0.218,0.003,0,0.31,0.384,0.033,0.394
"p112",0.001,0.341,0.392,0.047,0,0.283,0.299,0.012,0,0.17,0.209,0.004,0,0.312,0.349,0.032,0.373
"p113",0.001,0.313,0.442,0.065,0,0.261,0.35,0.018,0,0.163,0.249,0.006,0,0.284,0.381,0.043,0.41
"p114",0.001,0.318,0.418,0.064,0,0.253,0.311,0.019,0,0.15,0.211,0.007,0,0.284,0.358,0.045,0.384
"p115",0.001,0.337,0.384,0.041,0,0.278,0.288,0.008,0,0.179,0.212,0.002,0,0.314,0.346,0.027,0.358
"p116",0.001,0.334,0.385,0.045,0,0.288,0.3,0.011,0,0.189,0.233,0.003,0.001,0.309,0.342,0.03,0.359
"p117",0,0.336,0.392,0.042,0,0.29,0.309,0.011,0,0.198,0.248,0.003,0,0.312,0.35,0.029,0.382
"p118",0.001,0.338,0.387,0.044,0,0.294,0.329,0.012,0,0.233,0.295,0.005,0.001,0.329,0.377,0.033,0.364
"p119",0.002,0.355,0.387,0.035,0,0.279,0.282,0.005,0,0.195,0.217,0.001,0.001,0.335,0.356,0.022,0.348
"p12",0.006,0.516,0.453,0.029,0.001,0.445,0.335,0.003,0,0.28,0.226,0,0.003,0.473,0.408,0.016,0.366
"p120",0.002,0.375,0.327,0.025,0,0.315,0.24,0.005,0,0.239,0.196,0.001,0.001,0.362,0.316,0.017,0.261
"p121",0.002,0.329,0.409,0.046,0,0.272,0.306,0.009,0,0.193,0.255,0.003,0.001,0.308,0.378,0.032,0.341
"p122",0.003,0.376,0.341,0.03,0,0.303,0.243,0.005,0,0.218,0.192,0.001,0.001,0.355,0.318,0.02,0.312
"p123",0.002,0.364,0.382,0.036,0,0.301,0.293,0.006,0,0.225,0.247,0.002,0.001,0.341,0.368,0.025,0.374
