,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100
p1,0.016797146,10.33332393,23.15,55.26,55.263,55.286,55.286,55.286,55.286,55.463,56.192,57.05,58.841,67.164,85.278,107.827,122.595,130.487,136.667,145.221,153.9,158.763,160.781,161.408,161.573,161.614,161.624,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627,161.627
p10,534.6252872,865.8653054,1755.059,3363.121,3618.49,3955.372,4194.064,4364.438,4537.561,4745.9,4989.677,5185.463,5344.517,5491.124,5612.698,5720.361,5787.092,5849.929,5904.146,5957.186,6009.758,6041.605,6060.705,6072.099,6078.879,6082.911,6085.311,6086.74,6087.592,6088.102,6088.406,6088.589,6088.699,6088.765,6088.805,6088.829,6088.843,6088.852,6088.857,6088.861,6088.863,6088.864,6088.865,6088.865,6088.865,6088.865
p100,0,0,0.77,2.136,2.536,3.404,3.754,3.767,4.499,6.209,8.894,12.023,15.496,19.2,22.995,26.613,29.371,31.78,33.981,36.296,37.914,38.668,39.014,39.172,39.245,39.278,39.293,39.3,39.303,39.305,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306,39.306
p101,8.377123095,26.91038637,59.875,107.61,159.861,305.108,545.436,866.661,1347.625,1946.122,2623.67,3244.649,3775.568,4256.944,4691.165,5101.437,5373.363,5633.703,5911.959,6250.253,6514.384,6655.37,6735.122,6783.981,6815.736,6836.964,6851.433,6861.488,6868.584,6873.639,6877.258,6879.854,6881.717,6883.054,6884.013,6884.7,6885.192,6885.544,6885.796,6885.977,6886.106,6886.198,6886.265,6886.312,6886.346,6886.37
p102,5.087078563,14.23755315,26.788,44.104,50.745,87.384,131.694,195.606,319.777,544.069,838.826,1133.552,1421.453,1716.454,1999.25,2254.353,2419.15,2554.623,2689.538,2839.025,2948.729,3000.261,3024.977,3037.585,3044.611,3048.908,3051.743,3053.71,3055.114,3056.129,3056.866,3057.4,3057.787,3058.067,3058.269,3058.414,3058.518,3058.593,3058.647,3058.685,3058.713,3058.732,3058.746,3058.756,3058.764,3058.769
p103,0,0,12.49,24.789,29.015,37.445,50.602,68.92,95.942,132.349,179.516,233.544,294.446,363.525,438.655,514.178,579.676,644.382,706.317,778.751,849.745,899.481,932.137,952.832,966.205,975,980.585,983.897,985.743,986.728,987.239,987.5,987.632,987.698,987.73,987.747,987.755,987.759,987.761,987.762,987.762,987.763,987.763,987.763,987.763,987.763
p104,0,0,0.929,1.673,2.149,3.09,4.592,6.662,9.457,13,17.125,21.519,26.257,31.622,37.687,44.358,50.625,57.021,62.89,69.516,75.871,79.995,82.452,83.813,84.523,84.882,85.061,85.15,85.195,85.217,85.227,85.233,85.236,85.237,85.238,85.238,85.238,85.238,85.238,85.238,85.238,85.238,85.238,85.238,85.238,85.238
p105,0,0,3.514,8.727,11.259,16.933,25.049,27.806,33.635,45.033,64.759,92.345,126.603,165.506,206.65,248.742,288.729,333.316,379.025,431.246,480.797,514.019,535.748,550.035,559.349,565.306,569.079,571.46,572.938,573.805,574.272,574.505,574.615,574.666,574.689,574.699,574.704,574.706,574.707,574.708,574.708,574.708,574.708,574.708,574.708,574.708
p106,0,0,0.146,0.358,0.631,1.449,2.606,3.248,4.78,7.903,13.537,21.118,30.145,40.683,52.981,65.764,78.262,92.632,108.227,126.97,144.865,157.204,165.234,170.395,173.611,175.481,176.484,176.985,177.224,177.336,177.387,177.411,177.421,177.426,177.429,177.43,177.43,177.43,177.43,177.43,177.431,177.431,177.431,177.431,177.431,177.431
p107,0,0,2.599,8.044,14.238,26.232,43.2,49.432,57.277,66.872,78.36,91.242,105.324,120.31,136.639,154.424,173.678,197.543,223.873,254.721,285.145,307.68,324.276,336.273,344.631,350.272,353.957,356.284,357.722,358.574,359.039,359.273,359.384,359.435,359.459,359.469,359.474,359.476,359.477,359.477,359.478,359.478,359.478,359.478,359.478,359.478
p108,0,0,1.742,2.247,2.409,2.705,2.946,3.23,3.758,4.61,5.997,7.98,10.658,14.185,18.556,23.765,29.427,35.248,41.121,47.145,53.05,58.314,62.91,66.856,70.198,72.998,75.326,77.253,78.843,80.15,81.221,82.092,82.799,83.37,83.831,84.205,84.508,84.753,84.953,85.116,85.248,85.356,85.443,85.514,85.572,85.619
p109,0,0,0.839,1.088,1.462,2.247,2.608,2.938,3.643,5.01,7.374,10.843,15.727,22.527,31.862,44.481,60.588,80.504,104.62,133.851,167.128,201.654,235.723,267.789,296.761,322.106,343.768,361.986,377.124,389.562,399.647,407.699,414.022,418.916,422.668,425.532,427.721,429.401,430.699,431.71,432.502,433.127,433.622,434.017,434.332,434.585
p11,107.3777754,132.949176,217.187,442.98,495.051,565.977,624.862,669.548,713.485,751.755,791.546,819.895,840.12,861.72,881.236,897.783,907.044,915.2,923.829,935.896,947.124,954.082,958.34,960.926,962.491,963.435,964.006,964.35,964.558,964.684,964.76,964.806,964.834,964.851,964.861,964.867,964.871,964.874,964.875,964.876,964.877,964.877,964.877,964.877,964.877,964.877
p110,0,0,0.618,0.814,1.032,1.412,1.75,2.161,2.867,4.001,5.741,8.196,11.502,15.838,21.172,27.47,34.188,40.952,47.582,54.035,60.053,65.053,69.118,72.4,75.069,77.281,79.152,80.764,82.163,83.373,84.404,85.265,85.971,86.543,87.001,87.368,87.662,87.897,88.086,88.237,88.36,88.458,88.538,88.603,88.655,88.697
p111,0.030012846,18.41141759,24.86,30.988,31.569,32.815,34.178,35.646,38.888,45.067,56.254,73.71,98.379,130.494,168.894,210.695,252.184,294.859,338.102,384.658,431.012,469.161,499.108,521.978,539.268,552.366,562.425,570.286,576.415,581.032,584.327,586.567,588.042,589.004,589.635,590.055,590.34,590.537,590.676,590.775,590.848,590.901,590.941,590.97,590.993,591.009
