,CCGT-GAS,COGENERATION-BAGASSE,CT-GAS,DIESEL,HYDRO-PONDAGE,HYDRO-PUMPED,HYDRO-ROR,HYDRO-STORAGE,NUCLEAR,SUBCRITICAL-COAL,SUBCRITICAL-LIGNITE,SUBCRITICAL-OIL,SUPERCRITICAL-COAL,WHR,UPV,DISTPV,WIND,BATTERY_1,BATTERY_2,BATTERY_4,BATTERY_6,BATTERY_8,BATTERY_10
WIND_BIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HYDRO,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
