,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,21.42,50.796,77.377,86.974,89.716,92.047,101.861,124.015,173.977,223.836,247.618,272.148,287.844,304.663,315.896,351.932,364.45,368.649,370.283
p10,534.6252872,865.8653054,1726.858,3295.504,4882.768,5679.787,5758.775,5827.605,5927.033,6075.279,6242.089,6385.761,6500.572,6615.203,6721.566,6820.34,6909.871,7006.154,7093.739,7120.407,7153.659
p100,0,0,0.583,1.612,3.816,6.053,8.577,12.045,17.556,25.049,34.314,42.592,49.058,54.424,58.906,63.771,66.619,70.338,73.228,75.662,78.308
p101,8.377123095,26.91038637,61.117,109.608,230.092,476.253,855.486,1389.781,2146.516,3143.856,4349.866,5501.462,6484.077,6638.84,6791.436,6970.495,7110.778,7278.97,7453.317,7600.526,7747.465
p102,5.087078563,14.23755315,25.81,42.402,95.216,212.083,366.286,577.409,895.003,1340.948,1903.529,2460.488,2944.979,3023.15,3102.191,3188.236,3252.086,3332.515,3424.433,3509.821,3585.515
p103,0,0,13.223,26.305,46.438,59.991,79.627,114.53,182.556,302.893,490.543,720.189,958.489,1180.902,1362.563,1529.729,1641.057,1735.629,1820.951,1899.154,1998.029
p104,0,0,1.129,2.371,4.094,4.863,6.153,8.466,12.818,20.243,32.439,48.248,65.069,81.596,95.97,109.037,118.108,124.821,130.008,133.143,137.274
p105,0,0,3.585,9.901,44.605,79.041,128.895,146.035,174.947,219.455,281.797,355.568,433.866,514.799,591.561,672.44,734.827,794.312,848.393,897.464,955.721
p106,0,0,1.196,3.013,14.201,25.622,38.218,40.406,44.409,51.447,62.078,76.295,94.459,120.646,148.461,173.212,195.903,219.597,242.277,262.071,285.321
p107,0,0,1.478,4.215,19.031,38.943,67.614,76.443,91.16,113.862,146.743,187.466,234.266,290.445,347.158,405.823,452.795,495.858,532.293,563.057,601.828
p108,0,0,0.132,0.615,5.322,6.508,7.884,9.729,12.534,16.629,22.415,29.98,39.449,50.815,64.171,79.439,95.157,111.051,126.784,141.461,156.649
p109,0,0,0.113,0.35,4.605,5.617,6.325,7.261,8.955,11.98,17.013,24.262,34.552,48.975,68.926,96.377,131.209,174.865,227.224,286.435,353.23
p11,107.3777754,132.949176,215.033,439.126,684.316,832.45,841.48,848.089,860.334,877.877,894.235,908.461,919.511,929.993,939.658,948.222,954.011,960.566,966.424,972.009,977.163
p110,0,0,0.106,0.395,2.773,3.565,4.475,5.68,7.535,10.318,14.397,19.912,27.109,36.115,46.855,59.381,72.319,85.605,98.294,109.941,120.925
p111,0.030012846,18.41141759,24.561,30.581,43.716,52.876,68.374,94.227,136.867,205.626,312.871,466.037,667.378,908.139,1174.297,1458.572,1714.378,1734.39,1752.662,1768.134,1784.117
p112,0,15.96889695,36.29,44.184,60.869,67.453,77.202,92.326,116.459,154.216,211.364,290.692,393.101,515.791,651.64,798.03,932.096,950.356,968.449,986.639,1008.008
p113,0.00074308,3.858751976,6.417,8,11.725,14.525,19.158,27.003,40.292,62.024,96.271,145.828,211.549,290.525,376.649,465.664,542.65,546.264,549.643,552.258,556.195
p114,0,5.660933492,10.781,13.211,18.918,22.82,29.425,40.467,58.811,88.27,134.191,199.747,286.069,390.332,504.513,624.784,731.562,740.905,749.63,757.593,766.818
p115,0.438228156,35.5977707,68.249,93.622,127.542,187.627,242.768,305.023,388.655,499.041,633.596,767.907,907.211,1046.527,1175.357,1183.766,1189.82,1196.093,1201.321,1205.305,1210.287
p116,0,0,21.694,35.66,49.612,50.39,51.046,51.919,53.487,56.109,60.302,66.197,74.458,85.884,101.198,120.92,143.598,168.749,194.295,218.687,241.359
p117,0,0,3.536,5.007,6.174,6.19,6.204,6.22,6.248,6.361,6.666,7.181,8.012,9.363,11.497,14.842,19.769,26.895,36.485,48.747,63.53
p118,0,0,1.368,3.424,7.577,9.448,11.522,14.522,19.509,27.23,37.987,50.407,65.691,85.613,110.034,138.012,160.47,180.37,194.76,205.571,216.53
p119,0.123533323,4.106571736,9.501,10.625,12.116,13.058,14.13,16.34,20.328,26.621,35.656,46.32,57.912,69.916,81.847,83.561,84.844,86.121,87.147,87.9,88.299
p12,0.408189973,14.22757422,18.244,61.294,88.9,90.292,90.445,90.57,91.189,92.394,93.645,95.833,97.399,99.908,102.952,106.851,108.998,115.403,122.315,123.373,134.105
p120,0.304902382,2.880211639,7.691,8.658,9.956,10.553,11.686,13.67,17.128,22.297,29.045,35.994,43.039,50.046,56.471,57.408,58.003,58.522,59.006,59.483,59.835
p121,0,8.308360209,28.625,80.578,118.993,131.137,134.312,136.405,142.496,155.583,178.014,198.525,199.357,201.03,203.708,208.609,211.91,215.251,218.018,219.983,221.444
p122,2.438565672,132.0154459,137.785,166.869,245.816,376.889,544.937,742.757,990.54,1286.903,1625.656,1925.63,2216.955,2546.729,2942.606,3008.201,3064.576,3113.894,3153.539,3180.746,3196.933
p123,0.002115553,75.49163979,173.037,555.637,829.59,945.685,1002.012,1040.969,1109.903,1216.878,1375.151,1519.87,1539.154,1566.773,1600.882,1646.269,1681.741,1716.856,1749.866,1774.259,1790.234
p124,0,0,0.058,0.14,0.288,0.39,0.495,0.615,0.796,1.097,1.643,2.405,3.41,4.725,6.256,7.949,9.333,9.568,10.844,10.849,11.659
p125,0.947636682,17.6,27.561,62.168,92.367,110.3,125.388,139.42,157.204,180.903,208.632,230.004,248.215,269.774,293.559,323.895,328.281,333.596,338.655,342.625,344.438
p126,4.57672123,816.9,1210.57,1625.246,2169.931,2496.377,2729.859,2901.765,3099.058,3340.041,3665.918,3972.01,4256.14,4271.213,4294.247,4326.446,4776.68,4787.26,4798.751,4808.284,4812.46
p127,3.257673856,107.8581726,274.754,658.145,1161.217,1339.498,1364.995,1389.826,1426.57,1477.871,1546.012,1602.723,1651.722,1712.414,1778.687,1847.331,1930.551,1990.98,2042.349,2070.923,2098.99
p128,7.216393541,16.04182742,59.946,192.541,338.449,483.562,527.882,571.647,622.365,677.595,749.25,805.016,852.442,921.924,991.499,1057.768,1129.472,1180.749,1218.201,1238.553,1253.988
p129,0.188722468,8.9,26.012,101.072,137.683,151.156,160.442,168.951,181.901,199.261,221.75,245.453,269.935,275.574,281.988,288.885,295.73,302.832,308.488,313.941,320.596
p13,0.543822861,29.67242578,64.954,195.025,274.59,288.645,292.1,294.344,297.731,301.118,305.006,314.547,319.082,326.933,335.169,345.875,350.149,361.106,375.626,376.085,402.754
p130,0,0,5.181,52.207,85.544,101.416,103.417,105.033,107.287,110.378,114.635,118.509,121.364,124.595,128.83,133.642,138.564,143.058,145.399,149.145,156.173
p131,2.936474285,178.4,681.585,1491.897,2384.945,2641.55,2837.686,2877.616,2921.205,2976.359,3040.448,3100.779,3158.981,3222.665,3291.362,3354.019,3406.156,3455.105,3494.404,3526.501,3555.921
p132,1.362208484,36.6,115.181,309.188,515.555,617.737,713.916,745.493,783.886,831.723,890.141,942.879,986.098,1027.403,1075.25,1123.214,1162.741,1198.278,1224.526,1244.728,1259.89
p133,0,0,0.082,10.291,94.754,111.464,132.645,146.494,158.769,169.635,180.51,187.175,193.304,201.884,213.318,225.73,234.514,243.443,247.699,250.122,253.579
p134,1.440997601,5.640375641,25.23,40.666,55.786,68.695,82.892,99.456,120.711,147.644,181.449,220.617,265.001,315.003,370.838,389.353,407.317,424.493,438.918,451.484,464.95
p14,0,0,0.165,0.694,3.422,8.317,14.631,22.557,26.603,31.783,36.792,41.504,45.41,48.64,52.02,54.653,56.319,58.375,60.016,61.66,65.633
p15,0,0,0.428,3.316,15.644,33.89,56.53,80.085,91.104,104.532,117.154,128.96,137.472,145.161,152.488,160.244,163.533,168.822,173.39,177.012,182.549
p16,0,0,0.202,2.098,11.038,18.26,26.997,38.418,42.788,48.85,55.028,61.019,65.228,69.19,73.415,77.171,79.243,81.521,83.628,85.534,87.513
p17,0,0,0.33,1.707,3.528,4.106,4.607,5.03,5.91,7.457,9.836,12.951,16.498,20.248,24.074,27.847,30.856,33.608,35.936,37.866,40.095
p18,0,0,0.286,1.614,3.47,4.035,4.599,5.262,6.384,8.041,10.134,12.602,15.055,17.334,19.485,21.503,23.036,24.468,25.789,27.047,28.792
p19,0,0,0.012,0.069,0.148,0.179,0.212,0.251,0.318,0.411,0.526,0.656,0.79,0.902,1.017,1.118,1.188,1.244,1.315,1.364,1.431
p2,4.25E-05,3.598774958,9.799,22.575,35.716,39.065,40.142,41.005,45.904,59.282,93.668,129.171,149.925,165.295,175.261,183.473,185.828,197.412,200.392,202.404,202.542
p20,0,0,0.178,1.017,2.257,2.724,3.343,4.218,5.565,7.491,9.911,12.743,15.461,17.867,19.989,21.678,22.801,23.595,24.427,25.207,25.819
p21,0,0,0.094,0.245,0.924,1.497,2.124,2.893,3.93,5.264,6.851,8.89,11.26,14.028,17.332,21.304,25.797,31.078,33.504,36.194,39.292
p22,0,0,0.002,0.004,0.048,0.104,0.188,0.306,0.477,0.676,0.893,1.172,1.49,1.92,2.431,3.061,3.648,4.425,4.942,5.539,6.273
p23,0,0,0.022,0.071,0.247,0.458,0.774,1.215,1.806,2.468,3.18,4.143,5.175,6.413,7.707,9.218,10.627,12.547,13.867,15.56,17.963
p24,0,0,0.235,0.766,1.98,3.165,4.866,7.033,9.763,12.735,15.932,19.862,24.002,28.767,34.113,40.498,47.382,56.002,60.412,65.389,71.101
p25,0,0,16.562,156.449,295.04,372.064,387.472,390.189,392.156,396.12,400.658,411.596,423.198,434.934,447.977,459.119,465.246,472.933,481.53,491.05,509.658
p26,0,0,1.029,9.064,17.921,23.197,24.219,24.307,24.384,24.535,24.814,25.259,25.744,26.216,26.887,27.562,27.96,28.372,28.755,29.254,30.243
p27,0.432030983,12.67567255,20.445,33.98,51.058,55.413,56.486,57.072,59.082,62.653,67.042,72.184,77.04,82.082,87.24,92.724,93.984,98.85,103.17,106.916,111.279
p28,7.941410686,257.0910799,476.459,735.987,1058.484,1178.349,1269.187,1354.396,1470.254,1594.02,1719.489,1845.377,1948.284,2044.788,2131.193,2207.525,2225.753,2285.805,2336.945,2378.825,2423.624
p29,0.033362992,3.953283745,4.661,7.208,10.104,10.737,11.23,11.629,12.107,12.645,13.332,14.134,14.849,15.574,16.222,16.803,16.994,17.452,17.813,18.143,18.482
p3,0.075701514,1.7785297,5.925,14.388,29.834,37.298,39.869,41.501,46.957,55.121,74.747,94.486,103.247,112.44,117.574,121.743,122.542,130.716,132.931,133.276,133.378
p30,2.435539638,48.87996376,104.118,191.018,302.476,342.471,359.988,373.711,401.522,443.597,487.982,532.9,568.386,601.433,630.732,657.752,663.189,683.554,701.168,716.736,733.48
p31,0.65127812,21.37159267,44.39,71.826,110.794,183.585,263.565,350.714,462.792,586.593,619.388,657.479,687.978,721.687,752.493,781.227,797.006,815.008,832.801,853.987,881.088
p32,0,0,5.436,10.305,15.475,16.884,18.106,19.285,20.993,23.069,25.63,28.26,30.502,32.903,35.47,38.543,40.752,43.302,45.83,48.414,51.513
p33,2.526042441,132.7315941,199.643,269.22,382.333,447.814,514.332,586.81,677.788,789.161,927.886,1077.211,1221.365,1365.232,1492.569,1617.838,1721.37,1830.097,1921.824,1983.759,2057.577
p34,0.857821277,34.1684059,92.677,126.839,186.613,219.016,250.378,283.277,323.993,371.418,429.542,490.842,547.128,601.664,649.083,694.315,731.249,770.01,802.542,826.731,856.344
p35,0,0,0.089,0.525,1.172,1.371,1.633,1.955,2.468,3.217,4.191,5.236,6.279,7.204,7.936,8.839,9.556,10.204,10.492,11.049,11.474
p36,0,0,7.881,11.182,13.84,13.911,14.009,14.174,14.497,15.045,15.933,17.257,19.252,22.134,26.188,31.962,38.676,46.198,52.79,59.662,65.987
p37,0,0,17.349,29.484,41.946,42.544,43.014,43.563,44.708,46.388,48.338,50.68,53.419,56.536,59.979,64.874,70.203,76.61,83.117,90.76,98.262
