,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,23.194,58.983,97.433,101.728,110.874,112.707,153.046,189.58,312.368,454.093,558.377,643.23,706.522,756.507,803.132,846.585,901.796,976.167,1061.994
p10,534.6252872,865.8653054,1206.821,2444.265,3694.273,5004.288,5557.569,5981.152,6741.938,8196.754,10400.419,11958.112,12991.177,13680.309,14197.87,14622.42,15003.759,15358.753,15730.785,16100.49,16486.017
p100,0,0,0.247,0.808,2.066,4.554,10.434,17.897,33.035,43.341,65.352,89.452,112.488,132.675,142.577,150.312,156.599,162.441,168.384,175.457,182.242
p101,8.377123095,26.91038637,40.477,81.273,219.095,424.782,753.245,1128.572,1821.962,2963.537,4903.487,7241.284,8293.378,9296.054,10182.799,10987.128,11704.138,12356.758,12966.334,13581.062,14225.297
p102,5.087078563,14.23755315,15.27,25.528,61.097,106.476,201.351,283.753,512.834,899.329,1578.801,2459.417,2836.795,3222.082,3580.722,3905.878,4198.593,4463.876,4708.974,4945.596,5176.504
p103,0,0,10.037,18.933,35.672,35.672,35.672,35.672,35.673,36.185,47.571,78.091,134.331,207.148,307.476,429.259,596.12,847.999,1198.095,1681.108,2306.313
p104,0,0,0.661,1.272,2.37,2.37,2.37,2.37,2.37,2.398,2.453,2.548,3.578,4.739,9.076,13.968,24.874,40.647,63.146,94.549,135.841
p105,0,0,3.242,9.143,41.362,49.174,60.811,63.724,73.28,97.232,153.846,224.301,311.075,413.969,535.275,674.681,773.324,888.791,1024.732,1184.388,1372.567
p106,0,0,0.15,0.543,2.002,2.851,4.58,4.714,5.598,8.247,16.323,27.208,41.671,60.144,83.792,113.205,131.989,156.17,187.189,227.071,277.227
p107,0,0,0.318,1.178,4.671,7.161,11.136,11.772,14.357,21.235,37.859,60.072,89.306,126.288,173.041,230.8,271.103,322.106,386.285,466.835,566.258
p108,0,0,0.079,0.404,1.481,1.481,1.481,1.481,1.488,1.528,4.106,8.144,14.492,22.923,34.358,47.111,62.189,79.43,96.887,116.994,143.197
p109,0,0,0.14,0.49,4.77,4.77,4.77,4.77,4.77,4.795,8.84,14.796,24.09,35.937,53.569,75.246,104.323,146.374,204.902,290.765,371.72
p11,107.3777754,132.949176,217.359,445.054,658.073,860.365,935.579,994.431,1131.161,1388.25,1778.069,2043.309,2223.487,2340.602,2425.426,2501.609,2554.441,2620.46,2669.275,2741.822,2802.914
p110,0,0,0.086,0.363,1.898,1.898,1.898,1.898,1.898,1.921,1.992,3.581,7.556,13.217,21.713,32.59,46.239,61.379,77.147,93.889,123.709
p111,0.030012846,18.41141759,18.48,23.723,34.629,35.969,44.142,54.183,73.59,109.593,169.413,247.29,341.04,462.486,618.891,822.628,1085.604,1419.049,1828.971,2308.07,2490.342
p112,0,15.96889695,13.262,17.203,26.415,30.046,36.502,45.139,62.414,89.952,134.592,196.042,276.354,377.426,501.712,654.773,844.756,1076.781,1352.506,1665.677,1761.286
p113,0.00074308,3.858751976,4.486,5.559,7.993,8.457,9.787,11.047,15.9,23.513,36.734,55.248,80.386,113.829,158.376,217.86,296.198,396.18,519.221,664.309,713.456
p114,0,5.660933492,5.895,7.21,10.102,10.203,11.28,11.867,16.898,24.91,38.326,57.3,84.283,121.938,175.189,249.926,351.017,484.579,653.926,858.746,928.806
p115,0.438228156,35.5977707,29.511,39.144,61.656,75.529,94.523,117.38,153.692,219.099,320.583,450.572,611.63,801.977,1018.133,1253.317,1314.424,1376.816,1437.794,1497.788,1561.254
p116,0,0,0,0,0.852,0.969,1.346,1.764,4.272,8.312,14.735,24.186,37.938,57.792,86.001,125.433,179.872,253.543,350.488,474.29,625.657
p117,0,0,0,0,0.175,0.195,0.252,0.343,0.535,1.212,2.494,4.393,7.202,11.313,17.195,25.573,37.391,52.396,73.451,102.481,142.456
p118,0,0,0.271,0.571,1.072,1.465,3.339,5.477,14.265,22.89,44.772,77.594,122.646,181.539,240.419,297.656,347.041,385.661,417.007,443.859,470.058
p119,0.123533323,4.106571736,2.422,2.97,4.002,4.038,4.138,4.326,6.066,9.16,14.996,22.807,32.889,45.567,61.14,79.423,85.581,91.639,97.12,102.387,107.393
p12,0.408189973,14.22757422,15.746,49.046,60.543,64.646,69.945,72.717,80.55,100.215,155.188,188.675,214.145,232.063,246.914,262.255,278.549,295.762,311.818,329.117,347.186
p120,0.304902382,2.880211639,1.19,1.531,2.138,2.161,2.321,2.768,4.888,9.392,17.133,27.399,40.45,56.577,75.474,97.509,106.11,114.451,122.37,129.91,137.037
p121,0,8.308360209,14.817,61.106,83.229,83.727,85.986,86.075,94.919,128.043,216.11,240.191,259.676,277.222,290.399,304.109,318.246,330.488,343.142,359.056,374.547
