from_ba,to_ba,WKT
p120,p121,"LINESTRING(-77.64509082 39.93275473,-77.7202795834312 39.6416487824015)"
p121,p120,"LINESTRING(-77.7202795834312 39.6416487824015,-77.64509082 39.93275473)"
p122,p126,"LINESTRING(-75.1719418320079 40.0019190225265,-74.7433553483933 40.216962503107)"
p126,p122,"LINESTRING(-74.7433553483933 40.216962503107,-75.1719418320079 40.0019190225265)"
p75,p76,"LINESTRING(-88.0000138770922 44.5299808950513,-88.4005062273542 44.2686790151675)"
p76,p75,"LINESTRING(-88.4005062273542 44.2686790151675,-88.0000138770922 44.5299808950513)"
p107,p108,"LINESTRING(-87.5558291033274 37.9746962677465,-87.113323813612 37.7745792836963)"
p108,p107,"LINESTRING(-87.113323813612 37.7745792836963,-87.5558291033274 37.9746962677465)"
p128,p132,"LINESTRING(-73.25742602 40.80816052,-73.2019070419611 41.1819245156953)"
p132,p128,"LINESTRING(-73.2019070419611 41.1819245156953,-73.25742602 40.80816052)"
p46,p77,"LINESTRING(-91.2394285499568 43.8013690379522,-90.5038920509303 43.9850529165334)"
p77,p46,"LINESTRING(-90.5038920509303 43.9850529165334,-91.2394285499568 43.8013690379522)"
p174,p176,"LINESTRING(-99.0146229506645 22.0562165828326,-98.8880381360018 21.5196545172561)"
p176,p174,"LINESTRING(-98.8880381360018 21.5196545172561,-99.0146229506645 22.0562165828326)"
p100,p121,"LINESTRING(-78.1666347673523 39.178731301931,-77.7202795834312 39.6416487824015)"
p121,p100,"LINESTRING(-77.7202795834312 39.6416487824015,-78.1666347673523 39.178731301931)"
p131,p133,"LINESTRING(-71.0719595321869 42.3319060017023,-71.4169255559512 41.8230481729244)"
p133,p131,"LINESTRING(-71.4169255559512 41.8230481729244,-71.0719595321869 42.3319060017023)"
p11,p201,"LINESTRING(-117.18193572866 32.8219696816773,-116.63275694709 32.3896656272299)"
p201,p11,"LINESTRING(-116.63275694709 32.3896656272299,-117.18193572866 32.8219696816773)"
p113,p114,"LINESTRING(-84.2019332871221 39.7523218545566,-84.4588685084773 39.1638306436169)"
p114,p113,"LINESTRING(-84.4588685084773 39.1638306436169,-84.2019332871221 39.7523218545566)"
p15,p7,"LINESTRING(-116.227489870044 43.6085901072873,-116.96188948756 44.0266266063123)"
p7,p15,"LINESTRING(-116.96188948756 44.0266266063123,-116.227489870044 43.6085901072873)"
p163,p59,"LINESTRING(-106.238907145723 31.1609394588711,-106.511941018331 31.7819298053712)"
p59,p163,"LINESTRING(-106.511941018331 31.7819298053712,-106.238907145723 31.1609394588711)"
p170,p171,"LINESTRING(-98.2849872683049 25.8163982813975,-98.0474693796669 25.1324674394656)"
p171,p170,"LINESTRING(-98.0474693796669 25.1324674394656,-98.2849872683049 25.8163982813975)"
p90,p91,"LINESTRING(-88.0499849871184 30.6800252472094,-87.21712 30.421167)"
p91,p90,"LINESTRING(-87.21712 30.421167,-88.0499849871184 30.6800252472094)"
p130,p131,"LINESTRING(-71.4552873145261 42.9959918406833,-71.0719595321869 42.3319060017023)"
p131,p130,"LINESTRING(-71.0719595321869 42.3319060017023,-71.4552873145261 42.9959918406833)"
p22,p23,"LINESTRING(-106.66107774 44.340041,-105.505250286667 44.2831742544253)"
p23,p22,"LINESTRING(-105.505250286667 44.2831742544253,-106.66107774 44.340041)"
p60,p62,"LINESTRING(-101.475186199737 32.2431856476064,-102.36722477396 31.8455613393366)"
p62,p60,"LINESTRING(-102.36722477396 31.8455613393366,-101.475186199737 32.2431856476064)"
p172,p173,"LINESTRING(-100.422226893188 25.9744104538249,-101.203342455042 25.4994310223412)"
p173,p172,"LINESTRING(-101.203342455042 25.4994310223412,-100.422226893188 25.9744104538249)"
p201,p203,"LINESTRING(-116.63275694709 32.3896656272299,-115.578396421413 32.4501042047207)"
p203,p201,"LINESTRING(-115.578396421413 32.4501042047207,-116.63275694709 32.3896656272299)"
p37,p42,"LINESTRING(-96.7894257016716 46.8772278026129,-95.98582149 47.536101)"
p42,p37,"LINESTRING(-95.98582149 47.536101,-96.7894257016716 46.8772278026129)"
p100,p120,"LINESTRING(-78.1666347673523 39.178731301931,-77.64509082 39.93275473)"
p120,p100,"LINESTRING(-77.64509082 39.93275473,-78.1666347673523 39.178731301931)"
p100,p123,"LINESTRING(-78.1666347673523 39.178731301931,-77.0113644394371 38.901495235087)"
p123,p100,"LINESTRING(-77.0113644394371 38.901495235087,-78.1666347673523 39.178731301931)"
p92,p93,"LINESTRING(-86.76913977 36.1715035299999,-86.4436489275417 36.9906994822608)"
