ba_str,WKT
p156,Point(-63.24632048 46.40098278)
p155,Point(-56.02388053 48.71317346)
p137,Point(-124.9458768 50.5303245)
p138,Point(-118.42411357 50.52062951)
p139,Point(-125.86645068 56.16854817)
p140,Point(-112.15192587 51.28441184)
p141,Point(-115.19011733 56.10492918)
p142,Point(-105.87485438 54.16559439)
p143,Point(-97.4835284 54.71310902)
p144,Point(-89.07327013 52.14180136)
p145,Point(-82.20269855 48.76499777)
p146,Point(-80.69234551 43.57059881)
p147,Point(-77.27464493 44.94968982)
p148,Point(-73.29414467 45.39467503)
p149,Point(-74.84723123 46.99252022)
p150,Point(-69.36492877 47.39934526)
p151,Point(-71.68090271 53.96834395)
p152,Point(-66.37338595 46.61033696)
p153,Point(-63.36401138 45.14914317)
p154,Point(-61.94393082 54.21348568)
p194,Point(-93.02582674 17.95813657)
p195,Point(-92.46211293 16.44401616)
p180,Point(-102.49151961 22.91117871)
p203,Point(-115.57839642 32.4501042)
p204,Point(-114.50243356 32.07657629)
p202,Point(-114.95408335 30.24304168)
p201,Point(-116.63275695 32.38966563)
p205,Point(-112.01851036 25.91957242)
p197,Point(-90.43141999 18.73997922)
p164,Point(-107.46231882 30.36224349)
p163,Point(-106.23890715 31.16093946)
p165,Point(-106.11533646 28.04777626)
p168,Point(-102.16214964 28.31857864)
p172,Point(-100.42222689 25.97441045)
p167,Point(-103.9991469 25.78216596)
p173,Point(-101.20334246 25.49943102)
p183,Point(-104.06277506 19.13573146)
p166,Point(-105.05252742 24.23260049)
p187,Point(-99.26950429 19.84528638)
p186,Point(-100.16261487 21.01861745)
p182,Point(-101.16696136 20.41121386)
p191,Point(-99.43661418 17.5874581)
p185,Point(-101.63866579 18.0543355)
p179,Point(-103.58275363 20.50158515)
p178,Point(-104.90728679 21.42208589)
p184,Point(-101.74339094 19.36060079)
p190,Point(-97.95070851 19.06996329)
p192,Point(-96.73100282 17.46076983)
p196,Point(-95.91764637 16.46079261)
p199,Point(-87.72587886 20.19227896)
p200,Point(-88.58391627 18.90874359)
p181,Point(-100.75861064 22.74746895)
p174,Point(-99.01462295 22.05621658)
p176,Point(-98.88803814 21.51965452)
p160,Point(-108.20888291 25.75835369)
p159,Point(-109.60557104 27.51599896)
p161,Point(-106.93547963 24.37569661)
p162,Point(-105.96813135 23.19651025)
p157,Point(-111.26651936 29.99368822)
p158,Point(-109.47872297 30.41180171)
p169,Point(-99.34544528 26.76687897)
p170,Point(-98.28498727 25.81639828)
p171,Point(-98.04746938 25.13246744)
p177,Point(-99.21775628 23.64433244)
p175,Point(-98.22080728 22.89192186)
p188,Point(-97.77015861 20.83482144)
p189,Point(-96.55485433 19.07250259)
p193,Point(-94.6340066 17.85861527)
p198,Point(-88.90927378 20.7456439)
p1,Point(-122.34193085 47.57194791)
p2,Point(-120.50683379 46.61606278)
p3,Point(-117.41994938 47.66999595)
p4,Point(-119.27649915 47.13184305)
p5,Point(-122.68193593 45.52196968)
p6,Point(-122.87442265 42.32662701)
p7,Point(-116.96188949 44.02662661)
p8,Point(-122.30939254 41.3103583)
p9,Point(-122.41716877 37.76919563)
p10,Point(-118.18192637 33.99192411)
p11,Point(-117.18193573 32.82196968)
p12,Point(-119.8200096 39.52997601)
p13,Point(-115.221952 36.21194364)
p14,Point(-117.01658899 46.41660992)
p15,Point(-116.22748987 43.60859011)
p16,Point(-112.03330143 43.46668662)
p17,Point(-113.99305261 46.87224103)
p18,Point(-111.29998702 47.50029055)
p19,Point(-106.63525883 48.18396975)
p20,Point(-108.54000045 45.78830202)
p21,Point(-108.39504806 43.02816042)
p22,Point(-106.66107774 44.340041)
p23,Point(-105.50525029 44.28317425)
p24,Point(-104.81971074 41.14000694)
p25,Point(-111.93199778 40.77696215)
p26,Point(-109.52800216 40.45539756)
p27,Point(-114.30827885 34.49829348)
p28,Point(-112.07193756 33.54192574)
p29,Point(-109.16755915 35.69539952)
p30,Point(-110.89193207 32.20694262)
p31,Point(-106.64133081 35.10497479)
p32,Point(-103.23055709 44.08055096)
p33,Point(-104.98596181 39.74113391)
p34,Point(-104.79198633 38.86296246)
p35,Point(-105.83998438 46.4088843)
p36,Point(-100.78331629 46.80831728)
p37,Point(-96.7894257 46.8772278)
p38,Point(-96.7299978 43.54998903)
p39,Point(-103.66068587 41.86750775)
p40,Point(-98.35798629 40.92226829)
p41,Point(-96.00999007 41.24000083)
p42,Point(-95.98582149 47.536101)
p43,Point(-93.2537322 44.98192513)
p44,Point(-95.78703761 44.44491793)
p45,Point(-94.99698758 42.42384459)
p46,Point(-91.23942855 43.80136904)
p47,Point(-104.5224679 33.39453656)
p48,Point(-101.87996769 33.58000327)
p49,Point(-101.47950118 36.68580853)
p50,Point(-97.52062937 35.47198881)
p51,Point(-95.93002079 36.12000327)
p52,Point(-100.86408655 37.97521303)
p53,Point(-97.32803106 37.69426323)
