Formation Polygon Geometry,Formation Deposition,Formation Depth (ft),Formation Thickness (ft),Formation Basin,Formation Lithology,Formation,Formation CO2 Storage Capacity (MMT CO2),Formation Centroid State
"MULTIPOLYGON(((-106.921012207547 40.99544429262,-105.829406078827 41.0014141101731,-105.761446220167 40.9710214029155,-105.71475694038 40.9211583472799,-105.681215881108 40.5022108367608,-105.712337996102 40.4404606502389,-105.839328825965 40.3296978321892,-105.936372266767 40.2330270758389,-106.453404055653 40.2089148128684,-106.6240810502 40.2956017832957,-106.730934080943 40.3756667577148,-106.852760997322 40.4484337822933,-106.921012207547 40.99544429262)))",Strandplain,4650,155,North Park Basin,Clastic,Dakota02,2200,CO
"MULTIPOLYGON(((-106.752080787199 36.9956957744404,-106.748718676226 36.9886373338459,-106.748539809165 36.9882618192276,-106.748673215496 36.9882636259656,-107.800924979104 37.0025135249792,-108.489628525136 37.0043077596954,-109.040436948906 36.9933978384396,-109.040710836536 36.9957348553793,-109.055608505528 37.1228530652168,-108.607660332159 37.1646806594849,-108.476283506878 37.2855414494784,-108.367899153723 37.4098108930583,-108.314875405575 37.4568940345321,-107.66776731451 37.5032067286077,-107.420800482756 37.4316383177542,-107.195885002391 37.3516263053099,-107.054600470235 37.2695516824642,-106.802824664926 37.1022278434403,-106.752080787199 36.9956957744404)))",Strandplain,5275,187,San Juan - N,Clastic,Dakota03,1338,CO
"MULTIPOLYGON(((-104.502992045946 37.0016980188485,-104.939066597146 36.9938352506963,-105.399656509041 37.0002753795052,-105.400171279181 37.0062818507269,-105.462274911858 37.7309228848833,-105.052809983394 37.7442979440949,-104.892700740547 37.6790435717035,-104.742018749865 37.7551676188906,-104.665158746979 37.748811068576,-104.617810068979 37.6040164042338,-104.528915731476 37.491771357762,-104.515398948103 37.3741991699558,-104.415262967212 37.2923134056392,-104.412111824601 37.1977180084794,-104.498096594482 37.0909464617099,-104.50500382037 37.0193369950064,-104.502992045946 37.0016980188485)))",Strandplain,5138,99,Raton - N,Clastic,Dakota06,1163,CO
"MULTIPOLYGON(((-104.502992045946 37.0016980188485,-104.505866244132 36.8948060258775,-104.583918890145 36.7884863335775,-104.669871186406 36.6874524974348,-104.70009589491 36.4955240400025,-105.236324751586 36.4730980337473,-105.264770244051 36.6429481817133,-105.380576925085 36.7288657416607,-105.40039746587 37.0061498221566,-105.400171279181 37.0062818507269,-105.399656509041 37.0002753795052,-104.939066597146 36.9938352506963,-104.502992045946 37.0016980188485)))",Strandplain,5158,83,Raton - S,Clastic,Dakota07,545,NM
"MULTIPOLYGON(((-107.021159290569 44.6725710371237,-106.987706952114 44.7133424648829,-106.897287421977 44.8157908878393,-106.544527818804 44.8726322077103,-106.210540649631 44.8795860202787,-105.848604051336 44.8782727915561,-105.527787536266 44.8825485822513,-105.31584735657 44.8026158549378,-105.227686818192 44.6475148835051,-105.145478896034 44.4351634627236,-104.894616336974 44.0449387623141,-104.689402024983 43.784154209749,-104.527112442385 43.5394119446056,-104.38732104473 43.2554158468639,-104.393729910407 43.0943947076497,-104.532429667795 43.0570732609223,-104.643979320689 43.0119497017174,-104.769245079097 42.871330754211,-104.96069886536 42.7449372630444,-105.14977588375 42.7034309380874,-105.604553427798 42.8029571237722,-105.954953449142 42.8901102317018,-106.068290808574 43.0422308984373,-106.108724557093 43.2283796388093,-106.146598689378 43.3958508092675,-106.340542346752 43.551179189568,-106.567207453661 43.7416229418454,-106.694899686371 43.8830074453374,-106.699784422413 44.0817829505227,-106.735407020118 44.3066238168358,-106.844241529823 44.4876415337299,-107.021159290569 44.6725710371237)))",Shallow Shelf,11000,833,WY-NE,Carbonate,Madison1,84112,WY
"MULTIPOLYGON(((-108.30144559294 44.014928802922,-108.311462873213 44.0096255367892,-108.285044351016 44.0141497894813,-108.296178147703 44.0054363840819,-108.312152726067 43.9976911339387,-108.335872553675 43.9875254934069,-108.356203834739 43.9778439309527,-108.371694334126 43.9768757747973,-108.387184834413 43.9783280090305,-108.437044880017 43.9788120871082,-108.449355471078 43.9794175259981,-108.465257589266 43.9813414510472,-108.498844940242 43.9778059408915,-108.533021544109 43.98664471718,-108.593125225749 44.0131610478441,-108.622587815475 44.029660098235,-108.623549703356 44.0300973198355,-108.642033124029 44.0384988745235,-108.65853217442 44.0520516658518,-108.668218905278 44.0750576529884,-108.672674216842 44.0856390177265,-108.673852720826 44.1027273192105,-108.675031223912 44.1395555552447,-108.696740708817 44.1641988040316,-108.696748288303 44.164207403349,-108.696833540436 44.164304130831,-108.697174615516 44.1647880218498,-108.6972218605 44.1648550483219,-108.756789424792 44.2459777136007,-108.773607217399 44.2627955062077,-108.789265162457 44.2906318527778,-108.790782663189 44.2916625918552,-108.815961936694 44.3087652294318,-108.81603007203 44.3088055577303,-108.83471845809 44.3198666019622,-108.835466002454 44.3220027939938,-108.835466029434 44.3220028686375,-108.835466182318 44.3220033075067,-108.836893430687 44.3260813966392,-108.836893856067 44.326082610724,-108.838843220238 44.3316516373133,-108.839276263589 44.3390156819283,-108.839276382299 44.3390177063022,-108.83930705098 44.3395382078221,-108.840610975316 44.3617034781331,-108.852396011567 44.4094328733285,-108.857110025707 44.446555735359,-108.859737922967 44.4702094511054,-108.861234787855 44.4836785973894,-108.86516984791 44.501878247783,-108.865172332737 44.5018897429173,-108.865948801996 44.5054809139132,-108.86712730598 44.5172659492642,-108.867716557973 44.5596920783268,-108.872430572113 44.583262149029,-108.868105006641 44.5917418098367,-108.865633137259 44.5971799230151,-108.852046097949 44.6226556220594,-108.830797985039 44.650689264598,-108.803140286095 44.6708827623296,-108.772062959138 44.6767931239036,-108.73238343155 44.669889280366,-108.639535952222 44.638837125433,-108.574518533204 44.613372242535,-108.531061665064 44.585849524636,-108.497975758075 44.5660993297203,-108.462435925877 44.551438818247,-108.414857715711 44.5233040541389,-108.376479418091 44.4855453840123,-108.349726538749 44.4476732302354,-108.336388517216 44.4158476223699,-108.327173078775 44.3953100386274,-108.312104962174 44.3762896057807,-108.301212560611 44.3539726279344,-108.287174294558 44.3268642537823,-108.277008654925 44.3070170507963,-108.273136029404 44.3012081138634,-108.270701591605 44.2911670564146,-108.269223882276 44.2830405467839,-108.262652021673 44.2768445389444,-108.257854143954 44.2729144071742,-108.253772904496 44.267806722902,-108.249900279874 44.2571570051917,-108.245543577174 44.2498958331262,-108.238766483187 44.2445709733718,-108.230053076888 44.2348894118169,-108.219403358278 44.2218193019193,-108.216498889812 44.2072969586877,-108.216498889812 44.1908383031451,-108.215530733656 44.1768000370921,-108.217467045967 44.1530802094841,-108.228116764577 44.1196788194221,-108.250384357952 44.0891818978264,-108.260065920406 44.0770799449835,-108.268295248627 44.056264585842,-108.276040497871 44.040774086455,-108.285237982247 44.0291562116899,-108.293951388546 44.0189905711579,-108.294269295292 44.0188364345538,-108.30144559294 44.014928802922)))",Shallow Shelf,13000,36,Big Horn Basin 13+,Clastic,Muddy1,90,WY
