ba_str,FmnID,distance_m,WKT
p120,Conasuaga1,241495.0679,"MultiLineString((-77.64509082 39.93275473, -80.60472107 40.30617523))"
p120,Copper_Ridge2,148607.8395,"MultiLineString((-77.64509082 39.93275473, -79.41040299 40.31446002))"
p120,Copper_Ridge1,245420.2686,"MultiLineString((-77.64509082 39.93275473, -80.67667065 40.19786237))"
p120,Oriskany7,272505.6967,"MultiLineString((-77.64509082 39.93275473, -80.98364641 39.58180524))"
p120,Oriskany6,121906.8163,"MultiLineString((-77.64509082 39.93275473, -78.97068787 39.43843079))"
p120,Oriskany4,76859.88342,"MultiLineString((-77.64509082 39.93275473, -78.49533704 40.23229901))"
p120,Oriskany5,175935.3641,"MultiLineString((-77.64509082 39.93275473, -79.0310235 41.09269944))"
p120,Oriskany2,280591.281,"MultiLineString((-77.64509082 39.93275473, -81.12757579 40.10994497))"
p120,Oriskany3,241599.4521,"MultiLineString((-77.64509082 39.93275473, -80.60999744 40.28994793))"
p120,Oriskany1,93559.43423,"MultiLineString((-77.64509082 39.93275473, -78.76152895 39.71549618))"
p120,Potsdam1,162456.906,"MultiLineString((-77.64509082 39.93275473, -78.68450939 41.11672906))"
p120,Rome_Trough_Sst2,262182.6418,"MultiLineString((-77.64509082 39.93275473, -80.87274608 39.66241102))"
p120,Rose_Run4,197737.0911,"MultiLineString((-77.64509082 39.93275473, -79.09885644 41.2911115))"
p120,Waste_Gate1,234255.0357,"MultiLineString((-77.64509082 39.93275473, -75.70170172 38.46620614))"
p120,Lockport05,66238.50184,"MultiLineString((-77.64509082 39.93275473, -78.40793037 39.72371448))"
p120,Lockport06,243850.06,"MultiLineString((-77.64509082 39.93275473, -77.69771924 41.99788258))"
p120,Lockport02,241480.3578,"MultiLineString((-77.64509082 39.93275473, -80.6045173 40.30624432))"
p120,Medina03,92612.1882,"MultiLineString((-77.64509082 39.93275473, -78.75255705 39.72321064))"
p121,Conasuaga1,244547.7081,"MultiLineString((-77.72027958 39.64164878, -80.61489105 40.27643204))"
p121,Copper_Ridge2,154512.021,"MultiLineString((-77.72027958 39.64164878, -79.51532867 40.10407297))"
p121,Copper_Ridge1,246658.0125,"MultiLineString((-77.72027958 39.64164878, -80.73908234 39.98340225))"
p121,Oriskany7,263965.2088,"MultiLineString((-77.72027958 39.64164878, -80.98364641 39.58180524))"
p121,Oriskany6,104018.7294,"MultiLineString((-77.72027958 39.64164878, -78.97068787 39.43843079))"
p121,Oriskany4,83299.50795,"MultiLineString((-77.72027958 39.64164878, -78.73483493 39.76965042))"
p121,Oriskany5,200365.9611,"MultiLineString((-77.72027958 39.64164878, -79.15532161 41.0337048))"
p121,Oriskany2,277741.6163,"MultiLineString((-77.72027958 39.64164878, -81.15168827 39.81935906))"
p121,Oriskany3,244643.6554,"MultiLineString((-77.72027958 39.64164878, -80.60999744 40.28994793))"
p121,Oriskany1,84560.56702999999,"MultiLineString((-77.72027958 39.64164878, -78.76152895 39.71549618))"
p121,Potsdam1,186953.9735,"MultiLineString((-77.72027958 39.64164878, -79.26710936 40.82841999))"
p121,Rome_Trough_Sst2,254758.2546,"MultiLineString((-77.72027958 39.64164878, -80.87274608 39.66241102))"
p121,Rose_Run4,222293.8695,"MultiLineString((-77.72027958 39.64164878, -80.13701408 40.56253253))"
p121,Waste_Gate1,215129.5771,"MultiLineString((-77.72027958 39.64164878, -75.70170172 38.46620614))"
p121,Lockport05,55650.605489999994,"MultiLineString((-77.72027958 39.64164878, -78.4039993 39.58761332))"
p121,Lockport06,278087.7448,"MultiLineString((-77.72027958 39.64164878, -77.7450083 41.99733332))"
p121,Lockport02,244534.6044,"MultiLineString((-77.72027958 39.64164878, -80.6146883 40.27650232))"
p121,Medina03,83934.16306,"MultiLineString((-77.72027958 39.64164878, -78.75255705 39.72321064))"
p122,Oriskany6,313757.1761,"MultiLineString((-75.17194183 40.00191902, -78.97068787 39.43843079))"
