file,DisplayName,Scenario,i,Wind class
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 1,Moderate,OFFSHORE,1
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 2,Moderate,OFFSHORE,2
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 3,Moderate,OFFSHORE,3
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 4,Moderate,OFFSHORE,4
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 5,Moderate,OFFSHORE,5
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 6,Moderate,OFFSHORE,6
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 7,Moderate,OFFSHORE,7
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 8,Moderate,OFFSHORE,8
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 9,Moderate,OFFSHORE,9
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 10,Moderate,OFFSHORE,10
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 11,Moderate,OFFSHORE,11
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 12,Moderate,OFFSHORE,12
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 13,Moderate,OFFSHORE,13
ofs-wind_ATB_2022_moderate,Offshore Wind - Class 14,Moderate,OFFSHORE,14
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 1,Advanced,OFFSHORE,1
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 2,Advanced,OFFSHORE,2
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 3,Advanced,OFFSHORE,3
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 4,Advanced,OFFSHORE,4
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 5,Advanced,OFFSHORE,5
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 6,Advanced,OFFSHORE,6
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 7,Advanced,OFFSHORE,7
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 8,Advanced,OFFSHORE,8
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 9,Advanced,OFFSHORE,9
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 10,Advanced,OFFSHORE,10
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 11,Advanced,OFFSHORE,11
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 12,Advanced,OFFSHORE,12
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 13,Advanced,OFFSHORE,13
ofs-wind_ATB_2022_advanced,Offshore Wind - Class 14,Advanced,OFFSHORE,14
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 1,Conservative,OFFSHORE,1
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 2,Conservative,OFFSHORE,2
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 3,Conservative,OFFSHORE,3
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 4,Conservative,OFFSHORE,4
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 5,Conservative,OFFSHORE,5
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 6,Conservative,OFFSHORE,6
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 7,Conservative,OFFSHORE,7
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 8,Conservative,OFFSHORE,8
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 9,Conservative,OFFSHORE,9
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 10,Conservative,OFFSHORE,10
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 11,Conservative,OFFSHORE,11
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 12,Conservative,OFFSHORE,12
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 13,Conservative,OFFSHORE,13
ofs-wind_ATB_2022_conservative,Offshore Wind - Class 14,Conservative,OFFSHORE,14
