file,DisplayName,Scenario
upv_ATB_2022_moderate,Utility PV - Class 1,Moderate
upv_ATB_2022_advanced,Utility PV - Class 1,Advanced
upv_ATB_2022_conservative,Utility PV - Class 1,Conservative
