file,DisplayName,Scenario,i,Wind class
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 1,Moderate,ONSHORE,1
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 2,Moderate,ONSHORE,2
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 3,Moderate,ONSHORE,3
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 4,Moderate,ONSHORE,4
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 5,Moderate,ONSHORE,5
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 6,Moderate,ONSHORE,6
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 7,Moderate,ONSHORE,7
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 8,Moderate,ONSHORE,8
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 9,Moderate,ONSHORE,9
ons-wind_ATB_2022_moderate,Land-Based Wind - Class 10,Moderate,ONSHORE,10
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 1,Advanced,ONSHORE,1
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 2,Advanced,ONSHORE,2
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 3,Advanced,ONSHORE,3
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 4,Advanced,ONSHORE,4
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 5,Advanced,ONSHORE,5
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 6,Advanced,ONSHORE,6
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 7,Advanced,ONSHORE,7
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 8,Advanced,ONSHORE,8
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 9,Advanced,ONSHORE,9
ons-wind_ATB_2022_advanced,Land-Based Wind - Class 10,Advanced,ONSHORE,10
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 1,Conservative,ONSHORE,1
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 2,Conservative,ONSHORE,2
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 3,Conservative,ONSHORE,3
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 4,Conservative,ONSHORE,4
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 5,Conservative,ONSHORE,5
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 6,Conservative,ONSHORE,6
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 7,Conservative,ONSHORE,7
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 8,Conservative,ONSHORE,8
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 9,Conservative,ONSHORE,9
ons-wind_ATB_2022_conservative,Land-Based Wind - Class 10,Conservative,ONSHORE,10
