,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0,10.3,24,58.4,94,128.2,210.9,365.9,576.3,727.9,820.4,894.9,924.3,938.5,954,973.1,998.3,1041,1091.4,1156.5,1224.5
p10,534.6,865.9,1697,3201.4,4765.3,5433.2,5874.7,6294.2,6757.4,7272,7759.3,8215.1,8568.2,8745.7,8941.1,9159.4,9524.9,10013.2,10576.7,11168.1,11776.6
p100,0,0,0.4,1,2.5,5,10,17.5,26.8,37.8,51.9,59.1,63.5,64.1,64.7,65.6,67.3,70.6,76,83.4,95.7
p101,8.4,26.9,56.6,100.9,215.4,397.1,716.5,1167.1,1758.8,2508.5,3442.2,4152.2,4586.2,4652.3,4724.3,4820.2,5026.2,5370.1,5915.7,6711.8,7049
p102,5.1,14.2,29.8,49.5,101.8,139.9,220.9,364.7,608.4,941.1,1369.5,1749.9,1978.3,1999.7,2023.2,2059.1,2148.9,2303.9,2552.7,2937.5,3088.5
p103,0,0,13.1,25.7,45.9,65.9,113.7,202.1,360.3,621.3,1051.3,1328.6,1549,1607.2,1683,1772,1852.5,1935.3,2030.7,2221.7,2617
p104,0,0,1.2,3,4.5,6.5,10.5,17,27.5,44.8,69.9,88.4,102.7,106.8,110.9,116.5,123.2,132.1,141.1,153.2,171.6
p105,0,0,4.1,11.1,49.1,66.6,99,136.1,196.2,287.5,418.1,516,601.9,641.8,681.4,725.3,777.1,837.9,910.1,990.6,1114.2
p106,0,0,0.8,2.2,10.9,19.7,34,47.9,67.7,94.1,131.6,170.1,203.4,217.7,231.2,245.2,261.9,282.9,307.8,335.5,372.4
p107,0,0,1.4,3.9,17.8,26.8,47.7,69.5,104.6,157.4,237.8,297.2,350,365.7,382.5,404.8,435.5,476.9,528.9,589.6,682.5
p108,0,0,0.1,0.4,3.7,5.3,7.9,11.5,16.5,23.6,34.2,45.5,58.8,69.4,81.8,96,111.9,130.2,150.7,175.2,205.2
p109,0,0,0.2,1.1,6.6,8.6,14.5,23.5,37,57.2,87.9,107.1,130.8,149.4,172.7,201.7,238.5,285.4,344.2,419.1,517.6
p11,107.4,132.9,228.5,487.2,743.1,870.7,917.3,983.1,1074.5,1194.2,1320.7,1428,1510.6,1545.2,1585.5,1630,1684.6,1751.9,1827.4,1904.8,1980.3
p110,0,0,0.1,0.3,2.5,3.4,4.7,6.4,8.8,12.2,17.1,22.7,29.4,34.9,41.3,49,58.4,69.7,83.2,99,117.7
p111,0,18.4,26.7,33.1,47.7,55.4,73.3,102.5,148.6,222.4,336.1,475.4,634.4,708.4,801,911.4,1040.5,1187.4,1360.1,1432,1519.9
p112,0,16,35.6,43.8,61.7,71.7,90.6,122.4,173.8,254.7,376,530.5,712.1,826.7,964.7,1117.3,1284.3,1466.2,1669.2,1767.6,1883.5
p113,0,3.9,6.6,7.9,10.8,11.8,14.2,18.7,27,40.8,63.6,95.7,137.5,164.3,196.6,232.6,272.3,315.3,362.7,377.8,397.9
p114,0,5.7,9.2,11.2,15.1,16.4,19.5,25.4,35.9,54.9,88,133.4,190.1,220.6,261.4,308.9,366.4,430.9,502.7,544.3,596.1
p115,0.4,35.6,55.4,71.4,94.3,170,256.4,353.3,475.2,642.3,864.2,941.8,956.5,965.3,976.4,989.6,1009.3,1038.5,1071.8,1104.8,1153.3
p116,0,0,20.8,33.8,46.9,54.5,65.9,80.5,99,122.1,151.7,177.3,203.7,223,244.7,271,301.6,336.8,376,419.6,470.9
p117,0,0,4.5,6.9,8.9,10.1,12.6,16.4,21.6,29.2,39.6,48.3,57.9,67,77.1,89.4,103.7,120.3,139.1,161.1,192.5
p118,0,0,1.7,3.9,7.7,14.9,29.6,55.1,92.5,139.9,200.4,224.9,242.4,251.9,260.2,271.3,286.7,310.1,337.6,371.6,436.9
p119,0.1,4.1,8.9,10.5,12.8,22,32.1,43.9,61.6,87.8,124.7,135.5,139.4,141.6,144.4,146.9,150.8,155.2,160.7,167.6,175.3
p12,0.4,14.2,28.2,69.1,88.1,94.2,102.5,111.3,120.1,131.3,151.6,169.1,180.1,187.3,194.1,202,210.9,222.8,244.3,273,311.7
p120,0.3,2.9,4.1,5.1,6.5,12.8,20.3,27.2,35.2,46.9,62.4,68.4,69.8,71.8,72.9,75.7,77.4,80.5,83.4,87.3,93.6
p121,0,8.3,28.7,79.7,112.3,114.3,121.9,130.8,140.9,156.1,180.1,182.1,184,185.7,187.9,190.4,193.8,199.4,206.6,215.1,232.2
p122,2.4,132,154.9,192.9,281.8,461.1,713,1024.1,1423.8,1930.7,2545.7,2923.4,3004.7,3048.2,3095.5,3148.9,3220.1,3332.7,3464.4,3632,3906.8
p123,0,75.5,173,556.5,836.3,918.2,1046,1166.6,1281.7,1407.4,1566.9,1588.6,1605.8,1612.1,1620.1,1629.8,1650.8,1688.1,1747.7,1845.9,2018.7
p124,0,0,0,0.1,0.2,0.3,0.9,2,4,7.2,11.5,12,12.4,12.4,12.5,12.5,12.8,13.5,14.2,15.7,18.2
p125,0.9,17.6,27.6,62.2,92.4,107.1,133.3,164.2,196.1,228.5,266.8,295.9,315.6,326.1,336.2,348.2,361.6,385.9,401.5,443.9,505
p126,4.6,816.9,1210.6,1625.2,2169.9,2355,2574.1,2785.5,3002.7,3261.6,3583.2,3790.5,3942,3974.4,4011.3,4055.9,4144.4,4291.8,4529.4,4856.5,4965
p127,3.3,107.9,273.6,652.6,1128,1185.4,1243.8,1310.7,1392.5,1498.6,1639.6,1751.4,1856.7,1931.2,2010.1,2106.7,2235.2,2401.1,2659.4,3026,3340.5
p128,7.2,16,61.1,198.1,371.7,478.1,538.3,599.6,650.2,695.4,773,824.6,855.7,861.7,866.5,872.9,904.2,962.9,1051.4,1178.3,1306.2
