r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3166.06,1215.53,977.56,2217.18,1649.5,2047.89,1461.29,1475.22,1303.95,2126.19,1647.21,1223.28,1708.79,1756.47,1779.11
p2,7202.71,6294.31,6385.76,6375.35,5621.94,6389.46,6293.5,6272.22,6183.33,5897.15,6872.16,5863.6,6290.64,5903.94,6916.04
p3,12010.7,9795.48,10771.87,10163.61,10903.34,10378.14,9809.85,11037.5,9902.1,10705.26,10305.58,10890.64,10488.39,10338.04,10537.07
p4,3233.54,4205.77,3524.16,3045.36,3799.41,3670.33,3445.93,3241.99,3662.71,3584.43,4037.83,3058.54,3940.63,2544.08,4475.68
p5,26321.52,24410,23513.06,24270.51,23675.25,23667,24216.24,23886.22,23987.88,23653.26,23765.77,23972.67,23602.3,24284.74,23991.88
p6,14096.12,11683.88,12091.8,13122.39,12656.81,12319.77,12225.55,12275.02,11903.72,12972.05,12055.68,12461.86,12796.22,12052.74,12683.42
p7,39174.07,36055.75,39131.09,36866.69,38398.68,37539.67,37732.06,37323.52,38352.4,37481.51,37513.06,37744.81,37758.82,37532.51,38032.47
p8,43814.14,41967.24,42295.26,42297.37,42312.01,42548.52,42450.49,41914.85,42197.97,42799.51,41968.84,42100.6,42804.23,42246.62,42498.78
p9,114031.28,113646.44,112989.75,114567.01,114007.54,113889.02,114007.27,113726.02,113685.95,113371.3,114264.24,113869.74,113742.21,113406.83,114296.54
p10,148715.76,147518.17,146177.5,147376.39,145409.08,147076.86,147107.39,146554.6,146537.26,146795.62,147015.29,146405,146631.06,146922.28,146651.43
p11,12451.53,11559.53,11602.45,11248.99,11476.71,11239.07,11849.16,11328.56,11577.92,11367.37,11252.2,11390.43,11330.24,11557.5,11493.99
p12,376971.24,375173.12,376288.47,375556.38,375718.73,375921.29,374753.76,377296.52,375170.27,375844.51,376058.13,375834.62,376073.69,375419.75,376167.14
p13,15741.03,15380.46,14664.42,15711.56,15236.22,15148.69,14702.63,15299.31,15460.37,14991.34,15284.68,14881.43,14969.26,15092.92,15514.99
p14,9888.79,9079.84,8999.14,8962.1,8527.67,9015.29,8716.28,8793.05,9298.16,8654.63,9242.26,8848.37,9068.81,8824.33,9185.68
p15,81141.29,80024.21,79902.57,79765.35,79935.62,80384.63,79601.85,80038.7,79701.31,79914.3,80486.96,80039.41,79827.21,80207.56,80146.42
p16,48189.08,47501.96,49223.21,47073.27,48441.27,48368.91,47456.91,48128.59,48105.41,47835.49,47631.29,47891.09,47734.39,48484.26,47905.72
p17,55819.04,54387.96,54314.93,55189.62,54486.61,55298.22,54932.28,54263.1,55253.55,54755.14,54723.68,54615.34,54795.79,54742.37,55346.42
p18,81998.5,80358.53,80358.53,80358.53,80358.53,80358.53,81998.5,80358.53,80358.53,80358.53,80358.53,80886.73,81083.81,80759.3,80617.15
p20,1828.48,1963.52,1050.5,1689.01,815.9,1749.92,1366.47,1498.1,1506.41,1777.3,1577.77,1108.51,1644.12,1476.53,1641.97
p21,48919.13,47770.73,48257.85,47874.23,47193.22,48286.91,47531.21,48125.59,48336.14,48100.42,47749.21,47846.5,48013.88,47746.52,48391.84
p22,11063.69,9373.59,8992.28,9732.23,10436.73,9935.23,9282.81,10236.82,9317.27,10220.95,9462.34,9969.24,9907.41,9418.31,10154.87
p23,1458.08,1670.56,945.48,2154.07,1578.91,876.94,1627.55,1841.65,1515.31,1136.5,1352.16,1681.39,1484.04,1442.27,1578.95
p24,11192.16,10616.19,10297.74,9923.32,11081.76,10084.95,10095.77,10790.45,10606.36,10242.3,10245.74,10415.45,10009.73,10402.94,10991.91
p25,233265.2,231282.53,231749.61,230811.38,231705.13,231967.64,232011.74,230704.89,232128.73,232024.07,231390.59,231606.44,231370.76,232138.91,231744.41
p26,39978.88,39871.31,40288.01,38570.78,40480.21,40205.88,39914.51,39751.36,39180.3,39802.58,39723.97,40034.14,39505.46,40064.96,39914.27
p27,71801.82,71484.24,70027.86,71391.7,70648.65,71557.03,70928.37,70412.39,71491.41,70668.73,71373.54,70735.05,71331.24,70746.16,71270.66
p28,115740.92,114440.59,115516.16,115062.12,114666.46,115093.03,114238.03,115162.6,115001.02,114759.52,115140.55,114764.59,114997.43,114468.46,115312.05
p29,10093.86,9078.21,9027.05,8731,9806.16,9003.16,8835.41,8994.62,9074.93,9059.6,9258.13,9329.68,9066.36,8762.31,9390.7
p30,860.65,848.45,0,932.55,941.93,0,663.34,586.89,871.87,0,1159.02,583.66,419.51,443.96,843.5
p31,87348.61,86973.74,85852.71,87303.33,85956.96,87645.98,87081.52,86670.13,86547.41,86578.91,86753.14,86603.69,86752.56,86621.61,86938.88
p32,1096.69,606.34,0,632.5,0,519.36,0,578.44,604.44,0,513.66,456.67,285.37,410.4,364.82
p33,44288.71,42624.98,43527.05,43203.5,43385.38,42583.72,43306.16,43761.62,42882.42,43285.02,43171.35,43014.99,43319.52,43203.28,43596.64
p34,38447.27,37671.59,38388.14,37709.11,37659.38,37273.61,38258.4,37701.62,37141.59,38331.51,37730.46,38009.77,37675.1,37414.84,38212.5
p38,380.86,0,0,0,0,0,0,0,0,0,0,0,0,0,452.27
p47,3474.63,1223.24,2710.51,2672.94,2734.98,2073.33,1730.29,2526.13,2029.25,2675.75,2582.38,2033.79,2701.9,2268.48,2479.13
p56,467.26,0,0,345.74,0,0,0,0,0,0,601.54,0,0,0,387.84
p59,579.92,0,0,0,0,0,576.49,0,0,0,411.22,0,0,0,428.27
p61,53715.5,51637.03,52448.02,51752.21,52102.72,52154.35,52359.42,51589.89,52313.33,52371.34,51770.74,52087.63,52463.15,51654.5,52589.56
p85,662.9,0,0,0,875.14,0,0,460.43,0,0,0,756.38,0,0,580.83
p89,445.23,0,0,0,0,0,0,0,0,0,0,0,0,0,528.71
p90,583.02,0,0,0,0,0,0,0,0,0,0,0,0,0,275.3
p92,3853.95,2118.95,3237.2,1830.75,3386.35,2472.22,3003.02,2666.92,2358.48,3060.55,2377.21,2954.82,2577.04,2532.9,2890.88
p94,3401.95,3041.55,2536.97,3062.13,3619.62,2431.02,2936.42,3055.5,2817.02,2652.62,2544.73,3093.33,2775.16,2777.16,3035
p95,2644.73,2053.27,1269.36,1965.2,1402.76,2457.17,1902.14,1882.09,1653.03,1362.81,2287.35,1523.74,2080.32,1855.56,1912.36
p97,15305.72,13972.71,15318.1,14185.45,14503.2,14402.56,14795.04,14538.22,14508.08,14098.73,15036.91,14333.87,14751.32,14377.67,14832.14
p99,2566.78,3391.87,3164.6,2679.63,3116.91,2672.5,2974.58,2474.61,2996.31,2713.98,2965.72,2590.68,2588.89,3020.92,2839.76
