r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,2517.93,2653.21,2757.22,2825.27,2838.09,2900.71,3010.62,3058.95,3106.4,3169.49,3212.62,3227.06,3245.77,3274.1,3310.2
p2,2122.85,2388.34,2641.44,2744.84,2838.31,2892.46,2948.9,2996.32,3042.53,3095.55,3147.31,3188.72,3238.93,3287.78,3369.56
p3,2365.38,2656.46,2835.46,2896.93,2953.5,3005.7,3045.93,3108.21,3162.13,3198.29,3250.03,3286.7,3311.52,3341.61,3395.57
p4,2282.77,2534.27,2728.59,2775.05,2830.35,2912.58,3010.43,3023.53,3045.51,3068.17,3107.23,3165.73,3228.47,3271.51,3320.15
p5,2293.46,2541.65,2683.47,2784.44,2861.4,2962.68,3018.8,3093.45,3149.49,3185.01,3231.79,3276.88,3310.76,3353.72,3430.17
p6,2154.26,2477.21,2590.01,2712.29,2860.35,2945.31,3040.75,3086.53,3132.46,3166.12,3209.5,3256.51,3286.43,3316.91,3364.67
p7,2305.85,2535.24,2664.93,2792.35,2880.45,2946.01,3012.91,3070.64,3126.61,3180.39,3223.57,3261.7,3301.78,3335.98,3398.2
p8,2053.97,2441.23,2614.13,2708.83,2815.68,2906.03,2976.3,3035.14,3100.49,3142.21,3194.06,3245.69,3289.1,3333.74,3372.45
p9,2198.32,2459.65,2610.63,2712.02,2794.25,2896.11,2973.15,3033.29,3085.17,3147.38,3202.85,3244.27,3283.95,3314.5,3356.33
p10,2155.63,2395.2,2538.55,2657.57,2771.03,2853.53,2940.13,3014.47,3084.82,3144.43,3200.7,3248.13,3286,3321.37,3410
p11,2234.22,2568.31,2676.6,2724.1,2752.78,2785.93,2835.21,2923.83,3014.87,3070.64,3103.02,3137.21,3157.98,3219.54,3325.01
p12,2190.12,2495.76,2665.56,2773.84,2869.64,2942.6,3007.72,3075.19,3130.89,3184.32,3233.73,3271.41,3313.23,3348.62,3427.44
p13,2310.47,2582.03,2703.64,2772.61,2878.85,2966.01,3029.85,3070.9,3111.85,3177.71,3213.29,3250.32,3284.52,3311.55,3403.83
p14,2196.77,2437.23,2615.34,2749.31,2846.94,2932.39,2994.69,3047.42,3097.87,3147.64,3207.75,3253.22,3302.86,3336.93,3407.16
p15,2197.66,2496.09,2645.74,2755.8,2849.58,2923.59,2995.49,3061.86,3124.83,3172.27,3220.98,3265.91,3306.45,3346.06,3428.47
p16,2168.75,2450.01,2585.97,2717.46,2824.88,2906.06,2980.46,3045.1,3094.23,3132.46,3173.46,3220.84,3269.93,3308.62,3347.14
p17,2225.6,2509.85,2681.38,2771.31,2860.87,2945.28,3004.65,3063.08,3119.63,3168.9,3208.78,3245.33,3281.3,3319.8,3374.04
p18,2261.5,2527.39,2664.86,2775.36,2852.06,2939.43,3007.66,3072.3,3121.71,3170.34,3217.46,3257.31,3293.72,3325.55,3373.09
p20,2221.82,2476.51,2655.22,2675.64,2851.14,2945.85,2992.86,3012.35,3036.52,3106.47,3158.44,3210.44,3301.45,3310.69,3361.27
p21,2178.16,2474.65,2619.83,2754.7,2836.42,2913,2993.52,3063.2,3134.67,3178.07,3222.84,3263.82,3304.13,3345.5,3407.17
p22,2064.33,2285.4,2472.42,2590.8,2698.84,2817.45,2890.43,2938.04,3006.52,3087.39,3146.13,3202.98,3278.78,3333.15,3392.92
p23,2626.57,2720.51,0,2996.02,3078.7,3106.66,3151.43,3253.27,3288.31,3293.12,3295.65,3298.9,3316.57,3334.62,3336.14
p24,2397.97,2757.08,2829.69,2874.25,2956.52,3008.48,3054.62,3111.04,3160.23,3200.34,3228.63,3254.87,3296.96,3326.3,3373.32
p25,2145.43,2449.42,2598.71,2717.22,2816.09,2897.71,2983.41,3051.8,3115.68,3175.73,3227.09,3276.17,3320.08,3365.86,3480.97
