sc_point_gid,class,capacity,capital_adder_per_mw
5372,1,108.018,0
5373,1,61.431,0
5750,1,32.586,0
5751,1,148.569,0
5752,1,262.621,0
5753,1,27.879,0
5754,1,3.259,0
6130,1,26.431,0
6131,1,38.017,0
6132,1,301.846,0
6133,1,772.054,0
6134,1,410.225,0
6509,1,40.793,0
6510,1,359.173,0
6511,1,674.778,0
6512,1,992.434,0
6513,1,454.277,0
6514,1,265.759,0
6515,1,101.138,0
6888,1,134.811,0
6889,1,688.657,0
6890,1,755.761,0
6891,1,397.915,0
6892,1,1422.815,0
6893,1,905.779,0
6894,1,380.294,0
6895,1,462.665,0
7268,1,185.259,0
7269,1,1021.158,0
7270,1,492.415,0
7271,1,179.466,0
7272,1,1226.211,0
7273,1,174.156,0
7274,1,480.226,0
7275,1,327.191,0
7276,1,351.811,0
7277,1,183.328,0
7314,1,329.484,0
7315,1,103.914,0
7649,1,154.121,0
7650,1,62.638,0
7651,1,329.242,0
7652,1,319.647,0
7653,1,1315.219,0
7654,1,1164.659,0
7655,1,223.518,0
7656,1,601.459,0
7657,1,697.588,0
7658,1,127.569,0
7694,1,25.828,0
7695,1,361.708,0
8030,1,387.536,0
8031,1,25.104,0
8032,1,121.354,0
8033,1,1021.641,0
8034,1,674.778,0
8035,1,931.848,0
8036,1,556.079,0
8037,1,678.459,0
8038,1,433.398,0
8039,1,261.656,0
8410,1,26.431,0
8411,1,884.356,0
8412,1,637.364,0
8413,1,222.552,0
8414,1,402.018,0
8415,1,569.898,0
8416,1,696.381,0
8417,1,401.355,0
8418,1,172.526,0
8419,1,594.278,0
8783,1,347.527,0
8784,1,160.88,0
8787,1,37.655,0
8788,1,764.33,0
8789,1,938.486,0
8790,1,704.226,0
8791,1,1077.641,0
8792,1,1408.996,0
8793,1,1106.365,0
8794,1,693.364,0
8795,1,378.242,0
8796,1,475.398,0
8797,1,601.76,0
8798,1,384.88,0
8799,1,73.259,0
8800,1,0.121,0
9163,1,484.993,0
9164,1,849.899,0
9165,1,202.639,0
9167,1,476.001,0
9168,1,1795.143,0
9169,1,1699.557,0
9170,1,1781.626,0
9171,1,560.484,0
9172,1,1057.486,0
9173,1,1237.797,0
9174,1,1150.779,0
9175,1,738.019,0
9176,1,449.329,0
9177,1,210.604,0
9178,1,140.0,0
9179,1,16.535,0
9180,1,16.535,0
9543,1,51.535,0
9544,1,869.33,0
9545,1,117.431,0
9547,1,415.656,0
9548,1,1633.539,0
9549,1,1482.918,0
9550,1,1135.452,0
9551,1,420.846,0
9552,1,965.279,0
9553,1,546.303,0
9554,1,407.57,0
9555,1,582.209,0
9556,1,1174.374,0
9557,1,677.674,0
9558,1,597.295,0
9559,1,35.724,0
9560,1,251.156,0
9922,1,59.5,0
9924,1,2.172,0
9927,1,336.967,0
9928,1,922.434,0
9929,1,608.278,0
9930,1,737.899,0
9931,1,525.243,0
9932,1,1425.59,0
9933,1,765.899,0
9934,1,384.156,0
9935,1,342.156,0
9936,1,887.313,0
9937,1,926.658,0
9938,1,801.683,0
9939,1,573.76,0
9940,1,38.379,0
10301,1,124.673,0
10302,1,264.915,0
10303,1,109.104,0
10307,1,123.949,0
10308,1,103.431,0
10309,1,197.087,0
10310,1,372.932,0
10312,1,843.865,0
10313,1,785.088,0
10314,1,329.122,0
