sc_point_gid,class,capacity,capital_adder_per_mw,cf
416,4,60.0,759803.61,0.246
796,5,222.0,929293.46,0.2775
797,4,240.0,936760.05,0.2552
798,4,246.0,726682.73,0.2443
799,4,240.0,269879.72,0.2514
1176,5,216.0,890365.14,0.281
1177,4,240.0,1586471.13,0.2422
1178,3,246.0,593877.66,0.2131
1179,4,240.0,133432.98,0.2266
1180,2,144.0,124204.91,0.1393
1181,3,126.0,90695.14,0.2217
1543,8,222.0,93473.44,0.3659
1557,5,222.0,3752116.98,0.2793
1558,4,264.0,238642.44,0.2509
1559,2,210.0,114367.44,0.1823
1560,4,186.0,38771.21,0.2383
1923,7,276.0,51067.8,0.3386
1924,7,252.0,53679.8,0.3512
1937,4,258.0,323571.22,0.2386
1938,4,252.0,151579.35,0.2402
1939,3,216.0,39183.57,0.1944
1940,2,54.0,100744.9,0.1328
1941,1,60.0,113748.13,0.0652
2303,6,270.0,52527.99,0.3004
2304,6,270.0,34385.37,0.3244
2305,6,240.0,75462.12,0.2986
2315,6,66.0,2325125.63,0.3033
2316,4,150.0,561133.44,0.2305
2317,3,252.0,457752.14,0.1885
2318,2,210.0,267661.48,0.1592
2319,2,192.0,37381.42,0.1506
2320,1,168.0,42140.99,0.1282
2321,1,156.0,91865.44,0.072
2332,4,54.0,138604.32,0.2514
2333,3,60.0,121052.46,0.2176
2334,4,228.0,40430.65,0.2446
2682,6,192.0,90764.52,0.3134
2683,5,276.0,78665.3,0.2917
2684,6,252.0,90902.27,0.3042
2685,6,276.0,72403.35,0.3199
2686,6,264.0,123004.06,0.2967
2695,5,210.0,1040746.08,0.2863
2696,4,234.0,571859.47,0.2304
2697,3,222.0,2209406.12,0.1988
2698,3,210.0,459239.83,0.1995
2699,2,150.0,208802.51,0.1753
2700,2,204.0,192207.92,0.159
2701,1,84.0,110424.02,0.0999
2702,2,102.0,74298.57,0.1733
2707,6,108.0,160644.99,0.3023
2710,6,60.0,173528.48,0.2984
2711,3,60.0,151282.77,0.2006
2712,4,252.0,49804.59,0.2347
2713,2,246.0,32764.46,0.168
2714,4,252.0,51461.37,0.2536
2715,4,246.0,140138.82,0.2387
2716,2,246.0,45413.42,0.153
2717,2,234.0,40042.45,0.171
2718,3,228.0,32975.21,0.1827
3062,5,228.0,160043.57,0.2915
3063,4,240.0,187591.66,0.2576
3064,5,270.0,112699.73,0.2713
3065,5,270.0,118881.7,0.2756
3066,6,258.0,147840.99,0.3089
3067,4,216.0,211635.08,0.2463
3068,3,252.0,382511.23,0.1947
3074,6,162.0,2015483.95,0.3222
3075,6,138.0,1105668.13,0.3003
3076,3,186.0,259618.84,0.2225
3077,4,270.0,495057.21,0.2412
3078,4,252.0,30196.21,0.2245
3079,3,240.0,13782.49,0.2005
3080,3,120.0,57772.81,0.2112
3081,1,186.0,95241.93,0.1046
3082,1,72.0,147965.67,0.1212
3088,3,42.0,302576.33,0.1944
3089,4,210.0,151062.25,0.2435
3090,2,150.0,174317.0,0.1357
3091,4,222.0,85107.61,0.2341
3092,5,264.0,38830.92,0.2716
3093,4,210.0,48494.16,0.2265
3094,3,240.0,57625.53,0.2081
3095,2,258.0,71851.15,0.1544
3096,3,240.0,39574.03,0.1843
3097,3,246.0,36012.69,0.1905
3098,2,264.0,22166.5,0.1692
3099,2,258.0,26516.13,0.1745
3100,2,264.0,32494.52,0.1379
3101,3,228.0,26552.81,0.1963
3102,2,180.0,48922.75,0.1398
3443,5,282.0,96869.78,0.2652
3444,4,216.0,95402.97,0.2488
3445,4,210.0,95549.01,0.2496
3446,5,204.0,125058.57,0.2733
3448,1,36.0,315897.88,0.1249
3449,1,192.0,437038.75,0.1184
