region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,reinforcement_dist_km
p53047,1,5372,108.018,88470.042,24.521,148.722
p53047,1,5373,61.431,152687.769,45.676,115.697
p53047,1,5750,32.586,60217.108,11.949,141.376
p53017,1,5751,148.569,59421.506,11.308,148.722
p53047,1,5752,262.621,60740.54,13.422,148.722
p53047,1,5753,27.879,119237.584,35.167,115.697
p53047,1,5754,3.259,91608.726,28.308,115.697
p53017,1,6130,26.431,12306.552,1.462,141.376
p53017,1,6131,38.017,23981.814,4.473,148.722
p53017,1,6132,301.846,195255.053,62.859,55.182
p53017,1,6133,772.054,85032.199,27.917,115.697
p53017,1,6134,410.225,54142.438,17.188,115.697
p53007,1,6509,40.793,13429.159,1.866,124.115
p53017,1,6510,359.173,248916.025,78.703,32.051
p53017,1,6511,674.778,164299.906,54.004,54.657
p53017,1,6512,992.434,257800.929,89.295,12.704
p53017,1,6513,454.277,155874.846,51.615,55.182
p53017,1,6514,265.759,50851.205,12.669,115.697
p53017,1,6515,101.138,2609.593,0.255,115.697
p53017,1,6888,134.811,236463.642,74.902,32.051
p53017,1,6889,688.657,216393.243,70.516,32.051
p53017,1,6890,755.761,209939.251,67.17,32.051
p53017,1,6891,397.915,237951.69,77.529,12.704
p53017,1,6892,1422.815,225023.657,76.656,12.704
p53017,1,6893,905.779,126888.513,39.521,55.182
p53025,1,6894,380.294,134535.016,42.705,55.182
p53025,1,6895,462.665,48099.868,11.043,113.54
p53017,1,7268,185.259,201715.694,63.571,32.051
p53017,1,7269,1021.158,179708.736,58.685,32.051
p53017,1,7270,492.415,198725.09,69.013,12.704
p53017,1,7271,179.466,193140.044,65.338,12.704
p53017,1,7272,1226.211,84079.305,26.51,55.182
p53025,1,7273,174.156,89691.668,27.115,55.182
p53025,1,7274,480.226,93331.027,31.458,55.182
p53043,1,7275,327.191,242043.282,85.616,2.145
p53043,1,7276,351.811,264045.814,92.474,2.145
p53043,1,7277,183.328,26886.173,6.171,136.265
p30035,1,7314,329.484,235993.54,78.615,109.134
p30035,1,7315,103.914,210020.202,72.841,109.134
p53017,1,7649,154.121,147588.754,46.91,32.051
p53017,1,7650,62.638,166934.3,57.046,12.704
p53017,1,7651,329.242,167982.621,53.796,12.704
p53025,1,7652,319.647,162971.807,52.498,12.704
p53025,1,7653,1315.219,49997.12,14.691,55.182
p53025,1,7654,1164.659,191832.278,68.744,2.145
p53043,1,7655,223.518,215209.418,75.972,2.145
p53043,1,7656,601.459,238912.297,83.116,2.145
p53043,1,7657,697.588,264107.249,89.522,2.145
p53043,1,7658,127.569,226086.156,75.333,14.55
p30035,1,7694,25.828,188815.808,67.991,109.134
p30035,1,7695,361.708,173311.814,61.848,109.134
