tech,p27,p28,p29,p30,p8,p9,p10,p11,p33,p34,p91,p101,p102,p94,p42,p43,p44,p68,p17,p18,p19,p20,p35,p31,p47,p127,p128,p48,p57,p59,p60,p61,p62,p63,p64,p65,p66,p67,p1,p2,p3,p4
dr_shed_1,25222.52524,25222.52524,25222.52524,25222.52524,156512.39760000003,156512.39760000003,156512.39760000003,156512.39760000003,300726.99199999997,300726.99199999997,15035.51543,15035.51543,15035.51543,69197.69163,348594.2543,348594.2543,348594.2543,348594.2543,393687.2746,393687.2746,393687.2746,393687.2746,393687.2746,151046.1905,151046.1905,233456.3616,233456.3616,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,66471.15732,464075.1568,464075.1568,464075.1568,464075.1568
dr_shed_2,33621.801439999996,33621.801439999996,33621.801439999996,33621.801439999996,52031.93641,52031.93641,52031.93641,52031.93641,62889.128650000006,62889.128650000006,14406.00268,14406.00268,14406.00268,27954.16197,66610.76739000001,66610.76739000001,66610.76739000001,66610.76739000001,90642.65698,90642.65698,90642.65698,90642.65698,90642.65698,58027.64108,58027.64108,75276.73052,75276.73052,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,25950.904319999998,78838.94639,78838.94639,78838.94639,78838.94639
