r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3200.32,1941.07,1976.89,2662.78,914.05,2423.78,2253.97,2380.28,1757.66,2334.87,1031.77,2840.47,1962.39,1971.42,2300.28
p2,8648.32,6154.25,7220.81,7532.97,6910.47,7217.14,6170.41,7723.06,7375.85,6862.36,6662,7366.11,7151.39,7139.94,7079.76
p3,12851.98,13675.58,12230.06,13485.19,12941.99,12489.99,13057.06,12759.49,12693.86,12932.69,13068.6,12507.56,12564.46,13354.32,12884.74
p4,4584.51,3854.29,3621.41,4313.89,3462.37,4042.05,4714.84,3878.16,4080.53,4127.9,4155.49,3966.42,3998.41,4138.04,4130.34
p5,26550.01,26883.83,25500.01,25071.27,24900.94,26309.46,25362.91,25399.32,25821.38,25115.33,25494.56,25566.66,25586.05,25553.37,25762.77
p6,13250.52,12020.65,11586.92,12270.59,11752.09,10771.59,11776.99,13192.08,11017.09,12275.28,11877.6,12261.29,11626.64,12154.64,11867.31
p7,39019.03,37141.5,37183.12,38979.51,37321.5,38102.59,38253.1,37485.59,37970.08,36816.84,38547.33,37817.14,37759.69,37645.99,38203.69
p8,22270.41,20122.32,21458.5,21465,21085.08,20703.05,21417.56,20343.28,21230.37,21052.86,21294.5,21314.57,20432.55,21556.65,21183.83
p9,30643.05,28694.51,28596.22,28272.76,28004.91,27961.18,28585.21,29039.97,28192.33,28353.83,28490.25,28311.58,28126.64,28377.75,28918.95
p10,36557.11,35392.62,35069.34,36096.98,34015.22,36225.04,35226,35781.44,36003.37,34716.43,36058.81,35428.89,35705.88,35318.5,35617.22
p11,3088.24,2943.17,2217.6,2528.58,2586.42,2308.4,2238.69,2655.39,2306.56,2427.92,2731.87,2590.7,2206.22,2543.51,2595.99
p12,148494.34,147297.09,146747.67,147042.26,147586.51,147668.16,146891.53,147388.75,147127.2,147675.14,147128.23,147546.88,146893.64,147824.27,147474.61
p13,7274.33,5988.43,6234.48,5334.39,7233.36,5282.79,5889.29,6379.2,6638.91,6123.92,5561.71,6569.94,5977.54,6034.33,6457.95
p14,10868.86,11501.74,10333.92,10248.61,10624.26,9429.89,11474.5,10225.86,10133.75,10688.69,10660.87,10353.9,10342.03,10589.67,10650.56
p15,96368.14,96417.12,95819.07,96126.93,94708.72,96392.93,96169.52,95706.27,95926.52,95183.27,96017.17,96008.27,95768.13,95763.11,95897.52
