r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,2197.37,1536.28,1339.36,1465.11,1462.48,1811.61,1639.21,1481.29,1851.85,1078.24,2157.58,1620.86,1524.74,1276.1,1950.24
p2,7291.56,5487.98,5187.29,4630.4,4978.09,4886.53,5548.73,5525.87,5332.96,5066.65,4953.94,5669.05,4508.25,5491.55,5517.21
p3,12399.37,10633.81,11076.07,11454.75,11190.29,11145.43,10949.61,11185.15,10404.69,11738.11,11239.47,10677.49,10977.69,11196.38,11618.44
p4,3594.45,2852.89,3409.39,3082.13,2732.4,2621.7,3887.04,2853.13,3096.64,3328.86,3105.3,2620.79,3325.52,2824.9,3466.25
p5,22212.83,22506.6,21786.46,22676.5,22077.7,21383.22,22533.98,22055.3,22128.23,21853.09,22102.65,21772.73,22101.52,21889.47,22425.6
p6,11354.65,8305.22,10321.45,9038.91,9142.95,9194.54,8666.05,9315.08,9067.78,9208.66,9013.67,9340.96,9003.05,9286.95,9347.45
p7,34147.86,33823.77,34000.94,34480.34,34007.86,33217.68,34507.5,34150.99,33337.06,33908.13,34353.36,34058.6,33803.15,34127.91,34084.86
p8,17654.26,17046.02,17799.57,17086.05,17314.82,17108.67,17231.01,17264.06,16647.23,17362.29,17270.42,17308.87,16913.61,17716.46,17287.06
p9,26263.86,24003.68,23330.88,23625.45,23999.26,24594.06,23637.64,24207.27,22428.5,25212.12,23573.62,23998.6,23955.03,23943.13,24145.35
p10,30984.68,30778.46,30957.29,30733.3,31006.55,30537.35,30851.41,30232.37,31034.09,30386.01,31135.74,30483.8,30547.86,31041.3,31081
p11,2981.28,1789.33,2230.16,2324.2,2516.46,1722.92,2207.67,2044.42,2599.85,2417.69,1848.89,1437.97,2907.21,2048.37,2703.68
p12,128480.05,126320.24,127027.58,127081.72,126758.04,126318.38,127356.57,126427.77,127306.44,126634.65,126705.07,126515.41,127335.45,126321.56,127451.86
p13,6265.03,5345.92,5062.59,5037.55,5681.65,5688.66,4846.88,4809.37,5801.05,5757.28,5117.32,5103.38,5240.47,5746,5325.8
p14,10596.25,8861.54,9445.8,9179.35,9347.52,9059.55,9501.51,9087.27,8683.29,9655.19,9020.83,9186.22,9249.29,9208.65,9577.01
p15,83635.79,82701.32,83064.16,82761.91,82580.94,82700.71,82761.75,82945.29,82783.31,82503.25,83129.06,82692.87,82232.91,83464.99,82771.06
p16,34973.78,33759.36,33823.42,33532.86,33379.04,34102.29,33818.91,33483.04,33800.73,33830.69,33062.7,33851.61,33958.67,33970.68,33770.15
