tech,class,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134
hydD,hydclass1,4958.13945,5189.25507,4270.46578,5907.793378,4439.440967,4562.982947,4628.545489,4854.820148,4954.572821,5068.21817,7089.948739,5020.593372,7089.948739,5117.688106,4693.668712,4862.522764,4935.696443,5414.11042,5796.170437,4935.283023,4765.635226,7089.948739,7089.948739,5904.106108,4889.179629,5099.778911,5731.946177,5062.961505,7089.948739,7089.948739,5178.245295,5368.599863,5345.531755,5467.538909,4911.127274,5277.534956,7089.948739,5061.734634,5885.889119,5897.634089,4635.997013,4859.715047,5458.158643,5745.425392,4895.651187,5451.780561,7089.948739,5538.992844,7089.948739,4770.297929,4845.770331,6144.095525,4595.668137,4434.54172,5037.358931,4671.713285,5148.358455,4887.678346,4548.444399,7089.948739,4465.786973,7089.948739,4535.033318,5042.036478,4909.467251,5689.413656,4839.131681,5310.106945,5164.639307,4910.689457,4882.142386,4426.713679,5193.635802,6497.376521,5884.003833,5658.216351,5489.986272,6294.312336,7089.948739,5369.136263,5345.39183,5548.699933,5539.545314,4600.620323,4662.151106,5858.223502,5039.764888,5454.314499,4853.472805,4808.907846,5035.890216,4278.32986,4478.265564,4845.858553,4723.855447,4654.851142,4317.735689,4509.950686,4861.701677,5086.944109,4993.9726,7089.948739,5719.289082,5957.320514,4899.357227,4981.280654,4593.790648,5173.925235,4554.965695,4941.922819,5337.833263,5155.09877,5063.019947,5252.707421,4811.55978,4501.918689,4545.928274,4318.854289,4688.037394,7089.948739,4833.536421,4139.524957,4799.866404,7089.948739,7089.948739,4793.511374,4472.178776,7089.948739,4623.950208,4549.494663,5442.122293,5100.203356,7089.948739,4601.781164
hydD,hydclass2,5270.273056,5319.1718,4955.675313,7089.948739,4574.312509,4943.896856,4661.482541,4861.570394,5085.748507,5228.808982,7089.948739,5180.727446,7089.948739,5349.825369,4828.173663,4888.352953,5040.389227,5451.209478,5797.94774,4941.730457,4818.612367,7089.948739,7089.948739,5928.124419,5165.064075,5101.111564,7089.948739,5159.799651,7089.948739,7089.948739,5194.957109,5380.826545,5397.877808,5515.592859,4915.025301,5279.632184,7089.948739,5356.057276,5890.514044,6156.930664,4636.250738,4868.76265,5470.277223,5989.7612,5060.604336,5521.961664,7089.948739,5545.546619,7089.948739,4832.220837,4992.91663,6146.852728,4633.040201,4436.583474,5141.059259,5222.03976,5254.314308,5052.160213,5408.058764,7089.948739,4498.577825,7089.948739,4672.586312,5116.194275,4980.217561,5846.311778,7089.948739,5884.653792,5256.571934,4942.867535,5015.362261,4501.630432,5275.098518,6497.376521,5928.595836,5729.329903,5607.631795,7089.948739,7089.948739,5718.567123,5497.286625,5767.329986,5626.889023,4614.811453,4941.005928,7089.948739,5285.200267,5514.380177,4939.537018,4817.824705,5214.794518,4382.727483,4483.707335,5182.816774,4809.008379,4761.130678,4355.449919,4794.499428,4875.48509,5133.651245,5500.623371,7089.948739,5873.775982,6158.382728,4928.038031,5447.350629,4619.456351,5609.273628,4689.104215,5066.417214,5690.454942,5266.218573,5278.37919,5253.215845,4852.733252,4801.615848,4639.392262,4438.910747,4703.921354,7089.948739,5138.575527,4195.265929,4801.307757,7089.948739,7089.948739,5840.051295,4722.53964,7089.948739,4924.622325,4556.465421,5661.92861,5189.825142,7089.948739,4892.33741
hydD,hydclass3,5450.583263,5404.429181,5004.35651,7089.948739,4707.640058,5231.73317,5666.122769,5141.417063,5180.334755,5257.819016,7089.948739,5532.372467,7089.948739,5368.117736,4897.753429,4900.419187,5155.96444,5499.546582,5822.199718,5127.301429,5095.9941,7089.948739,7089.948739,6002.362942,5483.907202,5202.998312,7089.948739,5377.629886,7089.948739,7089.948739,5205.301654,5406.275749,5425.814897,5549.318907,4919.774362,5302.694734,7089.948739,5369.284677,5895.171502,6170.067505,5933.10501,4871.44788,5515.080344,6054.449036,5186.637464,5648.926509,7089.948739,5550.404206,7089.948739,4991.470227,4998.44086,6153.06209,4633.446924,4639.376115,5323.031274,5374.842519,5295.958926,5537.743533,7089.948739,7089.948739,4500.07867,7089.948739,4886.469669,5204.655556,4983.736902,5908.537308,7089.948739,6350.092936,5491.994655,5026.494274,5187.105393,4645.902671,5334.267577,6549.09419,5957.572257,6593.134749,5621.704493,7089.948739,7089.948739,5787.355367,5524.916804,5919.75935,5749.79906,5020.134404,4981.808036,7089.948739,5421.95066,5536.600213,5144.785748,4914.026371,5292.524398,4934.491051,4728.715328,5304.375609,4914.239253,5240.71778,4462.185982,4958.645775,4941.136519,5212.031538,5583.686301,7089.948739,5982.063615,6520.85152,4989.573304,5747.408545,4739.077284,5668.138214,4759.434268,5116.025597,5749.714062,5329.008885,5489.185025,5276.236203,4876.01255,4913.49817,4748.990298,4582.284672,4722.524606,7089.948739,5240.223151,4282.107132,4806.427196,7089.948739,7089.948739,7089.948739,5046.397503,7089.948739,5079.38778,4619.633768,5723.196247,5486.731132,7089.948739,5195.818879
hydD,hydclass4,5594.413561,5596.935254,5210.663843,7089.948739,4855.533129,5378.203641,7089.948739,5232.821008,5264.945586,5360.438444,7089.948739,5738.137185,7089.948739,5473.574826,5016.050652,4908.061901,5452.680729,5544.27588,5914.867142,5321.1119,5134.552516,7089.948739,7089.948739,6021.678944,5898.376166,5759.601754,7089.948739,5437.622188,7089.948739,7089.948739,5230.220548,5581.049434,5494.98687,5627.826964,4929.188485,5311.512941,7089.948739,5375.278455,5899.262201,6175.450538,6105.346187,4923.834213,5527.245021,6193.899154,5470.163758,5827.523746,7089.948739,5559.36583,7089.948739,5306.810504,4998.704139,6157.64752,4998.95881,5346.791271,5465.354786,5523.014765,5609.563784,5543.674767,7089.948739,7089.948739,4502.507434,7089.948739,5058.64259,5408.648693,4990.102196,5995.505602,7089.948739,6372.826259,5555.575056,5171.61292,5539.331404,4666.08437,5421.77355,6649.25244,5973.837581,7089.948739,5632.741239,7089.948739,7089.948739,5822.367837,5602.524066,5933.160787,5897.018532,5121.743739,5034.057131,7089.948739,5460.486817,5586.598586,5374.433984,5200.24172,5816.465068,5113.089531,4882.515935,5360.266623,5013.997463,5402.395385,4697.637044,5076.357227,5007.770673,5216.292156,5878.203909,7089.948739,5991.375584,7089.948739,5121.179218,5788.170353,4833.273628,5770.000591,4941.070465,5165.299365,5963.178075,5381.782526,5546.676508,5288.701317,4895.238802,5104.377352,4898.652919,4827.693526,4794.85499,7089.948739,5437.828485,4730.834004,5289.577027,7089.948739,7089.948739,7089.948739,5313.649187,7089.948739,5206.380094,5028.257377,5801.506743,5611.542627,7089.948739,5291.722409
hydD,hydclass5,5686.21185,5634.960113,5464.536509,7089.948739,5019.607225,5403.606891,7089.948739,5294.871691,5356.776534,5670.114237,7089.948739,5939.38104,7089.948739,5599.504444,5664.625929,4928.188219,5520.124288,5598.537584,6018.860111,5342.392118,5464.857046,7089.948739,7089.948739,6034.692255,5907.049479,5802.877915,7089.948739,5468.280077,7089.948739,7089.948739,5273.185269,5583.200576,5643.534981,5666.132325,4940.934477,5337.796295,7089.948739,5389.028125,5904.076513,6180.296023,6137.795984,5362.867786,5717.530668,6253.913439,5545.251377,5891.91667,7089.948739,5564.203147,7089.948739,5445.526156,5029.672813,6166.444189,5497.836704,5471.389891,5600.22102,5542.95277,6033.819411,5606.469634,7089.948739,7089.948739,4503.249587,7089.948739,5184.656333,5597.818091,4996.832526,6128.733172,7089.948739,6845.010886,5694.394099,5539.436073,5656.605128,4712.474082,5458.545718,6658.919627,6079.10355,7089.948739,5643.853111,7089.948739,7089.948739,5940.928272,5796.59253,6354.829446,5947.077857,5189.530507,5088.166385,7089.948739,5528.9865,5716.249167,5511.669503,5300.089308,5853.295452,5237.34047,5162.19935,5455.569101,5153.378703,5588.071142,4792.580977,5170.005224,5072.672346,5220.683631,6177.593613,7089.948739,6038.142741,7089.948739,5388.55173,6129.211675,5174.603636,5842.519263,5123.680111,5188.097374,7089.948739,5499.334026,5627.23322,5365.392555,4906.182951,5239.155729,4991.004823,4978.611915,4835.16792,7089.948739,5610.885894,4893.623176,5401.673586,7089.948739,7089.948739,7089.948739,5428.387621,7089.948739,5334.012967,5364.416773,5837.068103,5647.283238,7089.948739,5359.9458
hydND,hydclass1,4958.13945,5189.25507,4270.46578,5907.793378,4439.440967,4562.982947,4628.545489,4854.820148,4954.572821,5068.21817,7089.948739,5020.593372,7089.948739,5117.688106,4693.668712,4862.522764,4935.696443,5414.11042,5796.170437,4935.283023,4765.635226,7089.948739,7089.948739,5904.106108,4889.179629,5099.778911,5731.946177,5062.961505,7089.948739,7089.948739,5178.245295,5368.599863,5345.531755,5467.538909,4911.127274,5277.534956,7089.948739,5061.734634,5885.889119,5897.634089,4635.997013,4859.715047,5458.158643,5745.425392,4895.651187,5451.780561,7089.948739,5538.992844,7089.948739,4770.297929,4845.770331,6144.095525,4595.668137,4434.54172,5037.358931,4671.713285,5148.358455,4887.678346,4548.444399,7089.948739,4465.786973,7089.948739,4535.033318,5042.036478,4909.467251,5689.413656,4839.131681,5310.106945,5164.639307,4910.689457,4882.142386,4426.713679,5193.635802,6497.376521,5884.003833,5658.216351,5489.986272,6294.312336,7089.948739,5369.136263,5345.39183,5548.699933,5539.545314,4600.620323,4662.151106,5858.223502,5039.764888,5454.314499,4853.472805,4808.907846,5035.890216,4278.32986,4478.265564,4845.858553,4723.855447,4654.851142,4317.735689,4509.950686,4861.701677,5086.944109,4993.9726,7089.948739,5719.289082,5957.320514,4899.357227,4981.280654,4593.790648,5173.925235,4554.965695,4941.922819,5337.833263,5155.09877,5063.019947,5252.707421,4811.55978,4501.918689,4545.928274,4318.854289,4688.037394,7089.948739,4833.536421,4139.524957,4799.866404,7089.948739,7089.948739,4793.511374,4472.178776,7089.948739,4623.950208,4549.494663,5442.122293,5100.203356,7089.948739,4601.781164
hydND,hydclass2,5270.273056,5319.1718,4955.675313,7089.948739,4574.312509,4943.896856,4661.482541,4861.570394,5085.748507,5228.808982,7089.948739,5180.727446,7089.948739,5349.825369,4828.173663,4888.352953,5040.389227,5451.209478,5797.94774,4941.730457,4818.612367,7089.948739,7089.948739,5928.124419,5165.064075,5101.111564,7089.948739,5159.799651,7089.948739,7089.948739,5194.957109,5380.826545,5397.877808,5515.592859,4915.025301,5279.632184,7089.948739,5356.057276,5890.514044,6156.930664,4636.250738,4868.76265,5470.277223,5989.7612,5060.604336,5521.961664,7089.948739,5545.546619,7089.948739,4832.220837,4992.91663,6146.852728,4633.040201,4436.583474,5141.059259,5222.03976,5254.314308,5052.160213,5408.058764,7089.948739,4498.577825,7089.948739,4672.586312,5116.194275,4980.217561,5846.311778,7089.948739,5884.653792,5256.571934,4942.867535,5015.362261,4501.630432,5275.098518,6497.376521,5928.595836,5729.329903,5607.631795,7089.948739,7089.948739,5718.567123,5497.286625,5767.329986,5626.889023,4614.811453,4941.005928,7089.948739,5285.200267,5514.380177,4939.537018,4817.824705,5214.794518,4382.727483,4483.707335,5182.816774,4809.008379,4761.130678,4355.449919,4794.499428,4875.48509,5133.651245,5500.623371,7089.948739,5873.775982,6158.382728,4928.038031,5447.350629,4619.456351,5609.273628,4689.104215,5066.417214,5690.454942,5266.218573,5278.37919,5253.215845,4852.733252,4801.615848,4639.392262,4438.910747,4703.921354,7089.948739,5138.575527,4195.265929,4801.307757,7089.948739,7089.948739,5840.051295,4722.53964,7089.948739,4924.622325,4556.465421,5661.92861,5189.825142,7089.948739,4892.33741
hydND,hydclass3,5450.583263,5404.429181,5004.35651,7089.948739,4707.640058,5231.73317,5666.122769,5141.417063,5180.334755,5257.819016,7089.948739,5532.372467,7089.948739,5368.117736,4897.753429,4900.419187,5155.96444,5499.546582,5822.199718,5127.301429,5095.9941,7089.948739,7089.948739,6002.362942,5483.907202,5202.998312,7089.948739,5377.629886,7089.948739,7089.948739,5205.301654,5406.275749,5425.814897,5549.318907,4919.774362,5302.694734,7089.948739,5369.284677,5895.171502,6170.067505,5933.10501,4871.44788,5515.080344,6054.449036,5186.637464,5648.926509,7089.948739,5550.404206,7089.948739,4991.470227,4998.44086,6153.06209,4633.446924,4639.376115,5323.031274,5374.842519,5295.958926,5537.743533,7089.948739,7089.948739,4500.07867,7089.948739,4886.469669,5204.655556,4983.736902,5908.537308,7089.948739,6350.092936,5491.994655,5026.494274,5187.105393,4645.902671,5334.267577,6549.09419,5957.572257,6593.134749,5621.704493,7089.948739,7089.948739,5787.355367,5524.916804,5919.75935,5749.79906,5020.134404,4981.808036,7089.948739,5421.95066,5536.600213,5144.785748,4914.026371,5292.524398,4934.491051,4728.715328,5304.375609,4914.239253,5240.71778,4462.185982,4958.645775,4941.136519,5212.031538,5583.686301,7089.948739,5982.063615,6520.85152,4989.573304,5747.408545,4739.077284,5668.138214,4759.434268,5116.025597,5749.714062,5329.008885,5489.185025,5276.236203,4876.01255,4913.49817,4748.990298,4582.284672,4722.524606,7089.948739,5240.223151,4282.107132,4806.427196,7089.948739,7089.948739,7089.948739,5046.397503,7089.948739,5079.38778,4619.633768,5723.196247,5486.731132,7089.948739,5195.818879
hydND,hydclass4,5594.413561,5596.935254,5210.663843,7089.948739,4855.533129,5378.203641,7089.948739,5232.821008,5264.945586,5360.438444,7089.948739,5738.137185,7089.948739,5473.574826,5016.050652,4908.061901,5452.680729,5544.27588,5914.867142,5321.1119,5134.552516,7089.948739,7089.948739,6021.678944,5898.376166,5759.601754,7089.948739,5437.622188,7089.948739,7089.948739,5230.220548,5581.049434,5494.98687,5627.826964,4929.188485,5311.512941,7089.948739,5375.278455,5899.262201,6175.450538,6105.346187,4923.834213,5527.245021,6193.899154,5470.163758,5827.523746,7089.948739,5559.36583,7089.948739,5306.810504,4998.704139,6157.64752,4998.95881,5346.791271,5465.354786,5523.014765,5609.563784,5543.674767,7089.948739,7089.948739,4502.507434,7089.948739,5058.64259,5408.648693,4990.102196,5995.505602,7089.948739,6372.826259,5555.575056,5171.61292,5539.331404,4666.08437,5421.77355,6649.25244,5973.837581,7089.948739,5632.741239,7089.948739,7089.948739,5822.367837,5602.524066,5933.160787,5897.018532,5121.743739,5034.057131,7089.948739,5460.486817,5586.598586,5374.433984,5200.24172,5816.465068,5113.089531,4882.515935,5360.266623,5013.997463,5402.395385,4697.637044,5076.357227,5007.770673,5216.292156,5878.203909,7089.948739,5991.375584,7089.948739,5121.179218,5788.170353,4833.273628,5770.000591,4941.070465,5165.299365,5963.178075,5381.782526,5546.676508,5288.701317,4895.238802,5104.377352,4898.652919,4827.693526,4794.85499,7089.948739,5437.828485,4730.834004,5289.577027,7089.948739,7089.948739,7089.948739,5313.649187,7089.948739,5206.380094,5028.257377,5801.506743,5611.542627,7089.948739,5291.722409
hydND,hydclass5,5686.21185,5634.960113,5464.536509,7089.948739,5019.607225,5403.606891,7089.948739,5294.871691,5356.776534,5670.114237,7089.948739,5939.38104,7089.948739,5599.504444,5664.625929,4928.188219,5520.124288,5598.537584,6018.860111,5342.392118,5464.857046,7089.948739,7089.948739,6034.692255,5907.049479,5802.877915,7089.948739,5468.280077,7089.948739,7089.948739,5273.185269,5583.200576,5643.534981,5666.132325,4940.934477,5337.796295,7089.948739,5389.028125,5904.076513,6180.296023,6137.795984,5362.867786,5717.530668,6253.913439,5545.251377,5891.91667,7089.948739,5564.203147,7089.948739,5445.526156,5029.672813,6166.444189,5497.836704,5471.389891,5600.22102,5542.95277,6033.819411,5606.469634,7089.948739,7089.948739,4503.249587,7089.948739,5184.656333,5597.818091,4996.832526,6128.733172,7089.948739,6845.010886,5694.394099,5539.436073,5656.605128,4712.474082,5458.545718,6658.919627,6079.10355,7089.948739,5643.853111,7089.948739,7089.948739,5940.928272,5796.59253,6354.829446,5947.077857,5189.530507,5088.166385,7089.948739,5528.9865,5716.249167,5511.669503,5300.089308,5853.295452,5237.34047,5162.19935,5455.569101,5153.378703,5588.071142,4792.580977,5170.005224,5072.672346,5220.683631,6177.593613,7089.948739,6038.142741,7089.948739,5388.55173,6129.211675,5174.603636,5842.519263,5123.680111,5188.097374,7089.948739,5499.334026,5627.23322,5365.392555,4906.182951,5239.155729,4991.004823,4978.611915,4835.16792,7089.948739,5610.885894,4893.623176,5401.673586,7089.948739,7089.948739,7089.948739,5428.387621,7089.948739,5334.012967,5364.416773,5837.068103,5647.283238,7089.948739,5359.9458
