r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1605.65,1757.43,1815.81,1893.35,1980.32,2011.23,2038.94,2094.08,2128.97,2175.81,2245.47,2290.04,2383.45,2425.89,2479.79
p2,1517.82,1686.68,1743.8,1791.28,1884.76,1963.34,2027.51,2072.62,2129.19,2163.08,2215.99,2269.21,2315.85,2375.06,2495.57
p3,1592.61,1722.21,1836.5,1909.3,1986.03,2043.13,2074.63,2130.95,2189.38,2222.82,2272.57,2323.31,2360.65,2421.07,2489.35
p4,1663.08,1781.36,1846.98,1936.74,1982.62,2032.21,2051.42,2110.43,2134.63,2151.13,2204.35,2267.62,2333.45,2418.47,2492.29
p5,1576.24,1736.14,1808.48,1863.34,1932.06,1993.76,2048.8,2098.29,2158.92,2203.78,2259.08,2329.01,2388.49,2463.37,2536.05
p6,1464.88,1602.76,1679.89,1754.13,1847.47,1909.49,1959.2,2007.36,2065.4,2126.14,2176.98,2235.28,2311.47,2374.68,2470.38
p7,1471.22,1624.25,1736.53,1806.62,1865.86,1921.91,1977.24,2037.04,2107.08,2161.82,2216.06,2263.59,2340.87,2418.87,2503.82
p8,1409.26,1552.84,1659.63,1726.69,1781.52,1845.25,1905.57,1965.91,2035,2094.65,2149.8,2225.43,2304.89,2392.89,2480.38
p9,1405.92,1547.1,1636.41,1703.61,1768.21,1828.88,1891.87,1953.12,2015.8,2078.2,2136.83,2204.95,2281.82,2369.53,2471.19
p10,1286.18,1424.72,1502.4,1565.3,1620.25,1672.8,1730.64,1787.21,1848.62,1921.32,1994.52,2077.66,2184.45,2312.64,2460.33
p11,1336.22,1450.79,1521.55,1590.28,1657.65,1727.6,1790.55,1843.89,1918.73,2004.41,2078.51,2127.94,2203.37,2315.62,2465.17
p12,1345.36,1481.55,1558.77,1626.66,1686.83,1748.38,1812.4,1875.39,1939.8,2008.66,2082.61,2163.89,2254.71,2361.19,2495.29
p13,1364.18,1455.1,1524.92,1601.21,1649.32,1692.56,1745.41,1814.32,1875.42,1952.43,2031.88,2127.07,2207.94,2308.75,2471.96
p14,1560.92,1700.52,1777.07,1828.03,1905.13,1960.64,2013.85,2080.35,2138.72,2191.48,2225.79,2283.39,2327.32,2387.96,2476.48
p15,1471.25,1619.55,1715.26,1783.43,1847.21,1904.01,1961.79,2020.86,2079.42,2134.93,2192.07,2260.21,2329.45,2406.13,2504.63
p16,1320.28,1470.69,1561.56,1644.36,1714.48,1781.05,1845.02,1920.51,1996.82,2054.33,2114.29,2183.3,2261.95,2347.49,2454.03
p17,1522.77,1666.35,1744.06,1808.15,1868.44,1927.96,1983.33,2040.05,2097.87,2153.37,2209.39,2269.16,2321.97,2389.01,2476.2
